id,title,pagerank,betweenness,in_degree,out_degree
math/0703548,On the Farrell-Jones Conjecture and its applications,2.655526773956395e-05,0.0,7.0,1.0
math/0509532,Homological Quantum Field Theory,2.587551894649269e-05,5.970548265480216e-06,13.0,3.0
math/0612288,The Van den Bergh duality and the modular symmetry of a Poisson variety,2.163355413988556e-05,0.0,21.0,0.0
math/0702460,Inheritance of Isomorphism Conjectures under colimits,1.9438926517254644e-05,1.9976088102166394e-06,4.0,1.0
math/0609182,"The Cuntz semigroup, the Elliott conjecture, and dimension functions on
  C*-algebras",1.8127853362681115e-05,0.0,5.0,2.0
math/0612660,The K-theory of abelian symplectic quotients,1.8076380165088816e-05,0.0,17.0,0.0
hep-th/0610177,KO-Homology and Type I String Theory,1.7890611950176523e-05,0.0,32.0,0.0
math/0605141,"The homotopy Gerstenhaber algebra of Hochschild cochains of a regular
  algebra is formal",1.7492480600523745e-05,1.861049012623303e-06,17.0,1.0
math/0504420,"A Proof of Tsygan's Formality Conjecture for an Arbitrary Smooth
  Manifold",1.7042711741463713e-05,2.104985364295467e-05,26.0,8.0
math/0608354,"Elliptic Theory on Manifolds with Corners: II. Homotopy classification
  and $K$-Homology",1.6444453019232526e-05,0.0,5.0,0.0
math/0502280,Stringy K-theory and the Chern character,1.4539125393793248e-05,4.147278803045559e-06,21.0,9.0
math/0210139,Fredholm Modules for Quantum Euclidean Spheres,1.390518117469405e-05,2.0038341589686057e-06,8.0,2.0
math/9912239,Strong Connections and Chern-Connes Pairing in the Hopf-Galois Theory,1.378344550807686e-05,1.5853102778280314e-05,20.0,3.0
hep-th/0607020,"D-Branes, RR-Fields and Duality on Noncommutative Manifolds",1.3540817660036593e-05,3.995843103313349e-05,35.0,4.0
math/0306114,Bijectivity of the canonical map for the noncommutative instanton bundle,1.3495908123597265e-05,1.990182755160072e-06,2.0,1.0
math/0510594,Bundles of C*-categories and duality,1.3289890602674729e-05,0.0,2.0,1.0
math/0611059,The Elliott conjecture for Villadsen algebras of the first type,1.286500009958935e-05,0.0,7.0,1.0
math/0701778,A_\infty-subalgebras and natural transformations,1.2682587673647352e-05,0.0,8.0,0.0
math/0610044,KK-theoretic duality for proper twisted actions,1.2617870357647564e-05,7.416699376860914e-06,3.0,1.0
math/0605114,"Group bundle duality, invariants for certain C*-algebras, and twisted
  equivariant K-theory",1.22331390019607e-05,0.0,3.0,1.0
math/0608361,On stability manifolds of Calabi-Yau surfaces,1.2208313040833986e-05,5.585416730602557e-06,19.0,1.0
math/0306436,The Chern-Galois character,1.1803528068513008e-05,0.0,1.0,1.0
math/0608332,"On the homotopy classification of elliptic operators on stratified
  manifolds",1.120074968557323e-05,3.980365510320144e-06,4.0,3.0
hep-th/0403287,Supersymmetric WZW models and twisted K-theory of SO(3),1.119737259191732e-05,3.7348929191939446e-07,25.0,10.0
hep-th/0108043,"Superconnections, Anomalies and Non-BPS Brane Charges",1.1134044558664649e-05,6.433497793893736e-06,85.0,14.0
math/0609214,An infinite family of non-isomorphic C*-algebras with identical K-theory,1.0878336583297764e-05,0.0,3.0,4.0
math/0508218,Z-stable ASH algebras,1.0761602919326089e-05,0.0,7.0,12.0
math/0201112,"Index theory, eta forms, and Deligne cohomology",1.0398811182137049e-05,1.1907844953070776e-05,9.0,6.0
math/0410562,"Hochschild cohomology of quantized symplectic orbifolds and the
  Chen-Ruan cohomology",1.0375233615244848e-05,4.931881968821272e-06,10.0,8.0
math/0606241,"Notes on A-infinity algebras, A-infinity categories and non-commutative
  geometry. I",1.0087188610628924e-05,0.0001838644356059,17.0,20.0
math/0512453,"2-Gerbes bound by complexes of gr-stacks, and cohomology",1.0070831784765768e-05,0.0,7.0,0.0
hep-th/0408060,K-theoretical boundary rings in N=2 coset models,1.0010376226694502e-05,5.04318337086571e-07,31.0,2.0
math/0507546,An algebraic index theorem for orbifolds,9.713215741214602e-06,0.0,5.0,0.0
math/0601294,The K-theory of abelian versus nonabelian symplectic quotients,9.693674690291729e-06,0.0,10.0,0.0
math/0503492,Hirzebruch classes and motivic Chern classes for singular spaces,9.654966900926312e-06,2.06450314987311e-05,10.0,10.0
math/0601647,"Homotopy approximations to the space of knots, Feynman diagrams, and a
  conjecture of Scannell and Sinha",9.413825805432304e-06,0.0,1.0,1.0
math/0610576,"Sur la topologie de l'espace des operateurs pseudodifferentiels
  inversibles d'ordre 0",9.411174780965673e-06,0.0,4.0,0.0
math/0312154,The Index Formula on the Moduli of G-bundles,9.398350990405814e-06,4.240934993096756e-06,3.0,5.0
math/0702146,"Homological algebra in bivariant K-theory and other triangulated
  categories",9.087592082995425e-06,0.0,2.0,1.0
math/0211149,The coefficient field in the nilpotence conjecture for toric varieties,8.963368766181952e-06,0.0,2.0,1.0
math/0511396,"Multiplicative structure on the Hochschild cohomology of crossed product
  algebras",8.951526717093379e-06,1.0775740161334975e-06,7.0,1.0
math/0602617,Simple C*-algebras with locally finite decomposition rank,8.849568564067845e-06,0.0,9.0,2.0
