id,title,pagerank,betweenness,in_degree,out_degree
math/0409069,Some new directions in infinite-combinatorial topology,0.0001136406891165,0.0,17.0,2.0
math/0512275,SPM Bulletin 15,6.418619020133631e-05,0.0,20.0,1.0
math/9906113,On what I do not understand (and have something to say): Part I,4.667081502530567e-05,0.0,66.0,10.0
math/0504197,Strongly dependent theories,3.782738059211882e-05,1.5921462041280577e-05,12.0,5.0
math/0312182,Selection principles in mathematics: A milestone of open problems,3.734613162876484e-05,0.0,22.0,3.0
math/0609401,SPM Bulletin 18,3.218687967824696e-05,0.0,16.0,0.0
math/9906022,"Analytical Guide and updates for ""Cardinal Arithmetic""",3.0542126228107014e-05,0.0,40.0,6.0
math/0612753,SPM Bulletin 19,2.9801555030195183e-05,0.0,20.0,0.0
quant-ph/0504115,"Logical analysis of the Bohr Complementarity Principle in Afshar's
  experiment under the NAFL interpretation",2.595032726541794e-05,3.980365510320144e-06,9.0,2.0
math/0503631,SPM Bulletin 12,2.4693422185878788e-05,0.0,8.0,1.0
math/0211398,Logical Dreams,2.005617786358108e-05,0.0,10.0,0.0
math/0105045,Selection principles and the minimal tower problem,1.7450821951281917e-05,0.0,7.0,10.0
math/9910158,"On what I do not understand (and have something to say), model theory",1.7251275864089643e-05,0.0,22.0,6.0
math/0703894,SPM Bulletin 20,1.6904307543536695e-05,0.0,13.0,0.0
math/0609634,aleph_n-Free abelain group with no non-zero homomorphism Z,1.6558867619619225e-05,0.0,2.0,0.0
quant-ph/0610204,Quantum Dynamics without the Wave Function,1.6390955705642904e-05,1.576058469562956e-06,11.0,1.0
math/0703045,Definable groups for dependent and 2-dependent theories,1.6077506978795827e-05,0.0,9.0,1.0
math/0501527,"The Proper Forcing Axiom, Prikry forcing, and the Singular Cardinals
  Hypothesis",1.5887023752004556e-05,0.0,1.0,1.0
math/0606188,SPM Bulletin 17,1.559766268292156e-05,0.0,15.0,0.0
math/0404146,Universal forcing notions and ideals,1.5452598478824848e-05,0.0,4.0,1.0
math/0702292,Dependent theories and the generic pair conjecture,1.5327459831549276e-05,3.980365510320144e-06,5.0,2.0
