source,target
math/9811078,math/0110009
math/0110010,math/0110009
math/9908003,math/0110009
math/0110010,math/0403263
math/0110009,math/0403263
math/0209263,math/0301148
math/0110009,math/0110010
math/0111031,math/0209263
math/0301148,math/0209263
math/0207282,math/0011063
math/0209263,math/0401219
math/0301148,math/0401219
math/9811071,math/9908003
nlin/0003001,nlin/0003024
math/0011063,math/0108005
math/0207282,math/0108005
math/0309216,math/0402087
math/0309187,math/0402087
math/0309291,math/0310101
math/0302310,math/0310101
math/0205195,math/0310101
math/0011063,math/0205195
math/0108005,math/0205195
math/0402398,math/0404525
math/0311524,math/0404525
math/0108025,math/0108026
math/0108026,math/0108025
math/0311524,math/0402398
math/0010298,math/0101066
math/0010324,math/0101066
math/0010302,math/0101066
math/0010298,math/0010302
math/0010324,math/0010302
math/0101066,math/0010302
math/0211268,math/0212140
math/0009117,math/0009070
math/0009069,math/0009070
math/0009071,math/0009070
math/0009070,math/0009117
math/0009069,math/0009117
math/0009071,math/0009117
math/0010298,math/0010324
math/0010302,math/0010324
math/0101066,math/0010324
math/0010324,math/0010298
math/0010302,math/0010298
math/0101066,math/0010298
math/0009117,math/0009069
math/0009070,math/0009069
math/0009071,math/0009069
math/9405218,math/0204007
math/0009117,math/0009071
math/0009069,math/0009071
math/0009070,math/0009071
math/0204181,math/0302306
math/0204182,math/0302306
math/0212140,math/0211268
math/0402087,math/0502543
math/0412208,math/0502543
math/0509512,math/0503399
math/0503397,math/0503399
math/0301148,math/0503399
math/0405019,math/0412011
math/0410312,math/0412011
math/0204181,math/0412011
math/0405583,math/0412011
math/0410456,math/0412011
math/0504008,math/0412011
math/0406008,math/0412011
math/0501017,math/0412011
math/0701083,math/0609155
math/0610856,math/0609155
math/0608523,math/0609155
math/0309430,math/0609155
math/0001010,math/0001009
math/0001009,math/0001010
math/0211176,math/0402158
math/0309130,math/0402158
math/0403147,math/0407317
math/9809165,math/9906066
math/9906066,math/9809165
math/0404525,math/0601226
math/0401005,math/0304492
math/0204007,math/0304492
math/0208073,math/0304492
math/0410312,math/0501017
math/0405583,math/0501017
math/0405019,math/0501017
math/0302306,math/0501017
math/0204181,math/0501017
math/0410456,math/0501017
math/0504008,math/0501017
math/0602009,math/0501017
math/0406008,math/0501017
math/0412011,math/0501017
math/0503399,math/0503397
math/0301148,math/0503397
math/0405019,math/0410312
math/0302306,math/0410312
math/0204181,math/0410312
math/0405583,math/0410312
math/0410456,math/0410312
math/0406008,math/0410312
math/0412011,math/0410312
math/0509433,math/0605416
math/0601226,math/0605416
math/0210179,math/0306214
math/9906132,math/0203030
math-ph/9901014,math/0203030
math/0008063,math/0203030
math-ph/9901008,math/0203030
math/0002020,math/0203030
math/0002019,math/0203030
math/9811078,math/0508381
math/0403263,math/0508381
math/0505429,math/0509433
math/0505427,math/0509433
math/0205195,math/0309291
gr-qc/0308075,gr-qc/0308074
math/0405019,math/0405583
math/0302306,math/0405583
math/0410312,math/0405583
math/0410456,math/0405583
math/0406008,math/0405583
math/0412011,math/0405583
math/0206027,math/0302126
math/0402013,math/0603472
math/0504439,math/0512547
math-ph/9901014,math/0206098
math/0008063,math/0206098
math-ph/9901008,math/0206098
math/0106111,math/0206098
math/0002020,math/0206098
math/0203030,math/0206098
math/0002019,math/0206098
math/0405019,math/0410456
math/0302306,math/0410456
math/0204181,math/0410456
math/0410312,math/0410456
math/0405583,math/0410456
math/0406008,math/0410456
math/0412011,math/0410456
math/0204181,math/0405019
math/0302306,math/0405019
math/0108005,math/0207282
math/0011063,math/0207282
math/0204007,math/0208073
math/0203250,math/0208073
math/0503397,math/0509512
math/0503399,math/0509512
math/0511171,math/0509512
math/0301148,math/0509512
math/0405019,math/0406008
math/0302306,math/0406008
math/0204181,math/0406008
math/0410312,math/0406008
math/0405583,math/0406008
math/0410456,math/0406008
math/0412011,math/0406008
math/0103002,math/0205061
math/9905111,math/0205061
math/9907156,math-ph/0212015
math-ph/9901014,math-ph/0212015
math/0105088,math-ph/0212015
math/0203025,math-ph/0212015
cond-mat/0006062,math-ph/0212015
math/0002020,math-ph/0212015
math/9904028,math-ph/0212015
math/9907156,math/0203025
math-ph/9901014,math/0203025
math-ph/0212015,math/0203025
math/0203030,math/0203025
math/0002020,math/0203025
math/0002019,math/0203025
math/0401191,math/0403272
math/0409065,math/0409064
math/0011063,math/0302310
math/0205195,math/0302310
math/0203025,math/0511648
math/0203030,math/0511648
math/0002020,math/0511648
math-ph/9809008,math/9904028
math/0404525,math/0505427
math/0309291,math/0412408
math/0205195,math/0412408
