id,title,pagerank,betweenness,in_degree,out_degree
math/0702029,Foundations of geometry for university students and high-school students,5.964448160862841e-05,0.0,50.0,0.0
math/0608266,Vector bundles and Gromov-Hausdorff distance,3.6840906443387966e-05,4.693850269582114e-07,21.0,1.0
math/0702239,Polyhedral representation conversion up to symmetries,2.325121631157688e-05,0.0,3.0,0.0
math/0511648,Characterizations of model sets by dynamical systems,1.73720616987748e-05,0.0,6.0,3.0
math/0611451,Experimental study of energy-minimizing point configurations on spheres,1.6847565961920842e-05,1.990182755160072e-06,12.0,1.0
math/0501017,An optimal systolic inequality for CAT(0) metrics in genus two,1.660007813614045e-05,0.0,17.0,7.0
math/0504008,Bounding volume by systoles of 3-manifolds,1.6104165753587458e-05,0.0,15.0,5.0
math/0308207,Compact Quantum Metric Spaces,1.6041253687415582e-05,6.746016493010394e-07,19.0,6.0
math/0703169,A variational proof of Alexandrov's convex cap theorem,1.4150786180271176e-05,0.0,2.0,0.0
math/0011063,Gromov-Hausdorff Distance for Quantum Metric Spaces,1.363510534443608e-05,0.0010135540796759,30.0,24.0
math/0108005,"Matrix algebras converge to the sphere for quantum Gromov--Hausdorff
  distance",1.2064109247017616e-05,0.0001073349912812,34.0,17.0
math/0411400,Convex Polytopes: Extremal Constructions and f-Vector Shapes,1.1767297835201784e-05,0.0,10.0,0.0
math/0702448,Similar sublattices of the root lattice $A_4$,1.1707685322034027e-05,0.0,5.0,0.0
math/0512602,Eigenfunctions for substitution tiling systems,1.1449210400796168e-05,0.0,4.0,0.0
math/0609447,"Alexandrov's theorem, weighted Delaunay triangulations, and mixed
  volumes",1.1380481904407397e-05,7.392033637246977e-08,5.0,2.0
math/0609155,Bounds for Codes by Semidefinite Programming,1.0651732480051822e-05,0.0,4.0,2.0
math/0609793,Coincidence site modules in 3-space,9.997099571429495e-06,0.0,6.0,1.0
math/0702842,"A Fourier type transform on translation invariant valuations on convex
  sets",9.93094321958608e-06,0.0,8.0,0.0
math/0406008,Boundary case of equality in optimal Loewner-type inequalities,9.579485001709158e-06,0.0,12.0,8.0
math/0602009,"Systoles of 2-complexes, Reeb graph, and Grushko decomposition",9.507464181328885e-06,0.0,9.0,4.0
hep-lat/0002022,Isocliny in spinor space and Wilson fermions,9.387134203166424e-06,0.0,3.0,0.0
math/0409064,"Harmonic Maps of Surfaces Approaching the Boundary of Moduli Space and
  Eliminating Bubbling",9.087592082995425e-06,0.0,2.0,1.0
math/0412011,"Filling area conjecture, optimal systolic inequalities, and the fiber
  class in abelian covers",9.015126970353144e-06,0.0,11.0,11.0
math/0607446,Universally optimal distribution of points on spheres,8.601895881035456e-06,8.489235357033002e-06,7.0,3.0
math/0610408,"A radial analogue of Poisson's summation formula with applications to
  powder diffraction and pinwheel patterns",8.03243440352216e-06,0.0,5.0,0.0
math/0612418,Line transversals to disjoint balls,7.935381921885137e-06,0.0,1.0,0.0
math/0610222,"Dirac operators and spectral triples for some fractal sets built on
  curves",7.870280091001264e-06,0.0,4.0,0.0
math/0608538,Surface realization with the intersection edge functional,7.69264195210023e-06,0.0,3.0,1.0
cs/0610092,Happy endings for flip graphs,7.6100624052910576e-06,0.0,2.0,0.0
math/0608067,Area-stationary surfaces inside the sub-Riemannian three-sphere,7.426205917530638e-06,0.0,5.0,0.0
math/0512547,Area-stationary surfaces in the Heisenberg group H^1,7.228061413783782e-06,0.0,6.0,3.0
math/0612509,"Dilatation structures II. Linearity, self-similarity and the Cantor set",7.227807520667711e-06,0.0,3.0,0.0
math/0507273,Geometric Reasoning with polymake,7.177066684152431e-06,7.751979001504065e-06,6.0,4.0
math/0504154,An operator Arzel\`a-Ascoli theorem,7.149226053693572e-06,0.0,3.0,0.0
math/0605078,The Minkowski Theorem for Max-plus Convex Sets,7.089224290279818e-06,1.919531804339012e-06,5.0,1.0
math/0503344,Quantized Gromov-Hausdorff distance,7.02368510239226e-06,1.990182755160072e-06,5.0,1.0
math/0701083,Multivariate positive definite functions on spheres,6.8474089908774224e-06,0.0,2.0,1.0
math/0410456,"Lusternik-Schnirelmann category and systolic category of low dimensional
  manifolds",6.843567626397344e-06,0.0,12.0,10.0
math/0308050,"Singular 0/1-matrices, and the hyperplanes spanned by random 0/1-vectors",6.8073544518806e-06,0.0,2.0,2.0
math/0503388,Definite signature conformal holonomy: a complete classification,6.768876421459609e-06,5.299281569121529e-06,3.0,9.0
math/0406264,Equilateral sets in finite-dimensional normed spaces,6.681251224771986e-06,0.0,1.0,0.0
math-ph/0301019,Which distributions of matter diffract? - Some answers,6.6416409581770026e-06,0.0,14.0,2.0
math/0409065,"Mixed Dimensional Compactness with Dimension Collapsing from Sn-1 Bundle
  Measures",6.55890781825366e-06,0.0,1.0,1.0
math/0412408,The max-plus Martin boundary,6.38100927940677e-06,9.617125564849594e-06,7.0,6.0
math/0511306,Multiple planar coincidences with N-fold symmetry,6.323645194206329e-06,0.0,7.0,4.0
math/0502108,Euclidean simplices generating discrete reflection groups,6.300973294421249e-06,0.0,4.0,0.0
math-ph/0212015,Combinatorial problems of (quasi-)crystallography,6.276877279359224e-06,0.0,11.0,5.0
math/0611331,Assouad-Nagata dimension of wreath products of groups,6.108143124187383e-06,0.0,4.0,1.0
math/0008151,Bounds for Local Density of Sphere Packings and the Kepler Conjecture,6.069398569381119e-06,0.0,9.0,0.0
math/0201110,Computational methods for cones and polytopes with symmetry,5.989507126282083e-06,0.0,3.0,0.0
math/0610904,From the Mahler conjecture to Gauss linking integrals,5.927773615503002e-06,0.0,4.0,0.0
hep-th/0610266,Zonotopes and four-dimensional superconformal field theories,5.839760826246277e-06,3.0769915378819034e-08,24.0,1.0
math/0702136,Perfect Delaunay Polytopes in Low Dimensions,5.787869831942019e-06,0.0,2.0,0.0
math/0606756,"Quaternionic plurisubharmonic functions and their applications to
  convexity",5.677163029147329e-06,3.980365510320144e-06,6.0,1.0
math/0001010,Open sets satisfying systems of congruences,5.655144290770314e-06,0.0,1.0,1.0
math/0001009,Solutions to congruences using sets with the property of Baire,5.655144290770314e-06,0.0,1.0,1.0
math/9809165,Circumscribing constant-width bodies with polytopes,5.655144290770314e-06,0.0,1.0,1.0
math/9906066,"Inscribing cubes and covering by rhombic dodecahedra via equivariant
  topology",5.655144290770314e-06,0.0,1.0,1.0
math/0601064,Duality of Model Sets Generated by Substitutions,5.636406798560682e-06,0.0,3.0,2.0
math/0611920,The horofunction boundary of the Hilbert geometry,5.590095944793381e-06,0.0,3.0,0.0
math/0609174,"Verification and Strengthening of the Atiyah--Sutcliffe Conjectures for
  Several Types of Configurations",5.578538193271565e-06,0.0,2.0,0.0
math/0508188,Geometric triangulations and discrete Laplacians on manifolds,5.56322807563326e-06,0.0,7.0,1.0
math/0410312,Entropy of systolically extremal surfaces and asymptotic bounds,5.456265087130972e-06,0.0,10.0,12.0
math/0501321,Endomorphisms of relatively hyperbolic groups,5.43515435957436e-06,5.992826430649918e-06,6.0,5.0
math/0703199,Buildings have finite asymptotic dimension,5.432172455908454e-06,0.0,3.0,1.0
math/0404465,"Triangulated Manifolds with Few Vertices: Centrally Symmetric Spheres
  and Products of Spheres",5.342119090674608e-06,0.0,2.0,2.0
math/0405583,Filling area conjecture and ovalless real hyperelliptic surfaces,5.317218450201383e-06,0.0,9.0,10.0
math/0701141,Uniqueness in Discrete Tomography of Planar Model Sets,5.272805642779708e-06,0.0,5.0,0.0
math/0606349,"Analysis of orthogonality and of orbits in affine iterated function
  systems",5.259785111214951e-06,0.0,3.0,0.0
math/0606089,Notes on the roots of Ehrhart polynomials,5.15213159084411e-06,0.0,5.0,1.0
math/0605527,Tube formulas and complex dimensions of self-similar tilings,5.128507879521577e-06,0.0,2.0,2.0
math/0610668,An introduction to right-angled Artin groups,5.066771713131029e-06,1.9976088102166394e-06,3.0,1.0
hep-th/9812061,Theoretical and Phenomenological Aspects of Superstring Theories,5.063062438499634e-06,9.098481060079693e-08,56.0,2.0
math/0603372,Theory of valuations on manifolds: a survey,4.980027284072441e-06,0.0,5.0,1.0
math/0610407,Line problems in nonlinear computational geometry,4.848729594917541e-06,0.0,1.0,1.0
nlin/0003024,"A formula with hypervolumes of six 4-simplices and two discrete
  curvatures",4.839148493603987e-06,0.0,2.0,3.0
math/0412093,Polyhedral surfaces of high genus,4.837368952752979e-06,0.0,4.0,1.0
math/0610391,A note on spaces of asymptotic dimension one,4.809451433690596e-06,0.0,3.0,2.0
math/0412443,"Minimum Perimeter Rectangles That Enclose Congruent Non-Overlapping
  Circles",4.775563454392716e-06,0.0,3.0,0.0
math/0608536,Dilatation structures I. Fundamentals,4.664764231128924e-06,0.0,3.0,1.0
math/0202103,Reconstructing a Simple Polytope from its Graph,4.650395799417749e-06,0.0,2.0,0.0
math/0309156,Non-crossing frameworks with non-crossing reciprocals,4.639248792026372e-06,0.0,2.0,0.0
math/0610856,"Semidefinite programming, multivariate orthogonal polynomials, and codes
  in spherical caps",4.525204607708227e-06,0.0,1.0,2.0
math/0510263,Cubic Partial Cubes from Simplicial Arrangements,4.411552577449143e-06,0.0,3.0,1.0
math/0611577,Power-law estimates for the central limit theorem for convex sets,4.402893503952305e-06,0.0,2.0,0.0
math/0410399,"Elliptic, Parabolic and Hyperbolic Analytic Function Theory--0: Geometry
  of Domains",4.400262418488684e-06,1.990182755160072e-06,6.0,2.0
math/0605222,Solution of the coincidence problem in dimensions $d\le 4$,4.388454882188588e-06,0.0,4.0,3.0
math/0402047,Numerical cubature using error-correcting codes,4.354842591016637e-06,0.0,3.0,4.0
math/0702207,"A theorem of Hrushovski-Solecki-Vershik applied to uniform and coarse
  embeddings of the Urysohn metric space",4.328725449056686e-06,0.0,3.0,1.0
math/0605521,Multiple CSLs for the body centered cubic lattice,4.327892680276534e-06,0.0,3.0,1.0
math-ph/0212077,Spinors in Quantum Geometrical Theory,4.308677856146974e-06,0.0,3.0,0.0
math/0302310,"Hyperbolic group $C^*$-algebras and free-product $C^*$-algebras as
  compact quantum metric spaces",4.256074546359984e-06,8.458456998385287e-07,6.0,7.0
math/0101066,Beyond the Descartes circle theorem,4.253280260235745e-06,0.0,4.0,5.0
math/0010302,"Apollonian Circle Packings: Geometry and Group Theory II.
  Super-Apollonian Group and Integral Packings",4.253280260235745e-06,0.0,4.0,5.0
math/0610411,Homometric model sets and window covariograms,4.244466191017479e-06,0.0,6.0,0.0
math/0206098,"Kolakoski-(3,1) is a (deformed) model set",4.217092065582877e-06,0.0,8.0,4.0
math/0407042,Projected Products of Polytopes,4.214034872898019e-06,0.0,3.0,2.0
math/0510547,Nonembeddability theorems via Fourier analysis,4.135080771129228e-06,0.0,3.0,0.0
math/0412320,Methods in the Local Theory of Packing and Covering Lattices,4.133063288931482e-06,0.0,3.0,0.0
math/0211268,Counting Lattice Triangulations,4.063143711471229e-06,0.0,1.0,2.0
math/0503716,Minimum representing measures in Idempotent Analysis,4.055391899265705e-06,1.8750750075151206e-07,4.0,2.0
math/0208073,Face numbers of 4-Polytopes and 3-Spheres,4.051664289078796e-06,0.0,2.0,3.0
math/0612553,Linearizability of Non-expansive Semigroup Actions on Metric Spaces,4.033306934170206e-06,0.0,1.0,0.0
math/0702751,"Large scale Sobolev inequalities on metric measure spaces and
  applications",3.976856698194505e-06,0.0,2.0,1.0
math/0610338,Asymptotic cones and Assouad-Nagata dimension,3.939335228691727e-06,1.9976088102166394e-06,6.0,1.0
math/0306214,When Shape Matters: Deformations of Tiling Spaces,3.932212730896843e-06,0.0,1.0,3.0
math/0304492,"The $E_t$-Construction for Lattices, Spheres and Polytopes",3.903777147597354e-06,0.0,3.0,4.0
nlin/0003001,A formula with volumes of five tetrahedra and discrete curvature,3.899259694285811e-06,0.0,1.0,3.0
math/0201011,"Data mining for cones of metrics, quasi-metrics, hemi-metrics and
  super-metrics",3.853795325504487e-06,0.0,3.0,1.0
math/0606111,Canonical self-affine tilings by iterated function systems,3.83171613660717e-06,0.0,2.0,1.0
math/0411157,On Gromov-Hausdorff convergence for operator metric spaces,3.81990625874461e-06,0.0,1.0,4.0
math/0701773,"A unique extremal metric for the least eigenvalue of the Laplacian on
  the Klein bottle",3.813704091367571e-06,0.0,2.0,0.0
math/0506583,Simple geodesics on a punctured surface,3.7987690817026616e-06,0.0,5.0,0.0
math/0703372,Elementary incidence theorems for complex numbers and quaternions,3.79288256837804e-06,0.0,2.0,0.0
math/0010091,"The Geometry of Autonomous Metrical Multi-Time Lagrange Space of
  Electrodynamics",3.785321290628794e-06,0.0,6.0,2.0
math/0609463,Dimensions of products of hyperbolic spaces,3.680998469287032e-06,0.0,4.0,1.0
math/0605481,Triangulated cores of punctured-torus groups,3.678688580959519e-06,0.0,3.0,2.0
math/0702361,"Properties of two selections in metric spaces of Busemann nonpositive
  curvature",3.62335329328243e-06,0.0,2.0,0.0
math/0412219,Roundness properties of groups,3.62335329328243e-06,0.0,2.0,0.0
math/0611802,"An order-refined and generalized version of the Erdos-Szekeres theorem
  on convex polygons",3.62335329328243e-06,0.0,3.0,1.0
math/0409081,The Topological Tverberg Problem and winding numbers,3.62335329328243e-06,0.0,2.0,0.0
math/0211191,"Precompactness of solutions to the Ricci flow in the absence of
  injectivity radius estimates",3.613771452539447e-06,0.0,3.0,5.0
math/0412123,Rigidity of invariant convex sets in symmetric spaces,3.600847541526326e-06,0.0,1.0,2.0
math/0203025,A Note on Shelling,3.5530806611588106e-06,0.0,6.0,6.0
math/0509398,How large can the first eigenvalue be on a surface of genus two?,3.534036296043928e-06,0.0,2.0,1.0
math/0308254,Tropical Convexity,3.518646206930328e-06,8.518317452326908e-07,8.0,8.0
math/0510238,On compact hyperbolic Coxeter d-polytopes with d+4 facets,3.49912997646896e-06,0.0,2.0,0.0
math/0201209,Inequalities of relative weighted metrics,3.4930843036925227e-06,0.0,2.0,0.0
math/0504444,Computing the Ehrhart quasi-polynomial of a rational simplex,3.490061467304305e-06,0.0,2.0,1.0
math/0401219,"Valuations on convex sets, non-commutative determinants, and
  pluripotential theory",3.4890831335779957e-06,0.0,6.0,6.0
math/0301021,Bravais colourings of planar modules with N-fold symmetry,3.47595343608216e-06,0.0,4.0,5.0
math/0102186,Projectivities in Simplicial Complexes and Colorings of Simple Polytopes,3.462031151326813e-06,0.0,2.0,4.0
math/0205208,Sphere Packings in 3 Dimensions,3.446976749536458e-06,0.0,4.0,0.0
math/0605676,Notes sur la droite projective de Berkovich,3.417241989909281e-06,0.0,4.0,1.0
math/0607448,"Uniqueness of the (22,891,1/4) spherical code",3.4169589723627845e-06,0.0,1.0,1.0
math/0606734,Codes in spherical caps,3.389910494159559e-06,0.0,3.0,0.0
math/0605419,The de Rham decomposition theorem for metric spaces,3.3749066596554898e-06,0.0,1.0,0.0
math/0605401,Bounds on the $f$-Vectors of Tight Spans,3.3749066596554898e-06,0.0,1.0,1.0
math/0308110,Sphere packing bounds in the Grassmann and Stiefel manifolds,3.3749066596554898e-06,0.0,1.0,0.0
math/0309053,"Maps That Take Lines to Circles, in Dimension 4",3.3749066596554898e-06,0.0,1.0,0.0
q-bio/0610017,"Number sequence representation of protein structures based on the second
  derivative of a folded tetrahedron sequence",3.3749066596554898e-06,0.0,1.0,0.0
math/0608686,Sublinear Higson corona and Lipschitz extensions,3.353665745662178e-06,0.0,5.0,0.0
math/0408122,Perfect Delaunay Polytopes and Perfect Inhomogeneous Forms,3.343951855096574e-06,0.0,2.0,1.0
math/0310101,Boundaries of Hyperbolic Metric Spaces,3.331811007943551e-06,5.74564752715808e-06,6.0,4.0
math/0010298,"Apollonian Circle Packings: Geometry and Group Theory I. The Apollonian
  Group",3.3134850905856543e-06,0.0,3.0,5.0
math/0010324,"Apollonian Circle Packings: Geometry and Group Theory III. Higher
  Dimensions",3.3134850905856543e-06,0.0,3.0,5.0
math/0509512,"Theory of valuations on manifolds, III. Multiplicative structure in the
  general case",3.274452547990375e-06,0.0,4.0,4.0
math/0510105,The horofunction boundary of finite-dimensional normed spaces,3.2492752663481477e-06,8.611467462216683e-08,3.0,1.0
math/0205195,Group C*-algebras as compact quantum metric spaces,3.217749681764736e-06,1.667022045693527e-05,7.0,12.0
math/0311061,Some Properties of Lattice Substitution Systems,3.177403635598025e-06,0.0,5.0,0.0
math/0502327,Decoding by Linear Programming,3.165574474187545e-06,0.0,3.0,1.0
math/0305012,A computer verification of the Kepler conjecture,3.162469228838316e-06,0.0,5.0,0.0
math/0204332,The hexagonal versus the square lattice,3.1564676950366884e-06,0.0,2.0,1.0
