id,title,pagerank,betweenness,in_degree,out_degree
hep-th/0608210,Loop Quantum Gravity: An Inside View,0.000170832550236,2.059152746917385e-05,137.0,11.0
hep-th/0608202,"Numerical simulations of a non-commutative theory: the scalar model on
  the fuzzy sphere",0.0001494169424672,2.7492237378831444e-06,89.0,3.0
hep-th/0701175,Matrix Models and QCD with Chemical Potential,0.0001310386803873,1.990182755160072e-06,113.0,1.0
hep-th/0611013,On supertwistor geometry and integrability in super gauge theory,0.000115236965844,0.0,156.0,0.0
hep-th/0701191,"Nonlinear Aspects of the Renormalization Group Flows of Dyson's
  Hierarchical Model",0.0001056324348334,2.024203556709627e-06,55.0,2.0
math-ph/0510059,Quaternions in mathematical physics (1): Alphabetical bibliography,0.000101242345761,0.0009987162836622,71.0,4.0
math-ph/0511092,Quaternions in mathematical physics (2): Analytical bibliography,9.702846004843378e-05,0.0009967401628088,71.0,3.0
math-ph/0703019,"Integrable Structure of Ginibre's Ensemble of Real Random Matrices and a
  Pfaffian Integration Theorem",9.689213738909653e-05,0.0,2.0,0.0
hep-th/0306138,Heat kernel expansion: user's manual,8.921083380956964e-05,0.0004847181473103,162.0,54.0
hep-th/0701279,Toward logarithmic extensions of ^sl(2)_k conformal field models,8.77919055187827e-05,0.0,46.0,0.0
hep-th/0504001,Noncommutative Solitons and Integrable Systems,7.513055205141025e-05,0.0006833984826726,145.0,6.0
quant-ph/0702069,Entanglement of Gaussian states,7.087483376295203e-05,6.911855839937879e-07,45.0,1.0
quant-ph/0701221,"Entanglement in continuous variable systems: Recent advances and current
  perspectives",6.902398812265861e-05,2.498256512854964e-05,20.0,4.0
hep-th/0601209,Noncommutative Ward's Conjecture and Integrable Systems,6.824987383754181e-05,4.48560190223604e-06,53.0,3.0
hep-th/0612182,Axiomatic classical (prequantum) field theory. Jet formalism,6.402688533830955e-05,0.0,41.0,0.0
hep-th/0609205,"Quantum Field Theory in a Non-Commutative Space: Theoretical Predictions
  and Numerical Results on the Fuzzy Sphere",6.180775171502805e-05,7.018936630258243e-07,79.0,3.0
hep-th/0412080,"Spin half fermions with mass dimension one: theory, phenomenology, and
  dark matter",6.082563793027488e-05,7.084128810220009e-05,84.0,10.0
astro-ph/0610092,"Crossing the Phantom Divide: Theoretical Implications and Observational
  Status",5.964230817116274e-05,0.0013847767352818,122.0,20.0
hep-th/0610006,"Notes on Exact Multi-Soliton Solutions of Noncommutative Integrable
  Hierarchies",5.9204584888683565e-05,3.832204317517092e-06,31.0,3.0
math-ph/0610024,"Non-linear Supersymmetry for non-Hermitian, non-diagonalizable
  Hamiltonians: I. General properties",5.861393341719914e-05,3.470755954416184e-07,9.0,1.0
math/0503507,Advanced Determinant Calculus: A Complement,5.760414364075261e-05,2.1322375286169986e-05,57.0,5.0
cond-mat/0304363,Random matrix theory and symmetric spaces,5.707766058986665e-05,7.082954942172007e-06,83.0,9.0
hep-th/0509163,From Loop Space Mechanics to Nonabelian Strings,5.7057213152472085e-05,4.579171588993162e-05,126.0,5.0
gr-qc/0703006,Can f(R) Modified Gravity Theories Mimic a LCDM Cosmology?,5.5200077546333545e-05,9.149259285245284e-07,63.0,3.0
math-ph/0702045,Invariants of algebraic curves and topological expansion,5.457229660225026e-05,2.313873095702476e-07,46.0,2.0
quant-ph/0609071,"Optical state engineering, quantum communication, and robustness of
  entanglement promiscuity in three-mode Gaussian states",5.377908440475896e-05,0.0,6.0,2.0
math-ph/0610022,"Non-linear Supersymmetry for non-Hermitian, non-diagonalizable
  Hamiltonians: II. Rigorous results",5.369724942158053e-05,0.0,4.0,1.0
hep-th/0610311,"Parasupersymmetry and N-fold Supersymmetry in Quantum Many-Body Systems
  I. General Formalism and Second Order",5.322860540333513e-05,1.2186976486495636e-07,31.0,2.0
hep-th/0607232,Logarithmic Minimal Models,5.311199548224967e-05,1.8039432446406976e-06,43.0,6.0
hep-th/0701144,Electric-magnetic Duality and Deformations of Three-Dimensional CFT's,5.307920025698458e-05,0.0,46.0,0.0
hep-th/0703205,A Variational Formulation of Symplectic Noncommutative Mechanics,5.298876642975909e-05,0.0,16.0,0.0
nucl-th/0701041,Spectral convexity for attractive SU(2N) fermions,5.227366139057049e-05,0.0,33.0,0.0
math-ph/0702034,H = x p with interaction and the Riemann zeros,5.202224370334766e-05,0.0,23.0,0.0
physics/0603024,"Applying Free Random Variables to Random Matrix Analysis of Financial
  Data. Part I: A Gaussian Case",5.156170475646394e-05,2.768533233086758e-06,34.0,1.0
gr-qc/0110034,Introduction to Modern Canonical Quantum General Relativity,4.971829053364679e-05,0.000917367405873,220.0,232.0
hep-th/0003190,"A Collection of Exercises in Two-Dimensional Physics, Part 1",4.926360093773162e-05,2.5619240618061808e-05,78.0,11.0
hep-th/0502134,The Cocycle of the Quantum HJ Equation and the Stress Tensor of CFT,4.8593131874039263e-05,4.118284273356369e-06,28.0,3.0
