source,target
math/9803067,math/9905048
math/0003227,math/0004115
math/0408360,math/0402047
math/9803067,hep-th/0012189
math/9905048,hep-th/0012189
quant-ph/0008124,quant-ph/0105114
math-ph/0301028,math-ph/0306018
math/0402047,math/0408360
math/0405095,math/0309261
cs/0502066,math/0505036
math/0001079,math/0003135
quant-ph/0008124,quant-ph/0109038
quant-ph/0105114,quant-ph/0109038
cs/0206039,math/0309285
math/0212087,math/0306404
math/0402322,math/0410186
math/0402321,math/0410186
math/0501468,math/0602296
math-ph/0702062,math-ph/0702063
math/9906046,math/0002210
math/0503445,math/0505223
math/0402168,math/0406312
math/0101042,math/0101069
math/9911126,math/0101069
math/9803067,math/9906134
math/9905048,math/9906134
math/0309261,math/0603704
math/0101069,math/0101080
math/0404184,math/0603619
math/0402047,math/0405366
math/0009125,math/0110029
math/9909114,math/0605334
math/9912027,math/0605334
math/9912029,math/0605334
math/0309058,math-ph/0407078
math/9909145,math/0004085
math/9911118,math/0004108
math/0005003,math/0007113
math/0010118,math/0102094
math/0009125,math/0112083
math/9906046,math/0205046
math/0002210,math/0205046
math/0212179,math/0212309
math/0106225,math/0212309
math/0009125,math/0212346
math/0306092,math/0402178
math/0410195,math/0501484
math/0411102,math/0503066
math/0409186,math/0503066
math/0306404,math/0503126
math/0405095,math/0505070
math/0309261,math/0505070
math/0503445,math/0506090
math/0408076,math/0506199
math/0412493,math/0508099
math/0508341,math/0508330
math/0508360,math/0508330
math/0409026,math/0508564
math/0402047,math/0509101
math/0404184,math/0509250
math/0603704,math/0510070
math/0405095,math/0510070
math/0309261,math/0510070
math/0512222,math/0512457
math/0503612,math/0603433
math/0505223,math/0604380
math/0512504,math/0604380
math/0508365,math/0608695
math/0606194,math/0609297
math/0605565,math/0609480
math/0509333,math/0609666
math/0509331,math/0609666
math/9805076,math/0609789
math/0607108,math/0610255
math/0701784,math/0610498
math/0606588,math/0610725
math/0605581,math/0611855
math/0306302,nlin/0609025
math/0312296,physics/0410270
math/0312296,physics/0410271
math/0312296,physics/0512074
math/9911118,astro-ph/0012496
