id,title,pagerank,betweenness,in_degree,out_degree
math/0508150,"Investigations of Zeros Near the Central Point of Elliptic Curve
  L-Functions",2.101504618305317e-05,1.2227228904881305e-06,5.0,2.0
math/0609480,"Riemann Hypothesis: a special case of the Riesz and Hardy-Littlewood
  wave and a numerical treatment of the Baez-Duarte coefficients up to some
  billions in the k-variable",1.3666250735852014e-05,0.0,7.0,0.0
math/0204356,"PALP: A Package for Analyzing Lattice Polytopes with Applications to
  Toric Geometry",1.0702583514401649e-05,2.4220525112305782e-05,25.0,10.0
math-ph/9902018,A note on Farey sequences and Hausdorff dimension,1.0442130615137546e-05,0.0,2.0,0.0
math/0003135,"A holistic finite difference approach models linear dynamics
  consistently",9.388440650265536e-06,0.0,3.0,2.0
math/0410186,"Boundary value problems and layer potentials on manifolds with
  cylindrical ends",8.747430898321023e-06,5.992947140324115e-06,4.0,2.0
math/0608359,Some notes on the inverse problem for braids,8.528737364001038e-06,0.0,4.0,0.0
math-ph/0702063,"Dirichlet integral point-source harmonic interpolation over
  ${\mathbb{R}}^3$ spherical interiors: DIDACKS II",7.436101577256827e-06,1.990182755160072e-06,4.0,1.0
math/0212309,Why Polyhedra Matter in Non-Linear Equation Solving,7.167425629404383e-06,0.0,5.0,0.0
cond-mat/0210177,"Bose-Einstein condensation dynamics in three dimensions by the
  pseudospectral and finite-difference methods",6.849474515043488e-06,1.9768158560582505e-05,6.0,1.0
physics/0610206,Efficient numerical diagonalization of hermitian 3x3 matrices,6.765888732038065e-06,0.0,3.0,1.0
math/0608580,An orbit-preserving discretization of the classical Kepler problem,6.592575316895297e-06,0.0,1.0,0.0
math/0512545,The a priori tan\theta theorem for eigenvectors,6.4723794919107445e-06,0.0,4.0,0.0
math-ph/0407078,"Finding Minima in Complex Landscapes: Annealed, Greedy and Reluctant
  Algorithms",6.104662058002807e-06,0.0,5.0,0.0
math/0602019,The algebra of the box spline,6.0564724618160505e-06,1.990182755160072e-06,3.0,1.0
math/0601389,The polynomial method for random matrices,5.655144290770314e-06,0.0,1.0,1.0
math/0312083,On the Curvature of the Central Path of Linear Programming Theory,5.655144290770314e-06,0.0,1.0,1.0
math/0504273,"Equation-free, multiscale computation for unsteady random diffusion",5.484593114186469e-06,0.0,3.0,0.0
math/0609549,Model selection for Poisson processes,5.430880348249121e-06,0.0,2.0,0.0
math/0412493,The asymptotics of Wilkinson's shift iteration,4.966907238954575e-06,0.0,1.0,2.0
