id,title,pagerank,betweenness,in_degree,out_degree
math/0503507,Advanced Determinant Calculus: A Complement,5.760414364075261e-05,2.1322375286169986e-05,57.0,5.0
math-ph/0702034,H = x p with interaction and the Riemann zeros,5.202224370334766e-05,0.0,23.0,0.0
math/0509001,Toward a fundamental groupoid for the stable homotopy category,2.915513221310372e-05,1.990182755160072e-06,9.0,1.0
math/0601054,A walk in the noncommutative garden,2.623648238751134e-05,2.87634301878181e-05,30.0,11.0
math/0510572,The Riemann zeros and the cyclic Renormalization Group,2.572480989432688e-05,7.713413065315143e-07,24.0,2.0
math/0703120,The zeta-function of monomial deformations of Fermat hypersurfaces,2.2984562103538336e-05,0.0,3.0,0.0
math/0508150,"Investigations of Zeros Near the Central Point of Elliptic Curve
  L-Functions",2.101504618305317e-05,1.2227228904881305e-06,5.0,2.0
math/0412262,Artin's primitive root conjecture -a survey -,2.034916564988728e-05,0.0,8.0,3.0
math-ph/0611043,"Interacting Bose and Fermi gases in low dimensions and the Riemann
  hypothesis",2.027027524396965e-05,1.350191828466806e-10,8.0,1.0
math/0601207,The L-series of a cubic fourfold,1.9534966195539757e-05,7.4260550565674335e-09,5.0,1.0
math/0505007,"Logarithmic growth of systole of arithmetic Riemann surfaces along
  congruence subgroups",1.9298374401283943e-05,0.0,13.0,8.0
math/0702280,Laurent Polynomials and Superintegrable Maps,1.8586330345562186e-05,0.0,30.0,0.0
math/0509428,Discretisation for odd quadratic twists,1.7788915606817588e-05,0.0,9.0,0.0
math/0511107,Modeling families of L-functions,1.7787917936950444e-05,3.212905645648202e-06,11.0,1.0
math/0609799,"Multiple series connected to Hoffman's conjecture on multiple zeta
  values",1.6748998579788333e-05,0.0,4.0,1.0
math/0601238,Modularity of Calabi-Yau varieties,1.6256981275153447e-05,1.990182755160072e-06,13.0,1.0
math/0511587,"On the scope of validity of the norm limitation theorem for quasilocal
  fields",1.5475915785234467e-05,0.0,4.0,1.0
math/0609744,"Ph\'{e}nom\`{e}nes de sym\'{e}trie dans des formes lin\'{e}aires en
  polyz\^{e}tas",1.4668327386792524e-05,1.990182755160072e-06,4.0,1.0
math/0509077,"Rankin-Selberg without unfolding and bounds for spherical Fourier
  coefficients of Maass forms",1.444498849248415e-05,0.0,6.0,1.0
math/0601558,Multiple zeta values and Rota--Baxter algebras,1.4252209182390238e-05,5.043334133514698e-07,20.0,6.0
math/0502034,Thirty-two Goldbach Variations,1.4190134181529956e-05,0.0,10.0,0.0
math/0607261,Fourier expansion along geodesics,1.4091600051948464e-05,0.0,1.0,0.0
math/0602438,"Igusa's conjecture on exponential sums modulo $p$ and $p^2$ and the
  motivic oscillation index",1.3925004323763788e-05,1.990182755160072e-06,5.0,1.0
math/0601508,Bounding Picard numbers of surfaces using p-adic cohomology,1.3879785869694227e-05,5.970548265480216e-06,6.0,3.0
math/0609480,"Riemann Hypothesis: a special case of the Riesz and Hardy-Littlewood
  wave and a numerical treatment of the Baez-Duarte coefficients up to some
  billions in the k-variable",1.3666250735852014e-05,0.0,7.0,0.0
hep-th/0411114,"From Physics to Number Theory via Noncommutative Geometry, Part II:
  Renormalization, the Riemann-Hilbert correspondence, and motivic Galois
  theory",1.3314592002816096e-05,2.835741441578699e-05,18.0,18.0
math/0612668,Mixed Hodge polynomials of character varieties,1.3224124415431874e-05,1.87181174068382e-06,11.0,1.0
math/0703845,Local-global principles for 1-motives,1.298401298451508e-05,0.0,5.0,1.0
math/0509508,Palindromic Prefixes and Diophantine Approximation,1.257979068822353e-05,0.0,2.0,1.0
hep-th/0606151,"Frobenius transformation, mirror map and instanton numbers",1.241055914453604e-05,4.260535395454118e-08,11.0,2.0
math/0205117,Non-commutative compactifications and elliptic curves,1.237792594669433e-05,9.058542983178682e-06,17.0,5.0
math/0612271,Frobenius Problem and dead ends in integers,1.2369820818273447e-05,0.0,4.0,0.0
math-ph/0601053,Renormalization : A number theoretical model,1.2075101570612829e-05,0.0,7.0,0.0
math/0506416,K3 surfaces with Picard number one and infinitely many rational points,1.182131261508092e-05,1.1941096530960432e-05,3.0,3.0
math/0601507,p-adic cohomology,1.1818225935558852e-05,1.990182755160072e-06,12.0,1.0
math/0506069,"Class field theory for strictly quasilocal fields with Henselian
  discrete valuations",1.1801067032158855e-05,0.0,3.0,1.0
math/0611584,"Compter (rapidement) le nombre de solutions d'\'equations dans les corps
  finis",1.178249836028112e-05,0.0,8.0,0.0
math/0610278,Sums of squares from elliptic pfaffians,1.1393597724485478e-05,0.0,3.0,2.0
math/0504272,Sums of triangular numbers from the Frobenius determinant,1.1291322809819278e-05,1.632213378229586e-06,4.0,3.0
math/0412189,"Relevements des revetements de courbes faiblement ramifies (Lifts of
  weakly ramified coverings of curves)",1.127853064763905e-05,0.0,4.0,0.0
math/0402382,The Highly Oscillatory Behavior of Automorphic Distributions for SL(2),1.1255697742849651e-05,0.0,3.0,1.0
math/0606076,Renormalization of multiple zeta values,1.1164421699658242e-05,2.391178591187392e-06,15.0,6.0
hep-th/0609175,Multi-Gluon Scattering in Open Superstring Theory,1.0641055228131e-05,1.389527724195779e-06,19.0,3.0
math-ph/9902018,A note on Farey sequences and Hausdorff dimension,1.0442130615137546e-05,0.0,2.0,0.0
math/0612838,A Simple Regularization of Hypergraphs,1.0363892688121132e-05,0.0,4.0,2.0
math/0509523,Permutation Polynomials modulo m,1.026119467838564e-05,0.0,3.0,2.0
math/0612396,Fields of definition of singular K3 surfaces,1.0139680075218309e-05,0.0,3.0,2.0
math/0606269,"Igusa and Denef-Sperber Conjectures on nondegenerate p-adic exponential
  sums",1.0092281782794868e-05,0.0,1.0,1.0
math/0509024,Growth and generation in SL_2(Z/pZ),9.884533807289714e-06,0.0,2.0,1.0
math/0508378,"Moments of the derivative of the Riemann zeta-function and of
  characteristic polynomials",9.7810089962867e-06,1.990182755160072e-06,2.0,1.0
math/0702613,Some Problems in Number Theory I: The Circle Problem,9.765474419996817e-06,0.0,3.0,0.0
math/0410223,"Ax-Kochen-Er{\v{s}}ov Theorems for $p$-adic integrals and motivic
  integration",9.61461174431293e-06,0.0,7.0,0.0
math/0611700,The elementary obstruction and homogeneous spaces,9.50655368877776e-06,0.0,1.0,2.0
math/0612100,On modular forms for some noncongruence arithmetic subgroups,9.415250529923623e-06,0.0,2.0,1.0
math/0701310,On Atkin and Swinnerton-Dyer congruence relations (3),9.415250529923623e-06,0.0,2.0,1.0
math/0406236,Some considerations in connection with alternating Kurepa's function,9.304554188413356e-06,1.990182755160072e-06,2.0,2.0
math/0611161,"Chow group of 0-cycles on surface over a p-adic field with infinite
  torsion subgroup",9.274049260122595e-06,0.0,2.0,0.0
hep-th/0509042,"Six Gluon Open Superstring Disk Amplitude, Multiple Hypergeometric
  Series and Euler-Zagier Sums",9.176740782833118e-06,6.6101611344906986e-06,43.0,8.0
math/0608564,Congruences on Stirling numbers and Eulerian numbers,9.161238941701014e-06,0.0,7.0,0.0
math/0507430,Tables of Calabi--Yau equations,8.91205409864222e-06,7.96865214603396e-06,11.0,5.0
math/0404427,Infinite products in number theory and geometry,8.73996037527481e-06,0.0,5.0,0.0
math/0609120,Equidistribution and integral points for Drinfeld modules,8.733417221536529e-06,0.0,2.0,0.0
math/0404521,Cancellation in additively twisted sums on GL(n),8.727013478107884e-06,0.0,2.0,1.0
math/0508205,n-dimensional local fields and adeles on n-dimensional schemes,8.697924462601697e-06,1.4852110113134864e-08,8.0,2.0
math/0608032,Level m stratifications of versal deformations of p-divisible groups,8.555695796876084e-06,0.0,4.0,1.0
