id,title,pagerank,betweenness,in_degree,out_degree
gr-qc/0110034,Introduction to Modern Canonical Quantum General Relativity,4.971829053364679e-05,0.000917367405873,220.0,232.0
math-ph/0207041,"Entropy production rates of bistochastic strictly contractive quantum
  channels on a matrix algebra",3.84056369936268e-05,1.990182755160072e-06,1.0,1.0
math/0608266,Vector bundles and Gromov-Hausdorff distance,3.6840906443387966e-05,4.693850269582114e-07,21.0,1.0
math/0608429,On the Superrigidity of Malleable Actions with Spectral Gap,2.701709718519589e-05,0.0,13.0,0.0
math/0601054,A walk in the noncommutative garden,2.623648238751134e-05,2.87634301878181e-05,30.0,11.0
math-ph/0307044,Mathematics of the Quantum Zeno Effect,2.61452811850518e-05,2.0978605534803e-06,25.0,2.0
math/0602459,Isometric Dilations of Representations of Product Systems via Commutants,2.5340335954340388e-05,3.5170208304849386e-06,14.0,4.0
math/0703496,"A global view of equivariant vector bundles and Dirac operators on some
  compact homogeneous spaces",2.430213812017052e-05,0.0,7.0,1.0
math/0109198,"Lectures on q-analogues of Cartan domains and associated Harish-Chandra
  modules",2.273746406152608e-05,1.990182755160072e-06,23.0,1.0
math/0412231,"Unit Vectors, Morita Equivalence and Endomorphisms",2.168785530207656e-05,2.802275064228236e-06,13.0,10.0
math/0703248,"On representing some lattices as lattices of intermediate subfactors of
  finite index",2.0680878111094148e-05,0.0,3.0,0.0
math/0612363,A Groupoid Approach to Quantization,2.029513128523797e-05,0.0,14.0,0.0
math/0703586,Spectral distance on the circle,1.958980658553133e-05,0.0,8.0,0.0
math/0411178,"Compact quantum metric spaces and ergodic actions of compact quantum
  groups",1.956738312705867e-05,0.0,19.0,0.0
math/0609182,"The Cuntz semigroup, the Elliott conjecture, and dimension functions on
  C*-algebras",1.8127853362681115e-05,0.0,5.0,2.0
math/0702140,Lectures on Noncommutative Geometry,1.7081245788938144e-05,0.0,14.0,0.0
math/0409277,Large deviations and stochastic calculus for large random matrices,1.707329947442888e-05,0.0,18.0,0.0
math/0311170,"Duality of compact groups and Hilbert C*-systems for C*-algebras with a
  nontrivial center",1.6885813517775427e-05,1.990182755160072e-06,4.0,2.0
math/0407263,Local conformal nets arising from framed vertex operator algebras,1.670249260796512e-05,3.426398957035054e-06,11.0,1.0
math/0402431,Nonclassical stochastic flows and continuous products,1.6689288311544183e-05,1.990182755160072e-06,17.0,2.0
math/0608354,"Elliptic Theory on Manifolds with Corners: II. Homotopy classification
  and $K$-Homology",1.6444453019232526e-05,0.0,5.0,0.0
math/0308207,Compact Quantum Metric Spaces,1.6041253687415582e-05,6.746016493010394e-07,19.0,6.0
math/0411499,Conformal Nets Associated with Lattices and Their Orbifolds,1.547407173774751e-05,1.990182755160072e-06,4.0,2.0
math/0607362,Nondegenerate Representations of Continuous Product Systems,1.5244957475070634e-05,1.6356295808355233e-06,11.0,2.0
math/0604120,A Schur-Horn type theorem for II$_1$ factors,1.5044782123812076e-05,0.0,5.0,1.0
