source,target
math/0307158,math/0309040
math/0304184,math/0309040
math/0411311,quant-ph/0402136
math/0703079,math/0703076
math/0703078,math/0703076
math/0703077,math/0703076
math/0402088,math/0404474
math/0309040,math/0307158
math/0611562,math/0701877
math/0509225,math/0601648
math/0506124,math/0601648
math/0212294,math/0405225
math/0703076,math/0703079
math/0703080,math/0703079
math-ph/0508006,math/0601741
math-ph/0511021,math/0601741
math/0703076,math/0703077
math/0701877,math/0611562
math-ph/0508006,math-ph/0511021
astro-ph/0109483,math/0209047
math/0703076,math/0703078
math/0703077,math/0703078
math/0601648,math/0607026
math/0307158,math/0310358
math/0402058,math/0310358
math/0309040,math/0310358
math/0309040,math/0402058
math/0310358,math/0402058
math/0302243,math/0309048
math/0703076,math/0703080
math/0703079,math/0703080
math-ph/0508006,math/0606118
math/0601741,math/0606118
math-ph/0511021,math/0606118
math/0404474,math/0504397
math/0402088,math/0504397
math/9908087,math/9908088
math/9902124,math/9908088
math/9908088,math/9908087
math/9902124,math/9908087
math/0404194,math/0404237
math/0203228,math/0208167
math/0509299,math/0601424
math/0509536,math/0601424
cond-mat/9901351,cond-mat/9901353
math/0211146,math/0301266
math/0212294,math/0404184
math/0103170,math/0211450
math/0006183,math/0210004
math/0503390,math/0508023
math/0405065,math/0506619
math/9912237,math/0002113
math/0301278,math/0402364
math/0607026,math/0608486
math/0311223,math/0404511
math/0306426,math/0411338
math/0306426,math/0610854
math/0506419,math/0612381
math-ph/0508006,math-ph/0702079
math-ph/0511021,math-ph/0702079
math/0601741,math-ph/0702079
cond-mat/9901353,math/9904056
cond-mat/9901351,math/9904056
math/0509299,math/0602588
math/0601424,math/0602588
math/0212294,math/0603619
math/0404184,math/0603619
math/0208014,math/0503448
math/0404474,math/0510452
math/0402088,math/0510452
math/0405208,physics/0603201
math/0603619,math/0605078
math/0503448,math/0605078
math/0209047,astro-ph/0304214
math/0004148,math-ph/0703062
math/0402437,math-ph/0703062
math/9905046,math/0005281
math/9912237,math/0012130
math/0002113,math/0012130
math/0003177,math/0108070
math/0106031,math/0110034
math/0007155,math/0204189
math/0205016,math/0206133
math/0106180,math/0206184
math/0206037,math/0209085
math/0103170,math/0302092
math/0211450,math/0302092
math/0301335,math/0304255
math/0303254,math/0307196
math/0208167,math/0309295
math/0210012,math/0309412
math/0301266,math/0310194
math/0310358,math/0404382
math/0403180,math/0405586
math/0301266,math/0406284
math/0311223,math/0406595
math/0404511,math/0406595
math/0404237,math/0407406
math-ph/0206036,math/0409111
math/0310316,math/0412403
math/0309254,math/0412442
math/0501123,math/0501133
math/0306426,math/0501499
cond-mat/0010337,cond-mat/0104214
math/0403209,math/0502361
math/0306426,math/0503009
math/0411338,math/0503009
math/0410111,math/0505677
math/0506619,math/0507013
math/0405065,math/0507013
math/0503415,math/0509140
math/0212102,math/0509140
math/0411211,math/0509140
math/0302264,math/0509140
math/0302127,math/0509140
math/0212294,math/0509250
math/0404184,math/0509250
math/0402364,math/0510333
math/0301278,math/0510333
math/0509299,math/0512163
math/0312281,math/0601195
math/0508023,math/0603176
math/0503390,math/0603176
math/0509064,math/0604383
math/0502025,math/0605117
math/0512468,math/0607472
math/0603598,math/0607472
math/0605002,math/0607761
math/0607576,math/0608178
math/0604072,math/0608381
math/0405225,math/0609243
math/0601424,math/0609482
math/0602588,math/0609482
math/0606476,math/0611498
math/0612136,math/0612154
math/0611812,math/0612469
math/0610854,math/0612682
math/0607026,math/0701181
math/0608486,math/0701181
math/0612136,math/0701470
math/0611562,math/0702005
math/0306180,math/0702005
math/0509299,math/0702737
math/0602589,math/0702737
math/0606083,math/0702737
math/0702663,math/0703494
math/0609019,math/0703575
math/0605610,math/0703575
math/0703076,math/0703714
math/0703538,math/0703782
math/0703825,math/0703823
math/9907142,math/9907160
cs/0603013,cs/0603049
physics/0603201,physics/0611233
math/0405208,physics/0611233
