id,title,pagerank,betweenness,in_degree,out_degree
physics/0611233,Phase retrieval and saddle-point optimization,9.8487729979601e-06,0.0,6.0,0.0
math-ph/0703062,Lie Algebroids in Classical Mechanics and Optimal Control,9.397208409149244e-06,0.0,11.0,0.0
math/9908088,"Feedback Stabilization over Commutative Rings with no
  Right-/Left-Coprime Factorizations",7.82324995062454e-06,0.0,2.0,1.0
math/9908087,A Parameterization of Stabilizing Controllers over Commutative Rings,7.82324995062454e-06,0.0,2.0,1.0
math/0703076,Game pricing and double sequence of random variables,7.738919270652644e-06,0.0,3.0,5.0
math-ph/0508006,Quantum filtering: a reference probability approach,7.721882523907014e-06,0.0,6.0,7.0
math/0609482,Optimal Attitude Control for a Rigid Body with Symmetry,7.566308413268851e-06,0.0,3.0,0.0
math/0509399,The nonholonomic Riemann and Weyl tensors for flag manifolds,7.428255626089754e-06,2.0630344327788967e-06,10.0,2.0
math/0701181,Distances between time-series and their autocorrelation statistics,7.371368186882868e-06,0.0,2.0,0.0
math-ph/0303051,"Perturbation Theory and Control in Classical or Quantum Mechanics by an
  Inversion Formula",7.314748058356636e-06,0.0,6.0,6.0
math/0310358,The control transmutation method and the cost of fast controls,7.131421481218255e-06,0.0,3.0,2.0
math/0605078,The Minkowski Theorem for Max-plus Convex Sets,7.089224290279818e-06,1.919531804339012e-06,5.0,1.0
math/0509140,"Automatic Computation of Conservation Laws in the Calculus of Variations
  and Optimal Control",7.079983776613288e-06,0.0,5.0,0.0
math/0703079,Least-Squares Prices of Games,6.614429212452857e-06,0.0,2.0,2.0
quant-ph/0407135,"Complete hierarchies of efficient approximations to problems in
  entanglement theory",6.309676213544754e-06,6.682356318297265e-05,12.0,12.0
cond-mat/0407130,Extremal Optimization for Sherrington-Kirkpatrick Spin Glasses,5.875015247321308e-06,4.308673980722697e-06,2.0,4.0
physics/0603201,"A unified evaluation of iterative projection algorithms for phase
  retrieval",5.686428125589514e-06,0.0,8.0,1.0
math/0312083,On the Curvature of the Central Path of Linear Programming Theory,5.655144290770314e-06,0.0,1.0,1.0
math/0504308,"Semidefinite Programming and Reachable Sets of Dissipative Bilinear
  Control Systems",5.655144290770314e-06,0.0,1.0,1.0
math-ph/0511021,On the separation principle of quantum control,5.335968653022006e-06,3.068601767101648e-05,3.0,5.0
math/0606118,A discrete invitation to quantum filtering and feedback control,5.20071381547211e-06,6.813490268058135e-06,5.0,2.0
math/0611498,"A note on the representation of positive polynomials with structured
  sparsity",5.085084882991609e-06,0.0,1.0,0.0
math/0703080,"Details for ""Least-Squares Prices of Games""",4.921840845147709e-06,0.0,2.0,1.0
math/0612682,Convergence Speed in Distributed Consensus and Control,4.7530577026366125e-06,0.0,2.0,0.0
math/0608178,A regularity theory for multiple-valued Dirichlet minimizing maps,4.715121399099865e-06,0.0,3.0,0.0
math/9906107,"Games, predictions, interactivity",4.690332058240227e-06,0.0,6.0,3.0
math/0607026,Distances between power spectral densities,4.65870979232464e-06,3.980365510320144e-06,1.0,2.0
math/0608486,An intrinsic metric for power spectral density functions,4.627157446473498e-06,0.0,1.0,1.0
math/0601648,"The maximum entropy ansatz in the absence of a time arrow: fractional
  pole models",4.534059758234596e-06,5.970548265480216e-06,2.0,1.0
math/0402058,"Controllability cost of conservative systems: resolvent condition and
  transmutation",4.506557850012979e-06,0.0,2.0,1.0
astro-ph/0304214,Reconstruction of the early Universe as a convex optimization problem,4.312028221117353e-06,1.990182755160072e-06,4.0,1.0
math/0410111,Integer Polynomial Optimization in Fixed Dimension,4.289084593342065e-06,0.0,1.0,2.0
astro-ph/0109483,"A reconstruction of the initial conditions of the Universe by optimal
  mass transportation",4.221463240352292e-06,3.980365510320144e-06,1.0,2.0
math/0611562,The Algebraic Degree of Semidefinite Programming,4.063143711471229e-06,0.0,1.0,2.0
math/0503716,Minimum representing measures in Idempotent Analysis,4.055391899265705e-06,1.8750750075151206e-07,4.0,2.0
math/0702737,Propagation of Uncertainty in Rigid Body Attitude Flows,3.949062647205141e-06,0.0,3.0,0.0
math/0601741,An introduction to quantum filtering,3.945032297754898e-06,7.951065361677771e-06,4.0,7.0
math/0404382,On the null-controllability of the heat equation in unbounded domains,3.920959855018792e-06,0.0,1.0,0.0
math/0511617,"Global optimization of polynomials using gradient tentacles and sums of
  squares",3.911405833560001e-06,0.0,3.0,0.0
math/0410467,"Equation-free optimal switching policies for bistable reacting systems
  using coarse time-steppers",3.851202003424355e-06,0.0,3.0,0.0
math/0601424,"Optimal Attitude Control of a Rigid Body using Geometrically Exact
  Computations on SO(3)",3.824839330391671e-06,0.0,4.0,2.0
math/0602588,"Optimal Control of a Rigid Body using Geometrically Exact Computations
  on SE(3)",3.821139877366285e-06,0.0,3.0,1.0
math-ph/0702079,"Eventum Mechanics of Quantum Trajectories: Continual Measurements,
  Quantum Predictions and Feedback Control",3.7833793074374087e-06,5.970548265480216e-06,3.0,1.0
math/0609528,Semidefinite Characterization and Computation of Real Radical Ideals,3.7777756914601537e-06,0.0,1.0,0.0
