source,target
math/9904010,math/9903176
math/9906120,math/9903176
math/9907127,math/9903176
math/0001022,math/9905083
math/0004082,math/9905083
math/9905084,math/9905083
math/9903134,math/9905083
math/9905189,math/9906120
math/9904042,math/9906120
math/9903176,math/9906120
math/9905084,math/9906120
math/0011250,math/9906120
math/9905083,math/9906120
math/0107056,math/0206208
math/0105240,math/0206208
math/0112162,math/0206208
math/9905083,math/9903134
math/9904010,math/9903134
math/9906120,math/9904042
math/9905083,math/9904042
math/9903176,math/9904042
math/9905084,math/9904042
math/9903134,math/9904042
math/0210090,math/0310297
math/9904042,math/9910019
math/9905083,math/9910019
math/9903176,math/9910019
math/9905084,math/9910019
math/9903134,math/9910019
math/0209343,math/0112234
math/0212338,math/0112234
math/0210457,math/0301237
math/9806112,math/0301237
math/9903121,math/0301237
math/0203221,math/0301237
math/9907011,math/0301237
math/0212269,math/0301237
math/9911115,math/0301237
math/9810015,math/9904010
math/9903176,math/9904010
math/9804086,math/9904010
math/9810013,math/9904010
math/9903134,math/9904010
math/9904010,math/9907127
math/9904042,math/9907127
math/9810015,math/9907127
math/9906120,math/9907127
math/9912143,math/9907127
math/9903176,math/9907127
math/9910019,cond-mat/0101200
math/9910146,cond-mat/0101200
math/0605337,math/0312099
math/9910019,math/9905084
math/0012117,math/9905084
math/9904042,math/9905084
math/9906120,math/9905084
math/9909104,math/9905084
math/0005133,math/9905084
math/9912025,math/9905084
math/9905083,math/9905084
hep-th/0210015,math/0209343
math/0112234,math/0209343
math/0207231,math/0209343
math-ph/0301018,math/0209343
math/0309449,math/0210090
math/0310297,math/0210090
physics/9811046,hep-ex/9909047
math-ph/0312056,math/0605337
math/0112234,math/0605337
math/0605035,math/0605337
math/0209343,math/0605337
math/0002099,math/0109194
math/0101125,math/0109194
math-ph/0010014,math/0109194
math/9810015,math/0109194
math/9810014,math/0109194
math/9810013,math/0109194
math/9905189,math/0109194
math/9904010,math/0109194
math/9906120,math/0109194
math/9804086,math/0109194
math/0109193,math/0109194
math-ph/0010015,math/0109194
math/0105240,math/0107056
math/9906120,math/0107056
math/9907127,math/0107056
math/0011250,math/0107056
math/0107056,math/0310278
math/0101125,math/0310278
math/0109194,math/0310278
math/9904010,math/9905189
math/9904042,math/9905189
math/9810015,math/9905189
math/9905083,math/9905189
math/9903176,math/9905189
math/9804086,math/9905189
math/9905084,math/9905189
math/9810013,math/9905189
math/9903134,math/9905189
math/9804086,math/9810015
math/9810014,math/9810015
math/9810013,math/9810015
math/0301237,math/0203221
math/0212269,math/0203221
math/9806112,math/0203221
math/9911115,math/0203221
math/9903134,math/9910146
math/0011250,math/0105240
math/0107056,math/0105240
math/0002099,math/0105240
math/0410601,math/0403016
math/0112194,math/0403016
math/9806112,math/0001070
math/9907011,math/0001070
math/0411071,math/0411069
math/0510047,math/0506431
hep-th/0301064,hep-th/0210015
math/0507324,math/0505668
math/0511186,math/0505668
math/0511093,math/0504589
math/0508430,math/0504589
math/0606454,math/0504589
math/9904042,math/0002099
