id,title,pagerank,betweenness,in_degree,out_degree
math-ph/0703019,"Integrable Structure of Ginibre's Ensemble of Real Random Matrices and a
  Pfaffian Integration Theorem",9.689213738909653e-05,0.0,2.0,0.0
math/0608422,Boundary Partitions in Trees and Dimers,7.435865910110045e-05,1.990182755160072e-06,20.0,1.0
math/0702474,"A note on percolation on Z^d: isoperimetric profile via exponential
  cluster repulsion",4.933562324047624e-05,0.0,17.0,1.0
cond-mat/0610550,Critical curves in conformally invariant statistical systems,4.363563524831063e-05,0.0,24.0,0.0
math-ph/0607046,"Stochastic geometry of critical curves, Schramm-Loewner evolutions, and
  conformal field theory",3.647444819909739e-05,1.389716169614952e-07,59.0,1.0
cond-mat/0502448,Strong disorder RG approach of random systems,3.50097337546642e-05,1.238725217320899e-05,22.0,6.0
math-ph/0610018,A Complete Renormalization Group Trajectory Between Two Fixed Points,3.1546452209529994e-05,0.0,1.0,1.0
cond-mat/0406334,Ma-Dasgupta renormalization studies of various disordered systems,2.958504323526104e-05,0.0,16.0,0.0
cond-mat/0306407,"Non-linear Response of the trap model in the aging regime : Exact
  results in the strong disorder limit",2.750758565682875e-05,1.5966840803580124e-06,14.0,1.0
math-ph/0611078,Conformal boundary loop models,2.568581623467704e-05,3.7184350305828176e-06,17.0,3.0
math/0611666,"Anomalous heat-kernel decay for random walk among bounded random
  conductances",2.5380705507268804e-05,0.0,4.0,1.0
math/0606391,"Multivariable Christoffel-Darboux Kernels and Characteristic Polynomials
  of Random Hermitian Matrices",2.2990234613023757e-05,3.9729394552635765e-06,16.0,2.0
math/0701923,"Asymptotics of non-intersecting Brownian motions and a 4 x 4
  Riemann-Hilbert problem",2.214528097767567e-05,0.0,6.0,0.0
math/0609498,On the variance of the number of occupied boxes,2.138751304164161e-05,0.0,4.0,1.0
hep-th/0306238,Seiberg-Witten Theory and Random Partitions,2.111146853839452e-05,0.0006608330686191,98.0,73.0
cond-mat/0603657,On the number of circuits in random graphs,2.104337050928349e-05,3.974177131106338e-06,9.0,2.0
math/0402409,Martingales and character ratios,1.915065999247004e-05,0.0,5.0,1.0
math-ph/0603038,Universality for mathematical and physical systems,1.724051408311142e-05,2.544727378771126e-05,12.0,7.0
math/0409277,Large deviations and stochastic calculus for large random matrices,1.707329947442888e-05,0.0,18.0,0.0
math/0402431,Nonclassical stochastic flows and continuous products,1.6689288311544183e-05,1.990182755160072e-06,17.0,2.0
math-ph/0409075,Markov processes on partitions,1.6226714939402497e-05,8.00281823967657e-06,28.0,2.0
math/0609806,Meixner polynomials and random partitions,1.622561244358719e-05,0.0,21.0,0.0
math/0612609,The Length of an SLE - Monte Carlo Studies,1.429671649166934e-05,0.0,13.0,0.0
cond-mat/0605120,Anchored Critical Percolation Clusters and 2-D Electrostatics,1.4240217175715389e-05,0.0,13.0,0.0
math/0311290,"Stein's Method, Jack Measure, and the Metropolis Algorithm",1.4162432374513267e-05,0.0,3.0,1.0
math/0508002,A Fast Algorithm for Simulating the Chordal Schramm-Loewner Evolution,1.3948213134912786e-05,3.97932822009002e-06,8.0,3.0
math/0610115,Better Bell inequalities (passion at a distance),1.289761945800534e-05,1.0395199336880597e-07,14.0,1.0
cond-mat/0303270,"Anomalous diffusion, Localization, Aging and Sub-aging effects in trap
  models at very low temperature",1.277735702298323e-05,3.7130275282837164e-09,7.0,3.0
math/0702071,Computing the Loewner driving process of random curves in the half plane,1.2457753172183376e-05,0.0,12.0,1.0
math/0504589,The phase transition in inhomogeneous random graphs,1.1819064128126406e-05,0.0,7.0,6.0
math-ph/0703023,Transition between Airy_1 and Airy_2 processes and TASEP fluctuations,1.1813377715358257e-05,0.0,6.0,0.0
math/0611589,High Dimensional Statistical Inference and Random Matrices,1.1803089523260526e-05,0.0,8.0,0.0
math/0510654,Transportation to random zeroes by the gradient flow,1.1740200410592274e-05,5.970548265480216e-06,10.0,2.0
math-ph/0602039,On permanental polynomials of certain random matrices,1.154968020623126e-05,5.517774086349944e-08,7.0,1.0
math/0604397,Local limit theorems for finite and infinite urn models,1.1334909556150912e-05,0.0,1.0,1.0
math/0702357,"Bergman kernels for weighted polynomials and weighted equilibrium
  measures of C^n",1.1243327609384556e-05,0.0,6.0,0.0
cond-mat/0305618,"On a non-linear Fluctuation Theorem for the aging dynamics of disordered
  trap models",1.113135583112272e-05,1.976391510055018e-06,12.0,2.0
math/0604293,Moderate deviations for random walk in random scenery,1.1057121909173727e-05,0.0,4.0,0.0
math/0612601,Linear Ramsey numbers for bounded-degree hypergraphs,1.0880759472278789e-05,0.0,4.0,2.0
math-ph/0403007,"Janossy densities, multimatrix spacing distributions and Fredholm
  resolvents",1.0871188440079475e-05,0.0,2.0,0.0
math/0607767,"Asymptotic behavior of random determinants in the Laguerre, Gram and
  Jacobi ensembles",1.0816700682876088e-05,0.0,4.0,0.0
math/0411565,Noncommutative continuous Bernoulli shifts,1.0607229274590944e-05,5.773966166054659e-06,5.0,2.0
math/0509120,Fundamental Markov systems,1.0595320873276598e-05,0.0,3.0,0.0
cond-mat/0609435,Loop models and their critical points,1.049652524469235e-05,6.060032228911853e-06,14.0,2.0
math/0409333,Representation theory and random point processes,1.0445700269027795e-05,0.0,17.0,0.0
math/0701897,Record indices and age-ordered frequencies in Gibbs random partitions,1.0422675742783328e-05,0.0,4.0,0.0
astro-ph/0102153,"Constructing, characterizing, and simulating Gaussian and higher-order
  point distributions",1.0257748179353724e-05,1.1846149565564927e-06,5.0,2.0
math/0605421,Imbalance attractors for a strategic model of market microstructure,1.0211252336982677e-05,0.0,5.0,0.0
