id,title,pagerank,betweenness,in_degree,out_degree
hep-th/0604128,"Quantum spectral curves, quantum integrable systems and the geometric
  Langlands correspondence",0.0001490639815149,1.8317941097466853e-05,123.0,9.0
hep-th/0701279,Toward logarithmic extensions of ^sl(2)_k conformal field models,8.77919055187827e-05,0.0,46.0,0.0
hep-th/0406154,Characters of the Positive Energy UIRs of D=4 Conformal Supersymmetry,8.552356830671533e-05,6.390478327083199e-05,122.0,6.0
math/0403276,Noncommutative localization in noncommutative geometry,3.9634706446046864e-05,6.083936463138429e-06,40.0,4.0
math/0604158,"Paths and tableaux descriptions of Jacobi-Trudi determinant associated
  with quantum affine algebra of type C_n",3.8818150076415854e-05,1.31900882671412e-08,17.0,1.0
math/0608248,"Rational R-matrices, centralizer algebras and tensor identities for e_6
  and e_7 exceptional families of Lie algebras",3.870021028921484e-05,0.0,7.0,0.0
math/0611184,Parametrization of semi-dynamical quantum reflection algebra,3.724711774197275e-05,0.0,8.0,0.0
hep-th/0606196,"Logarithmic extensions of minimal models: characters and modular
  transformations",3.663440109544448e-05,8.409073700616251e-07,33.0,1.0
hep-th/0607199,The Half-Twisted Orbifold Sigma Model and the Chiral de Rham Complex,3.567401559733672e-05,0.0,11.0,1.0
math/0408390,"Two linear transformations each tridiagonal with respect to an
  eigenbasis of the other; an algebraic approach to the Askey scheme of
  orthogonal polynomials",3.566051068024529e-05,1.5914436943862823e-05,23.0,12.0
math-ph/0610073,"Orders and dimensions for sl(2) or sl(3) module categories and Boundary
  Conformal Field Theories on a torus",3.541644471381281e-05,0.0,21.0,0.0
math/0612798,Gaudin models with irregular singularities,3.512711688220464e-05,0.0,14.0,0.0
math-ph/0507062,"Spin Calogero models obtained from dynamical r-matrices and geodesic
  motion",3.426762164836593e-05,5.51662611871847e-06,28.0,5.0
math/0702188,"Higher Dimensional Unitary Braid Matrices: Construction, Associated
  Structures and Entanglements",3.330901707595927e-05,0.0,13.0,0.0
math/0608627,"Integrality of quantum 3-manifold invariants and rational surgery
  formula",3.2828265112044674e-05,6.3797081283000885e-06,5.0,1.0
hep-th/0109162,Quantum Field Theory on Noncommutative Spaces,3.216292833367945e-05,0.0023302478754585,245.0,345.0
hep-th/0602051,On non-semisimple fusion rules and tensor categories,3.1617313306957444e-05,5.823647879308324e-06,52.0,3.0
hep-th/0510119,"Categories of holomorphic line bundles on higher dimensional
  noncommutative complex tori",3.1193218118068025e-05,4.054302532191683e-06,40.0,3.0
hep-th/9903176,"Exclusion statistics in conformal field theory and the UCPF for WZW
  models",3.1088363799388534e-05,4.236221639627667e-05,62.0,8.0
math/0607527,On minimal affinizations of representations of quantum groups,3.071410530336129e-05,1.933967360044692e-06,6.0,1.0
hep-th/9810113,"Exclusion Statistics in Conformal Field Theory -- generalized fermions
  and spinons for level-1 WZW theories",3.0415629253148143e-05,0.0001148701224694,56.0,16.0
math/0508169,"Covariant q-differential operators and unitary highest weight
  representations for U_q su(n,n)",2.974423873311689e-05,0.0,7.0,0.0
hep-th/0608184,The logarithmic triplet theory with boundary,2.9418885172772684e-05,9.10671700933395e-06,52.0,5.0
math/0601312,L-infinity structures on mapping cones,2.933288840174345e-05,3.4296264052881053e-06,15.0,2.0
math/0612139,Calabi-Yau algebras,2.8431034854645648e-05,0.0010263494118412,36.0,8.0
math/0406480,"Generalized double affine Hecke algebras of rank 1 and quantized Del
  Pezzo surfaces",2.8166801260840054e-05,2.1243085535594476e-05,14.0,5.0
cond-mat/0702271,On $Q$-operators of XXZ Spin Chain of Higher Spin,2.7987909661914755e-05,0.0,19.0,0.0
hep-th/9910226,Beyond CFT : Deformed Virasoro and Elliptic Algebras,2.783720723254273e-05,5.976969583138727e-06,62.0,5.0
math/0111055,Regularity of certain vertex operator algebras with two generators,2.680026842028459e-05,0.0,3.0,0.0
hep-th/0510202,Hopf algebra approach to Feynman diagram calculations,2.6781511849008897e-05,1.1319766472909072e-05,59.0,7.0
