id,title,pagerank,betweenness,in_degree,out_degree
hep-th/0604128,"Quantum spectral curves, quantum integrable systems and the geometric
  Langlands correspondence",0.0001490639815149,1.8317941097466853e-05,123.0,9.0
math/0503507,Advanced Determinant Calculus: A Complement,5.760414364075261e-05,2.1322375286169986e-05,57.0,5.0
math/0503647,Rota-Baxter Algebras and Dendriform Algebras,5.174179353263221e-05,1.622595931765743e-05,25.0,8.0
math/0701031,Rota-Baxter algebras and new combinatorial identities,5.124664003288783e-05,0.0,6.0,0.0
math/9906113,On what I do not understand (and have something to say): Part I,4.667081502530567e-05,0.0,66.0,10.0
math/0403276,Noncommutative localization in noncommutative geometry,3.9634706446046864e-05,6.083936463138429e-06,40.0,4.0
math/0612139,Calabi-Yau algebras,2.8431034854645648e-05,0.0010263494118412,36.0,8.0
hep-th/0512258,Octonionic Electrodynamics,2.5607834557842288e-05,4.407255048373591e-06,28.0,3.0
math-ph/0307017,The Bubble Algebra: Structure of a Two-Colour Temperley-Lieb Algebra,2.512559514841361e-05,2.5332476303194337e-07,22.0,1.0
math/0611783,Affine transformations of a Leonard pair,2.286524178542757e-05,1.0420805106457756e-06,31.0,1.0
math/0606164,Generalized shuffles related to Nijenhuis and TD-algebras,2.2587135461334586e-05,0.0,22.0,1.0
math/0510266,Free Rota-Baxter algebras and rooted trees,2.141710226923885e-05,2.059033658409355e-06,17.0,5.0
math/0505007,"Logarithmic growth of systole of arithmetic Riemann surfaces along
  congruence subgroups",1.9298374401283943e-05,0.0,13.0,8.0
math/0608367,Cluster algebras and triangulated surfaces. Part I: Cluster complexes,1.9113148810715037e-05,1.335159888134886e-05,22.0,4.0
hep-th/0107151,Spectroscopy of Gauge Theories Based on Exceptional Lie Groups,1.896820440833152e-05,0.0,61.0,0.0
math/0703540,Cluster characters for triangulated 2-Calabi--Yau categories,1.843203254618236e-05,0.0,13.0,1.0
math/0610512,A geometric description of the m-cluster categories of type D_n,1.8057700120567644e-05,7.631197814102649e-07,7.0,1.0
math/0608623,The switching element for a Leonard pair,1.7908181288961506e-05,2.4864402333945977e-06,30.0,3.0
math/0603200,On global deformation quantization in the algebraic case,1.7735698420852868e-05,0.0,8.0,1.0
math/0703780,On Differential Rota-Baxter Algebras,1.625342575150432e-05,2.701745032169102e-08,8.0,1.0
math/0511587,"On the scope of validity of the norm limitation theorem for quasilocal
  fields",1.5475915785234467e-05,0.0,4.0,1.0
math/0612493,Poisson algebras and Yang-Baxter equations,1.5445355331024663e-05,0.0,9.0,0.0
math/0504089,Generalized double affine Hecke algebras of higher rank,1.4435042834841265e-05,0.0,14.0,1.0
math/0604610,Every quantum minor generates an Ore set,1.4405636531926037e-05,0.0,4.0,0.0
math/0601558,Multiple zeta values and Rota--Baxter algebras,1.4252209182390238e-05,5.043334133514698e-07,20.0,6.0
quant-ph/0404126,"Lieb's simple proof of concavity of Tr A^p K^* B^(1-p) K and remarks on
  related inequalities",1.407697817399888e-05,3.729166545959198e-05,2.0,6.0
math/0701749,"Quantum heaps, cops and heapy categories",1.3667127506167296e-05,0.0,5.0,0.0
math/0604454,"Generators, extremals and bases of max cones",1.3381229116653592e-05,0.0,7.0,0.0
math/0206298,The Deligne-Simpson problem -- a survey,1.3251041639074566e-05,0.0,9.0,2.0
math/0701778,A_\infty-subalgebras and natural transformations,1.2682587673647352e-05,0.0,8.0,0.0
math/0603231,Hochschild Cohomology and Graded Hecke Algebras,1.2484758565758575e-05,1.990182755160072e-06,6.0,1.0
math/0702539,"The A-infinity Deformation Theory of a Point and the Derived Categories
  of Local Calabi-Yaus",1.2435940402726712e-05,2.4292114768672983e-06,11.0,2.0
hep-th/0602047,Hamilton's equations in a non-associative quantum theory,1.191460928053958e-05,1.072305257235991e-06,6.0,1.0
math/0310369,Grobner fan for analytic D-modules with parameters,1.1825089430803648e-05,3.980365510320144e-06,4.0,2.0
math/0506069,"Class field theory for strictly quasilocal fields with Henselian
  discrete valuations",1.1801067032158855e-05,0.0,3.0,1.0
math/0608264,A geometric model for cluster categories of type $D_n$,1.1572379504274986e-05,6.274954013918534e-09,19.0,1.0
math/0508556,Dynamical Quantum Groups - The Super Story,1.1540817844539336e-05,0.0,6.0,0.0
math/0412122,Finitary Galois extensions over noncommutative bases,1.1537239150291357e-05,0.0,6.0,0.0
math/0703039,Cluster algebra structures and semicanonical bases for unipotent groups,1.1518415938904832e-05,0.0009480683320731,3.0,4.0
math/0608341,The PI Property of Graded Hecke Algebras,1.1476554452622742e-05,0.0,1.0,0.0
