source,target
math/9904010,math/9903176
math/9907127,math/9903176
math/0110077,math/0204305
math/9810015,math/9904010
math/9903176,math/9904010
math/9810013,math/9904010
math/9904010,math/9907127
math/9810015,math/9907127
math/9903176,math/9907127
math/0501494,math/0404439
math/9908039,math/0105155
math/0202301,math/0111005
math/0108185,math/0111005
math/0011114,math/0111005
math/0303107,math/0402054
math/0203260,math/9810140
math/9810015,math/0109194
math/9810014,math/0109194
math/9810013,math/0109194
math/9905189,math/0109194
math/9904010,math/0109194
math/0109193,math/0109194
math-ph/0010015,math/0109194
math/0304010,math/0505317
math/0110077,math/0304010
math/9904010,math/9905189
math/9810015,math/9905189
math/9905083,math/9905189
math/9903176,math/9905189
math/9810013,math/9905189
math/0509700,math/0508003
math/0506056,math/0508003
math/0605217,math/0508003
math/0009183,math/0508003
math/0211288,math/0508003
math/9810014,math/9810015
math/9810013,math/9810015
math-ph/0111007,math-ph/0111008
math/0109194,math-ph/0111008
math/9810015,math-ph/0111008
math/9905189,math-ph/0111008
math/9904010,math-ph/0111008
math/0210428,math/0303107
math/9907149,math/9904109
math/0502147,math/0309207
math/0310098,math/0210256
math/0612638,math/0612429
math/0612640,math/0612429
math/9905189,math/9909104
math/9907127,math/9909104
math/9903176,math/9909104
math/9905083,math/9909104
math/0503324,math/0506018
math/0402054,math/0506018
math/0503240,math/0506018
math/0412077,math/0506018
math/0207274,math/0207272
math/0512651,math/0608750
math/0106057,math/0210428
math/0407414,math/0412077
math/0402054,math/0412077
math/0506018,math/0412077
math/0311493,math/0412077
math/9904109,math/9907149
math/0209346,math/0310098
math/0207272,math/0207274
math/0509200,math/0502147
math/0309207,math/0502147
math/9810140,math/9908039
math/0407414,math/0505518
math/0311012,math/0505518
math/0109194,math-ph/0111007
math/9810015,math-ph/0111007
math/9903176,math-ph/0111007
math/9810014,math-ph/0111007
math/0109193,math-ph/0111007
math/9905189,math-ph/0111007
math/9904010,math-ph/0111007
math/9810013,math-ph/0111007
math-ph/0010015,math-ph/0111007
math/0601117,math/0608276
math/0504213,math/0504216
math/9912124,math/0110077
math/0506171,math/0505268
math/0610423,math/0611403
math/0212001,math/0509276
math/0503315,math/0509276
math/0412432,math/0509276
math/0602177,math/0509276
math/0312478,math/0509276
math/0507584,math/0509276
math/0502165,math/0509276
math/0505268,math/0506171
math/0504267,math/0606044
math/0105155,math/0203260
math/9810140,math/0203260
math/0504216,math/0504213
math/9904010,math/9912124
math/9810015,math/9912124
math/0502115,math/0504143
math/0502118,math/0504143
math/0602546,math/0405503
math/0210026,math/0301257
cs/9809119,math/9808098
math/0406194,math/0406193
math/0406193,math/0406194
math/0011114,math/0108185
math/0312243,math/0408249
math/0601511,math/0506147
math/0301257,math/0210026
math/9810015,math/9810013
math/9810014,math/9810013
math/0207127,math/0208138
math/0111005,math/0208138
math/0011114,math/0208138
math/0108185,math/0208138
math/0206087,math/0206298
math/0208138,math/0403277
math/0303194,math/0403277
math/0506405,math/0512471
math/0506018,math/0512471
math/0510445,math/0512471
math/0509198,math/0512471
math/0510359,math/0512471
math/0503324,math/0512471
math/0510251,math/0512471
math/0512137,math/0512471
math/0601537,math/0512471
math/0312474,math/0407516
math/0611403,math/0610423
math/0111005,math/0312474
math/0409262,math/0312474
math/0011114,math/0312474
math/0307390,math/0312474
math/0108185,math/0312474
math/0407516,math/0312474
math/0410293,math/0409262
math/0111005,math/0409262
math/0511489,math/0409262
math/0312474,math/0409262
math/0011114,math/0409262
math/0407516,math/0409262
