id,title,pagerank,betweenness,in_degree,out_degree
hep-th/0406154,Characters of the Positive Energy UIRs of D=4 Conformal Supersymmetry,8.552356830671533e-05,6.390478327083199e-05,122.0,6.0
math/0702746,A brief review of abelian categorifications,6.418038273245115e-05,0.0,21.0,0.0
math/0608248,"Rational R-matrices, centralizer algebras and tensor identities for e_6
  and e_7 exceptional families of Lie algebras",3.870021028921484e-05,0.0,7.0,0.0
hep-th/0606196,"Logarithmic extensions of minimal models: characters and modular
  transformations",3.663440109544448e-05,8.409073700616251e-07,33.0,1.0
math/0612798,Gaudin models with irregular singularities,3.512711688220464e-05,0.0,14.0,0.0
hep-th/0503040,"Infinite-dimensional representations of the rotation group and Dirac's
  monopole problem",3.346501018852585e-05,2.704794259531393e-07,23.0,1.0
math/0607527,On minimal affinizations of representations of quantum groups,3.071410530336129e-05,1.933967360044692e-06,6.0,1.0
math/0701557,Cluster structures for 2-Calabi-Yau categories and unipotent groups,3.03225781655286e-05,0.0004769961561282,16.0,5.0
math/0111055,Regularity of certain vertex operator algebras with two generators,2.680026842028459e-05,0.0,3.0,0.0
hep-th/0702152,"Invariant Differential Operators for Non-Compact Lie Groups: Parabolic
  Subalgebras",2.628704521895048e-05,0.0,11.0,0.0
math/0610594,Acyclic Calabi-Yau categories,2.5996355697033334e-05,0.0004750364612128,20.0,4.0
math/0403258,Representation theory for dilute lattice models,2.595977319238769e-05,5.8990523934204495e-08,3.0,1.0
hep-th/0402039,"Positive Energy Unitary Irreducible Representations of the Superalgebras
  osp(1|2n,R)",2.5177788667131384e-05,1.4247533122809636e-05,89.0,3.0
math/0610084,Fermionic forms and quiver varieties,2.3074619894328397e-05,0.0,14.0,0.0
math/0607155,Generalized cluster complexes via quiver representations,2.2799673663493306e-05,1.230872675452977e-07,9.0,3.0
math/0508003,Representations of shifted Yangians and finite W-algebras,2.1947696480957707e-05,2.350423412094981e-05,32.0,9.0
math/0501365,Mirkovic-Vilonen cycles and polytopes,2.10884159604408e-05,9.938728429430892e-06,15.0,3.0
hep-th/0512354,Invariant Differential Operators and Characters of the AdS_4 Algebra,2.0319963176639394e-05,1.2879005894716357e-06,26.0,2.0
math/0607736,Mutation in triangulated categories and rigid Cohen-Macaulay modules,2.025148323898837e-05,3.1366904805120765e-06,10.0,6.0
math/0402409,Martingales and character ratios,1.915065999247004e-05,0.0,5.0,1.0
math/0606631,Twisting Derived Equivalences,1.9103110025057092e-05,0.0,14.0,0.0
math/0703540,Cluster characters for triangulated 2-Calabi--Yau categories,1.843203254618236e-05,0.0,13.0,1.0
math-ph/0602046,Computation of Invariants of Lie Algebras by Means of Moving Frames,1.8351910097175394e-05,3.980365510320144e-06,8.0,2.0
math/0610512,A geometric description of the m-cluster categories of type D_n,1.8057700120567644e-05,7.631197814102649e-07,7.0,1.0
cs/0703059,Geometry and the complexity of matrix multiplication,1.8002094679962426e-05,0.0,6.0,0.0
math/0504600,Representations of rational Cherednik algebras,1.704940138130407e-05,2.7040827628867025e-06,16.0,2.0
math/0606380,Argument Shift Method and Gaudin Model,1.6442360677406093e-05,6.27765528374893e-07,9.0,3.0
quant-ph/0212101,p-Mechanics as a Physical Theory. An Introduction,1.6319663932805748e-05,2.504409541883486e-06,14.0,6.0
