source,target
math-ph/0307030,math-ph/0306008
math-ph/0212058,math-ph/0307062
math-ph/0212057,math-ph/0307062
math-ph/0203026,math-ph/0307062
math-ph/0208027,math-ph/0307062
math-ph/0308041,math-ph/0307062
math/0510041,math/0311081
math-ph/9903048,math-ph/9901011
math-ph/9901011,math-ph/9903048
math-ph/0506053,math-ph/0407047
math/9909076,math/0105142
math/9903186,math/0105142
funct-an/9708001,math/0105142
math/9901112,math/0105142
math/9904050,math/0105142
math-ph/0407047,math-ph/0203026
math-ph/0212057,math-ph/0203026
math-ph/0506053,math-ph/0203026
math-ph/0308041,math-ph/0203026
math-ph/0307062,math-ph/0203026
math-ph/0306066,math-ph/0304017
math/0112179,math/0201208
math/0111077,math/0211140
math/0301349,math/0211140
math/0207041,math/0608558
math/0412493,math/0608558
math-ph/0304017,math-ph/0306066
math/0402090,math/0405225
math-ph/0212058,math-ph/0308041
math-ph/0203026,math-ph/0308041
math/0311081,math/0510041
math/0211140,math/0111077
math/0402438,math/0402090
math/0405225,math/0402090
math/0105142,math/0207125
math/0203240,math/0207125
math/0201208,math/0310465
cond-mat/0303603,cond-mat/0305067
adap-org/9812003,cond-mat/0305067
solv-int/9804004,solv-int/9804005
math/0506307,math/0602069
math/0311335,math/0404037
math-ph/0508029,math/0604277
math/0604277,math-ph/0508029
math/0402090,math/0402438
math/9801026,math/0204060
math/0608558,math/0412493
math-ph/0306008,math-ph/0312038
math/0304158,math/0309233
math/0503363,math-ph/0511057
math/0306382,math-ph/0511057
math/0210393,math/0301369
adap-org/9812003,cond-mat/0303603
math-ph/0207020,math/0311200
math/0305189,math/0311200
math/0411290,math/0605765
math/0504571,math/0605765
math-ph/0203026,math-ph/0212057
math/0206118,math/0208116
math/0102072,math/0206118
math-ph/0203026,math-ph/0212058
math-ph/0306008,math/0412132
math-ph/9903045,hep-th/0201108
math/9902147,math/0404536
math/0108014,math/0304214
math/0311200,math/0305189
math/0304158,math/0601519
math/0309233,math/0601519
math/0005011,math/0007019
math/0207125,math/0302020
math/0105142,math/0302020
math-ph/9908026,math-ph/0006021
math-ph/9903048,math-ph/0006021
math-ph/9901011,math-ph/0006021
math/0112091,math/0211305
solv-int/9812031,hep-th/0011005
math/0605765,math/0504571
math/0301357,math/0411290
cond-mat/0305067,cond-mat/0303089
math-ph/9903048,math-ph/9908026
math-ph/9901011,math-ph/9908026
solv-int/9805003,hep-th/0108021
math/0004161,math-ph/0110020
math/0407018,math/0411143
math/0410176,math/0503021
math/0410178,math/0503021
math/0511727,math/0503021
math/0109016,math/0111023
math/0610593,math/0611247
math/0111078,math/0402356
math/0111077,math/0402356
math/0211140,math/0402356
math/0404037,math/0503724
math/0309206,math/0311469
math-ph/0306008,math-ph/0405039
math/0302145,math/0306404
math/0212087,math/0306404
math/0005117,math/9908169
math/0312166,math/0601381
math/0010057,math/0105144
math/0311001,math/0411483
math/0311081,math/0411483
math/0207125,math/0306025
math/0105142,math/0306025
math/0302020,math/0306025
math/0203240,math/0306025
math/0702220,math/0701883
math-ph/0110020,math/0409442
cond-mat/0303089,cond-mat/0412723
cond-mat/0305067,cond-mat/0412723
math/0202072,math/0401153
math/0304409,math/0401153
math/0402391,math/0507443
math/0503046,math/0507443
math/0411489,math/0507443
math/0605096,math/0608617
math/0509290,math/0608617
math/0207125,math/0210032
funct-an/9708001,math/0210032
math/0105142,math/0210032
math/0701883,math/0702220
math/0112179,nlin/0303005
math/0201208,nlin/0303005
math-ph/0502006,math-ph/0504039
math/0506181,math/0511329
math/0509061,math/0511329
math/0305278,math/0511329
