id,title,pagerank,betweenness,in_degree,out_degree
math-ph/0610024,"Non-linear Supersymmetry for non-Hermitian, non-diagonalizable
  Hamiltonians: I. General properties",5.861393341719914e-05,3.470755954416184e-07,9.0,1.0
math-ph/0610022,"Non-linear Supersymmetry for non-Hermitian, non-diagonalizable
  Hamiltonians: II. Rigorous results",5.369724942158053e-05,0.0,4.0,1.0
math/0702220,"Choquet order for spectra of higher Lame operators and orthogonal
  polynomials",2.030176205204154e-05,0.0,4.0,1.0
math/0701883,Root asymptotics of spectral polynomials for the Lame operator,2.0127168606566885e-05,3.980365510320144e-06,4.0,2.0
hep-th/0201108,The ODE/IM correspondence and PT-symmetric quantum mechanics,1.5883565668456524e-05,1.0214366259327406e-05,38.0,3.0
math/0311285,Monogenic Calculus as an Intertwining Operator,1.5797628287700933e-05,0.0,10.0,0.0
hep-lat/0610070,Baryon-Baryon Bound States From First Principles,1.4921589171623149e-05,0.0,2.0,0.0
math/0607755,"Applications of stable polynomials to mixed determinants: Johnson's
  conjectures, unimodality, and symmetrized Fischer products",1.3804924526628498e-05,0.0,5.0,1.0
math/0612743,"Uniform existence of the integrated density of states for random
  Schr\""odinger operators on metric graphs over $\mathbb{Z}^d$",1.336759691266095e-05,0.0,9.0,0.0
math/0506244,"Non-selfadjoint perturbations of selfadjoint operators in 2 dimensions
  IIIa. One branching point",1.23749877460006e-05,0.0,3.0,0.0
math/0605765,Isospectral hyperbolic surfaces have matching geodesics,1.1286178767249364e-05,1.990182755160072e-06,3.0,2.0
math/0503021,Resolvents of elliptic boundary problems on conic manifolds,1.0712727735833195e-05,3.980365510320144e-06,6.0,3.0
math-ph/0306008,On the spectrum of curved quantum waveguides,1.0378779542881484e-05,0.0,5.0,4.0
math-ph/0307062,"Integrated density of states and Wegner estimates for random
  Schr\""odinger Operators",9.904185766969682e-06,0.0,10.0,7.0
math/0311200,"Spectral gaps for periodic Schr\""odinger operators with strong magnetic
  fields",9.087592082995425e-06,0.0,2.0,1.0
math/0405042,"Tau-functions on spaces of Abelian differentials and higher genus
  generalizations of Ray-Singer formula",8.98194797555587e-06,0.0,3.0,1.0
math/0607676,Effondrements et petites valeurs propres des formes diff\'erentielles,8.877019964912004e-06,0.0,6.0,0.0
math/0610408,"A radial analogue of Poisson's summation formula with applications to
  powder diffraction and pinwheel patterns",8.03243440352216e-06,0.0,5.0,0.0
hep-th/0201219,"Spectral Asymptotics of Eigen-value Problems with Non-linear Dependence
  on the Spectral Parameter",7.747846317585393e-06,1.609879425031246e-07,6.0,1.0
math/0502032,Diophantine tori and spectral asymptotics for non-selfadjoint operators,7.735300670469692e-06,0.0,5.0,1.0
math/0610577,A Cheeger-Mueller theorem for symmetric bilinear torsions,7.364440660334062e-06,0.0,5.0,2.0
math/0502566,Exact Polynomial Eigenmodes for Homogeneous Spherical 3-Manifolds,7.295300926148919e-06,3.429343337204491e-06,17.0,3.0
math/0410577,"Operator integrals with respect to a spectral measure and solutions to
  some operator equations",7.217946363287629e-06,0.0,7.0,0.0
math/0310364,"Selberg's zeta function and the spectral geometry of geometrically
  finite hyperbolic surfaces",6.849747921211544e-06,0.0,1.0,0.0
math/0409442,The hybrid spectral problem and Robin boundary conditions,6.604543166320717e-06,1.4854962974239023e-06,3.0,2.0
math/0305189,"Equivalence of spectral projections in semiclassical limit and a
  vanishing theorem for higher traces in K-theory",6.55890781825366e-06,0.0,1.0,1.0
