source,target
math/0407033,math/0410604
q-bio/0511009,math/0410604
math/0405044,math/0412535
quant-ph/9808009,math/0405571
math/0410604,math/0509390
math/0406533,math/0509390
math/0407033,q-bio/0511009
math/0410604,q-bio/0511009
math/0406533,math/0408270
math/0405511,quant-ph/0307125
math/0612507,math/0702326
math/0702326,math/0612507
math/0511502,math/0511503
math/0505360,math/0506522
math/0511503,math/0506522
math/0212077,math/0212076
math/0506522,math/0505360
math/0212076,math/0212077
math/0611117,math/0504058
math/0409471,math/0504058
math/0405571,math/0512443
quant-ph/0307191,math/0512443
math/0410604,math/0409132
math/0509390,math/0610679
math/0408165,math/0609418
math/0412535,math/0603108
math/0503055,math/0503056
math/0502432,math/0503056
math/0408165,math/0504606
hep-ph/0207130,physics/0309031
math/0503394,math/0502432
math/0503056,math/0502432
math/0309355,math/0503109
math/0403373,math/0507025
math/0509367,math/0508190
math/0510662,math/0508190
math/0412537,math/0512141
math/0405511,math/0509080
math/0410214,math/0605292
math/0605187,math/0605292
math/0511324,math/0605623
math/0609488,math/0610218
physics/0309031,math/0411462
math/0608100,math/0610438
quant-ph/0110137,math/0610115
math/0405572,math/0610115
quant-ph/0301059,math/0610115
math/0405511,math/0610115
quant-ph/0307191,math/0610115
quant-ph/0307125,math/0610115
math/0009129,math-ph/0212005
math/0610846,math/0701854
math/0603030,math/0602556
math/0403373,math/0507021
math/0403373,math/0508297
math/0507025,math/0508297
math/0412535,math/0511290
math/0309355,math/0603543
math/0512224,math/0601273
math/0511290,math/0610451
math/0605173,math/0610451
math/0410604,q-bio/0702050
q-bio/0511009,q-bio/0702050
math/0309355,math/0409610
math/0309355,math/0506586
math/0109002,math/0301363
math/0406218,math/0406603
math/0409045,math/0409436
math/0409045,math/0410271
math/0501301,math/0501298
math/0501303,math/0501298
math/0501297,math/0501298
math/0411333,math/0502535
math/0408321,math/0502559
math/0503055,math/0503314
math/0411462,math/0507452
math/0508266,math/0508268
math/0508267,math/0508268
math/0403373,math/0508299
math/0507021,math/0508299
math/0508297,math/0508299
math/0509081,math/0509160
math/0509080,math/0509160
cs/0412037,math/0510013
math/0703360,math/0601631
math/0305053,math/0604266
math/0604075,math/0604513
math/0603108,math/0605479
math/0511503,math/0606077
math/0602556,math/0606160
math/0511324,math/0606243
math/0605623,math/0606243
math/0605600,math/0606576
math/0606154,math/0607044
math/0606709,math/0607044
math/0703836,math/0609514
math/0608663,math/0609549
math/0605292,math/0609549
math/0605148,math/0609678
math/0610578,math/0611017
math/0507180,math/0611473
math/0309355,math/0611589
math/0503109,math/0611589
math/0409610,math/0611589
math/0506586,math/0611589
math/0610518,math/0612811
math/0604172,math/0701104
math/0610438,math/0701210
math/0608100,math/0701210
math/0612361,math/0701290
math/0609418,math/0701314
math/0511324,math/0702284
math/0506290,math/0702440
math/0601429,math/0703341
math/0610679,math/0703609
math/0608100,math/0703612
math/0511468,math/0703706
math/0608570,math/0703731
math/0511468,math/0703848
math/0507180,math/0703854
math/0511468,math/0703854
math/0610402,math/0703871
math/0507151,math/0703871
math/0505142,math/0703903
nlin/0409024,nlin/0508001
