id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/9510054,"Underpotential deposition of Cu on Au(111) in sulfate-containing
  electrolytes: a theoretical and experimental study",2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/9503073,"A Method to Study Relaxation of Metastable Phases: Macroscopic
  Mean-Field Dynamics",1.8950380516170012e-06,0.0,1.0,0.0
cond-mat/9603150,Slow relaxation in granular compaction,1.8950380516170012e-06,0.0,1.0,6.0
cond-mat/9609189,A Variational Approach to Nonlocal Exciton-Phonon Coupling,1.60698551133943e-06,0.0,1.0,0.0
cond-mat/9505106,Novel Phases of Planar Fermionic Systems,1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9608146,"Size, Shape and Low Energy Electronic Structure of Carbon Nanotubes",1.3189329710618589e-06,0.0,0.0,5.0
cond-mat/9510103,"Exciton effects and nonlinear optical response in soliton lattice states
  of doped conjugated polymers",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9507056,Roughness of Randomly Crumpled Elastic Sheets,1.3189329710618589e-06,0.0,0.0,1.0
mtrl-th/9509005,"Effect of quantum fluctuations on structural phase transitions in
  SrTiO_3 and BaTiO_3",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9412120,"Magnetization switching in nanoscale ferromagnetic grains: description
  by a kinetic Ising model",1.3189329710618589e-06,0.0,0.0,2.0
supr-con/9501001,"Phonon Assisted Multimagnon Optical Absorption and Long Lived Two-Magnon
  States in Undoped Lamellar Copper Oxides",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9510058,Sliding Friction in the Frenkel-Kontorova Model,1.3189329710618589e-06,0.0,0.0,1.0
mtrl-th/9501006,"Density-Polarization Functional Theory of the response of a periodic
  insulating solid to an electric field.",1.3189329710618589e-06,0.0,0.0,1.0
mtrl-th/9509004,"The de Haas-van Alphen effect in canonical and grand canonical multiband
  Fermi liquid",1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9602097,Stress-free Spatial Anisotropy in Phase-Ordering,1.3189329710618589e-06,0.0,0.0,1.0
mtrl-th/9603005,Deformation of Small Compressed Droplets,1.3189329710618589e-06,0.0,0.0,1.0
mtrl-th/9601001,Coulomb interaction and ferroelectric instability of BaTiO3,1.3189329710618589e-06,0.0,0.0,1.0
mtrl-th/9502004,"First-principles theory of ferroelectric phase transitions for
  perovskites: The case of BaTiO3",1.3189329710618589e-06,0.0,0.0,1.0
mtrl-th/9603006,A Model for the Elasticity of Compressed Emulsions,1.3189329710618589e-06,0.0,0.0,1.0
cond-mat/9411111,"Gamma phonons and microscopic structure of orthorhombic KNbO3 from
  first-principles calculations",1.3189329710618589e-06,0.0,0.0,1.0
mtrl-th/9503008,A direct pathway for sticking/desorption of H$_2$ on Si(100),1.3189329710618589e-06,0.0,0.0,1.0
mtrl-th/9412004,Theory of adsorption and desorption of H_2/Si(001),1.3189329710618589e-06,0.0,0.0,1.0
comp-gas/9507001,A Lattice-Gas Model of Microemulsions,1.3189329710618589e-06,0.0,0.0,1.0
chem-ph/9411002,Packing Transitions in Nanosized Li Clusters,,,,
chem-ph/9504002,Metal-Insulator Transition in C60-Polymers,,,,
chem-ph/9507001,"The Markoff-Automaton - a New Algorithm for Simulating the
  Time--Evolution of Large Stochastic Dynamic Systems",,,,
chem-ph/9508001,A generalized local approximation to the exchange potential,,,,
chem-ph/9512008,"He Scattering from Compact Clusters and from Diffusion-Limited
  Aggregates on Surfaces: Observable Signatures of Structure",,,,
chem-ph/9603007,"Motional diminishing of optical activity: a novel method for studying
  molecular dynamics in liquids and plastic crystals",,,,
chem-ph/9605004,On the Stability of Endohedral Rare Gas Fullerenes,,,,
