source,target
nlin/0101026,cond-mat/0106096
cond-mat/9904419,cond-mat/0106096
cond-mat/0003333,cond-mat/0106096
cond-mat/0011094,cond-mat/0106096
cond-mat/0012181,cond-mat/0106096
adap-org/9710001,cond-mat/9712027
cond-mat/9607066,cond-mat/9712027
adap-org/9702003,cond-mat/9712027
cond-mat/9705075,cond-mat/9712318
cond-mat/9903228,cond-mat/9908480
cond-mat/9812215,cond-mat/9908480
adap-org/9810005,cond-mat/9903108
adap-org/9809003,cond-mat/9903108
cond-mat/9705075,cond-mat/9705087
adap-org/9811005,cond-mat/9904071
cond-mat/9811227,cond-mat/9904071
physics/0009032,physics/0007070
nlin/0006025,physics/0007070
cond-mat/9907176,physics/0007070
adap-org/9801001,physics/0007070
cond-mat/9607180,physics/0007070
cond-mat/9808147,physics/0007070
adap-org/9605002,physics/0007070
physics/0004057,physics/0007070
cond-mat/9911474,physics/0007070
adap-org/9909002,physics/0007070
cond-mat/0009165,physics/0007070
cond-mat/9708186,physics/0007070
cond-mat/9601030,physics/0007070
cond-mat/0004308,cond-mat/0004376
adap-org/9712006,adap-org/9811005
cond-mat/9811162,adap-org/9811005
cond-mat/9904055,cond-mat/0001118
cond-mat/0004376,cond-mat/0004308
cond-mat/0106096,cond-mat/0404593
cond-mat/9908480,cond-mat/0003486
adap-org/9712006,cond-mat/9811162
adap-org/9708006,cond-mat/9811162
cond-mat/9810142,cond-mat/9811162
adap-org/9712006,cond-mat/9811227
cond-mat/9806138,cond-mat/9811227
cond-mat/9712318,cond-mat/9811227
cond-mat/9811162,cond-mat/9811227
adap-org/9811005,cond-mat/9812215
cond-mat/9811227,cond-mat/9812215
adap-org/9712006,cond-mat/9812215
cond-mat/9810142,cond-mat/9812215
adap-org/9603001,cond-mat/9906076
cond-mat/9612097,cond-mat/9906076
cond-mat/9904071,cond-mat/9903415
cond-mat/9607066,adap-org/9710001
nlin/0003041,cond-mat/0005139
adap-org/9712006,adap-org/9904003
adap-org/9902001,adap-org/9904003
cond-mat/9904071,adap-org/9904003
cond-mat/9811227,adap-org/9904003
nlin/0009046,cond-mat/0011094
adap-org/9305001,nlin/0204062
cond-mat/0106096,nlin/0204062
cond-mat/9904419,cond-mat/9907068
cond-mat/9903357,cond-mat/9907068
cond-mat/9904055,cond-mat/9907068
cond-mat/9907038,cond-mat/9907068
adap-org/9908002,cond-mat/0101409
cond-mat/9712027,cond-mat/0101409
physics/9912012,cond-mat/0101409
cond-mat/9801309,cs/9908014
adap-org/9811001,cs/9908014
