id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/9906076,"Replica Symmetry Breaking in Short-Range Spin Glasses: Theoretical
  Foundations and Numerical Evidences",2.503206055436889e-05,0.0004210568423318,42.0,15.0
nlin/0307015,Methods and Techniques of Complex Systems Science: An Overview,1.8215884515668904e-05,1.9827567001035044e-06,22.0,1.0
cond-mat/0106096,Statistical mechanics of complex networks,1.654360914784671e-05,0.0001718433929188,41.0,69.0
cond-mat/0404593,The shortest path to complex networks,1.6529934134427936e-05,0.0001083482457285,19.0,12.0
nlin/0008038,"Upper Bound on the Products of Particle Interactions in Cellular
  Automata",1.5125963638397773e-05,0.0,3.0,2.0
physics/0205030,Thinking about the brain,1.34689317241518e-05,0.0,16.0,5.0
q-bio/0508025,"Self-optimization, community stability, and fluctuations in two
  individual-based models of biological coevolution",1.2648720357828202e-05,0.0,3.0,2.0
physics/0007070,"Predictability, complexity and learning",1.226015183387453e-05,0.0,20.0,10.0
cond-mat/0504025,Point process model of 1/f noise versus a sum of Lorentzians,1.0893747286915562e-05,7.046440502284184e-06,12.0,3.0
nlin/0608028,Universality in Complex Networks: Random Matrix Analysis,1.078339310859252e-05,0.0,2.0,1.0
nlin/0610040,Self-organizing traffic lights: A realistic simulation,1.0731190241241008e-05,0.0,2.0,0.0
cond-mat/0602409,Stationary Solutions of Liouville Equations for Non-Hamiltonian Systems,9.89185226661958e-06,7.241818166830666e-07,11.0,3.0
cs/0703149,Exploring Logic Artificial Chemistries: An Illogical Attempt?,9.51751443265099e-06,0.0,1.0,0.0
cs/9908014,An Introduction to Collective Intelligence,9.09495133914865e-06,5.7715299899642086e-05,12.0,5.0
nlin/0502055,"Sufficient Conditions for Fast Switching Synchronization in Time Varying
  Network Topologies",8.731977405795529e-06,0.0,8.0,0.0
physics/0009032,Information theory and learning: a physical approach,8.669252579238984e-06,0.0,18.0,2.0
nlin/0505009,A General Methodology for Designing Self-Organizing Systems,8.599137784477346e-06,0.0,7.0,1.0
gr-qc/0308089,Scale Free Small World Networks and the Structure of Quantum Space-Time,8.55196148310876e-06,2.1474592403739864e-06,10.0,3.0
adap-org/9708004,Symmetry Breaking and Adaptation: Evidence from a Toy Model of a Virus,8.305722970597898e-06,0.0,4.0,0.0
q-bio/0611023,"An individual-based predator-prey model for biological coevolution:
  Fluctuations, stability, and community structure",7.86667294715451e-06,0.0,3.0,1.0
physics/9912012,Dynamic Fitness Landscapes in Molecular Evolution,7.821502457253823e-06,0.0,3.0,3.0
cond-mat/0207407,Symbolic Dynamics for Discrete Adaptive Games,7.67712852457671e-06,0.0,7.0,0.0
cond-mat/0509626,Nonlinear stochastic models of 1/f noise and power-law distributions,7.65582303367462e-06,1.9976088102166394e-06,8.0,1.0
cond-mat/9909078,Effective potential for the reaction-diffusion-decay system,7.380371814439666e-06,0.0,2.0,2.0
nlin/0008018,Models for the size distribution of businesses in a price driven market,7.343866288901044e-06,5.970548265480216e-06,7.0,1.0
physics/0010045,Dynamic fitness landscapes: Expansions for small mutation rates,6.930536386555109e-06,0.0,3.0,0.0
cond-mat/0102384,Dynamics of the Time Horizon Minority Game,6.867813392766497e-06,1.325550827597284e-06,8.0,3.0
adap-org/9804001,"Generic Emergence of Power Law Distributions and L\'evy-Stable
  Intermittent Fluctuations in Discrete Logistic Systems",6.796018667942487e-06,0.0,8.0,0.0
q-bio/0609013,Complex Behavior in Simple Models of Biological Coevolution,6.714462786044225e-06,0.0,2.0,1.0
nlin/0609033,Fame Emerges as a Result of Small Memory,6.562222645108905e-06,0.0,4.0,0.0
nlin/0004014,A twist localizes three-dimensional patterns,6.55890781825366e-06,0.0,1.0,1.0
cond-mat/0301543,Critical Market Crashes,6.552831108727321e-06,1.1190622928341231e-06,8.0,1.0
cond-mat/0009211,Adaptive learning by extremal dynamics and negative feedback,6.542580001780634e-06,0.0,3.0,0.0
cond-mat/0101409,Biological Evolution and Statistical Physics,6.408849095774855e-06,0.0,6.0,7.0
physics/9912005,"Bayesian Field Theory: Nonparametric Approaches to Density Estimation,
  Regression, Classification, and Inverse Quantum Problems",6.21737073044464e-06,0.0,7.0,2.0
cond-mat/0301619,Evolutionary Stability of Ecological Hierarchy,6.120590128688668e-06,0.0,1.0,0.0
adap-org/9907004,A dynamical model of non regulated markets,6.112633733755345e-06,0.0,5.0,0.0
cond-mat/9801061,Garden of Eden states in traffic models,5.9966886438487085e-06,0.0,2.0,0.0
nlin/0403050,"Formation and Destruction of Autocatalytic Sets in an Evolving Network
  Model",5.915960774969386e-06,0.0,6.0,0.0
hep-th/0703219,"Shape changing and accelerating solitons in integrable variable mass
  sine-Gordon model",5.892206492262257e-06,0.0,1.0,0.0
cond-mat/0006122,Evolutionary minority game with heterogeneous strategy distribution,5.85389231246472e-06,0.0,10.0,0.0
cond-mat/9906017,Algorithmic Complexity in Minority Game,5.700839135890636e-06,3.9729394552635765e-06,7.0,2.0
nlin/0607003,"Classification of integrable Hamiltonian hydrodynamic chains associated
  with Kupershmidt's brackets",5.699876947431565e-06,0.0,4.0,1.0
nlin/0307029,"Synchronized clusters in coupled map networks: Self-organized and driven
  phase synchronization",5.68705624219942e-06,0.0,2.0,2.0
nlin/0404009,Percolation of New Product Critical Market Penetration,5.5319528592829055e-06,7.4260550565674335e-09,2.0,2.0
nlin/0606023,On an Irreducible Theory of Complex Systems,5.40258077823459e-06,0.0,5.0,0.0
nlin/0210070,Graph Theory and the Evolution of Autocatalytic Networks,5.258707795189745e-06,4.830736148133639e-06,5.0,3.0
cs/9912012,Avoiding Braess' Paradox through Collective Intelligence,5.252326499503554e-06,0.0,2.0,0.0
adap-org/9504005,Hydrodynamic Description of Granular Convection,5.166885510381309e-06,0.0,2.0,0.0
nlin/0105057,Food Web Structure and the Evolution of Ecological Communities,4.913779839230756e-06,0.0,3.0,1.0
cond-mat/0406425,Modelling Selforganization and Innovation Processes in Networks,4.85098277583261e-06,0.0,18.0,0.0
nlin/0004033,"Remarks on scaling properties inherent to the systems with
  hierarchically organized supplying network",4.8369423322339285e-06,0.0,4.0,1.0
cond-mat/0310181,"Calculation of the transition matrix and of the occupation probabilities
  for the states of the Oslo sandpile model",4.792276675861333e-06,0.0,5.0,1.0
physics/9710023,Aftershocks in Coherent-Noise Models,4.790218299313383e-06,0.0,3.0,1.0
physics/9812016,Lifetimes of agents under external stress,4.775563454392716e-06,0.0,3.0,0.0
cond-mat/9812215,Irrelevance of memory in the minority game,4.740749016298962e-06,0.0004141319949346,5.0,11.0
cond-mat/9712027,Introduction to the statistical theory of Darwinian evolution,4.734155682121559e-06,0.0,5.0,25.0
cond-mat/9908480,"Exact solution of a modified El Farol's bar problem: Efficiency and the
  role of market impact",4.5104283324750405e-06,9.863629339152187e-05,3.0,27.0
nlin/0507067,Quantifying Self-Organization in Cyclic Cellular Automata,4.48893332258452e-06,0.0,6.0,0.0
adap-org/9708001,Emergence of Algorithmic Languages in Genetic Systems,4.463257124271671e-06,0.0,5.0,1.0
cond-mat/9906249,Capital flow in a two-component dynamical system,4.459220157990226e-06,0.0,12.0,2.0
nlin/0311055,Induced Minority Dynamics in a Stock Market Model,4.444182528342459e-06,0.0,6.0,0.0
nlin/0509022,Coarse-graining the dynamics of coupled oscillators,4.368989962508106e-06,0.0,3.0,0.0
nlin/0512013,Fractional dynamics of coupled oscillators with long-range interaction,4.353703708185982e-06,1.990182755160072e-06,6.0,5.0
nlin/0008008,Transition from coherence to bistability in a model of financial markets,4.299994411122647e-06,0.0,9.0,0.0
adap-org/9905005,"A microsimulation of traders activity in the stock market: the role of
  heterogeneity, agents' interactions and trade frictions",4.2314006236373644e-06,0.0,5.0,9.0
cond-mat/0003379,Theory of the evolutionary minority game,4.210296756349623e-06,3.980365510320144e-06,5.0,5.0
nlin/0511001,"Opinion formation and phase transitions in a probabilistic cellular
  automaton with two absorbing states",4.209991965999726e-06,0.0,1.0,0.0
nlin/0104044,"Analytical and Numerical Studies of Noise-induced Synchronization of
  Chaotic Systems",4.199458373837573e-06,0.0,3.0,0.0
cond-mat/0305054,Scale free networks from a Hamiltonian dynamics,4.187590761826792e-06,4.951297876722981e-06,7.0,4.0
nlin/0306033,"Point Mutations and Transitions Between Cellular Automata Attractor
  Basins",4.169446002810229e-06,1.990182755160072e-06,2.0,1.0
adap-org/9505004,Hydrodynamic effects in density waves of granular flows,4.12546872851625e-06,0.0,1.0,0.0
nlin/0009025,Diversity patterns from ecological models at dynamical equilibrium,4.094931331030275e-06,0.0,2.0,2.0
nlin/0307039,"Stability of negative ionization fronts: regularization by electric
  screening?",4.063143711471229e-06,0.0,1.0,2.0
cond-mat/0604409,An ensemble approach to the analysis of weighted networks,4.0105491945753415e-06,0.0,2.0,3.0
cond-mat/0607344,Evolutionary games on graphs,4.007423346985859e-06,0.0,3.0,6.0
cond-mat/0008387,From market games to real-world markets,3.966625093564905e-06,2.985274132740108e-06,7.0,9.0
cond-mat/0401191,Chaos and Annealing in Social networks,3.957759267031839e-06,5.970548265480216e-06,1.0,1.0
nlin/0107037,"Crashes, Recoveries, and `Core-shifts' in a Model of Evolving Networks",3.937642034786911e-06,3.1574262698216664e-06,6.0,3.0
quant-ph/0210176,Quantum Pattern Recognition,3.937127024872019e-06,4.084330281112088e-08,5.0,5.0
nlin/0409024,Quantifying Self-Organization with Optimal Predictors,3.917103193666158e-06,1.9827567001035044e-06,4.0,3.0
nlin/0009042,Structure-generating mechanisms in agent-based models,3.9134194482755575e-06,0.0,4.0,0.0
nlin/0609038,From Neuron to Neural Networks dynamics,3.911405833560001e-06,0.0,3.0,0.0
adap-org/9410001,"Belavkin-Kolokoltsov Watch-Dog Effects in Interactively Controlled
  Stochastic Computer-Graphic Dynamical Systems. A Summary of Mathematical
  Researches",3.895828764866227e-06,0.0,7.0,0.0
nlin/0608054,"Formation and Evolution of Singularities in Anisotropic Geometric
  Continua",3.890151953347427e-06,0.0,4.0,0.0
q-bio/0609008,Discovering Functional Communities in Dynamical Networks,3.873945274331573e-06,0.0,2.0,0.0
cond-mat/0212055,Time-Dependent Random Walks and the Theory of Complex Adaptive Systems,3.781835593850283e-06,1.990182755160072e-06,8.0,3.0
nlin/0108020,"Self-localization of laser induced tumor coagulation limited by heat
  diffusion through active tissue",3.7596760329735306e-06,0.0,2.0,0.0
cond-mat/0101371,"Multi-dimensional Rational Bubbles and fat tails: application of
  stochastic regression equations to financial speculation",3.755545767456546e-06,0.0,2.0,0.0
cond-mat/0005441,Algorithmic Complexity of Real Financial Markets,3.753301788886302e-06,0.0,7.0,0.0
nlin/0502001,Local Average and Scaling Property of $1/f^{\alpha}$ Random Fields,3.7343248543513727e-06,0.0,4.0,0.0
