source,target
chao-dyn/9908011,cond-mat/9912110
chao-dyn/9910001,cond-mat/9912110
nlin/0107044,quant-ph/0106149
chao-dyn/9806004,cond-mat/9811399
quant-ph/0103129,quant-ph/0108109
cond-mat/9912110,nlin/0012033
quant-ph/0106149,cond-mat/0204371
nlin/0112015,cond-mat/0204371
cond-mat/0408487,nlin/0503052
nlin/0209042,nlin/0101012
nlin/0208003,quant-ph/0304104
quant-ph/9805078,quant-ph/9902015
quant-ph/9902016,quant-ph/9902015
quant-ph/9511038,quant-ph/9902015
chao-dyn/9510013,quant-ph/9902015
quant-ph/0302192,cond-mat/0307752
quant-ph/0304104,cond-mat/0307752
quant-ph/0306142,cond-mat/0307752
cond-mat/0303083,cond-mat/0304671
cond-mat/0305090,cond-mat/0304671
cond-mat/9811399,chao-dyn/9808011
chao-dyn/9907018,chao-dyn/9808011
chao-dyn/9909015,cond-mat/9902168
nlin/0001026,cond-mat/9902168
cond-mat/0006112,cond-mat/0103540
chao-dyn/9605012,chao-dyn/9806004
nlin/0008040,nlin/0001026
quant-ph/0106149,nlin/0112015
nlin/0108032,nlin/0112015
nlin/0111051,quant-ph/0112060
quant-ph/0106149,quant-ph/0112060
quant-ph/0111125,quant-ph/0112060
hep-ph/9708418,hep-th/9710103
cond-mat/9707301,hep-th/9710103
cond-mat/9912110,chao-dyn/9910001
cond-mat/0304671,cond-mat/0303083
cond-mat/0305090,cond-mat/0303083
cond-mat/0304671,cond-mat/0305090
cond-mat/0303083,cond-mat/0305090
cond-mat/0307752,quant-ph/0302192
quant-ph/0306097,quant-ph/0302192
quant-ph/0304104,quant-ph/0302192
nlin/0208013,quant-ph/0302192
quant-ph/0306142,quant-ph/0302192
astro-ph/0108300,astro-ph/0203452
astro-ph/0111345,astro-ph/0203452
nlin/0012033,astro-ph/0203452
chao-dyn/9509005,chao-dyn/9511004
nlin/0508009,nlin/0512058
nlin/0503052,nlin/0512058
chao-dyn/9602017,hep-th/0511056
chao-dyn/9712015,hep-th/0511056
chao-dyn/9702004,hep-th/0511056
chao-dyn/9808022,chao-dyn/9906006
cond-mat/9811399,chao-dyn/9907018
chao-dyn/9808011,chao-dyn/9907018
chao-dyn/9906038,chao-dyn/9907018
nlin/0008040,nlin/0006041
nlin/0001026,nlin/0006041
cond-mat/9707301,hep-th/0204246
chao-dyn/9802025,hep-th/0204246
hep-th/0201167,hep-th/0204246
cond-mat/9811399,cond-mat/0007106
cond-mat/9711034,cond-mat/0007106
nlin/0202015,nlin/0107048
nlin/0202016,nlin/0107048
chao-dyn/9812013,chao-dyn/9704007
nlin/0211006,cond-mat/0304265
nlin/0303051,cond-mat/0304265
cond-mat/0512516,cond-mat/0512662
astro-ph/0108300,astro-ph/0111345
cond-mat/9811079,cond-mat/9809136
nlin/0307034,nlin/0405033
nlin/0101012,nlin/0209042
chao-dyn/9906006,chao-dyn/9808022
gr-qc/9610065,gr-qc/9612060
nlin/0301031,nlin/0108014
nlin/0006041,nlin/0008040
nlin/0001026,nlin/0008040
nlin/0204031,chao-dyn/9810029
chao-dyn/9704007,chao-dyn/9812013
nlin/0107048,nlin/0202015
hep-th/9710103,chao-dyn/9802025
cond-mat/9707301,hep-ph/9708418
quant-ph/0111125,nlin/0111051
nlin/0112015,nlin/0111051
nlin/0311009,nlin/0312037
quant-ph/0309215,nlin/0312037
chao-dyn/9511004,chao-dyn/9509005
physics/0210002,physics/0308016
quant-ph/0106149,quant-ph/0111125
quant-ph/0112060,quant-ph/0111125
cond-mat/0303603,cond-mat/0305067
quant-ph/0302192,quant-ph/0306142
cond-mat/0703230,nlin/0609061
nlin/0609061,cond-mat/0703230
cond-mat/0304265,cond-mat/0304327
cond-mat/9902168,chao-dyn/9909015
hep-th/9707173,cond-mat/9709058
astro-ph/0105322,astro-ph/0002175
astro-ph/0103333,astro-ph/0002175
cond-mat/9909078,cond-mat/9904215
cond-mat/9904391,cond-mat/9904215
cond-mat/0509439,physics/0507066
nlin/0506064,nlin/0507042
nlin/0512005,nlin/0507042
nlin/0608064,nlin/0507042
cond-mat/9809136,cond-mat/9811079
astro-ph/0103333,astro-ph/0105322
nlin/0402003,nlin/0402005
quant-ph/0112060,quant-ph/0207099
nlin/0111051,quant-ph/0207099
nlin/0112015,quant-ph/0207099
nlin/0108014,nlin/0301031
physics/0507066,cond-mat/0509439
physics/0510161,physics/0504074
cond-mat/0107552,cond-mat/0202453
chao-dyn/9810029,nlin/0204031
nlin/0002034,nlin/0207051
hep-th/0204246,nlin/0207051
nlin/0307034,nlin/0404010
quant-ph/0106149,nlin/0201038
quant-ph/0112060,nlin/0201038
nlin/0112015,nlin/0201038
cond-mat/0307752,quant-ph/0406124
nlin/0312018,quant-ph/0406124
physics/0504074,physics/0510161
nlin/0011038,nlin/0104006
cond-mat/0512662,cond-mat/0512516
cond-mat/0511292,cond-mat/0512516
nlin/0202015,nlin/0202016
nlin/0107048,nlin/0202016
cond-mat/9706040,cond-mat/9707102
nlin/0203027,nlin/0110043
nlin/0112036,nlin/0110043
cond-mat/9904207,cond-mat/9904391
cond-mat/9904215,cond-mat/9904391
nlin/0108014,nlin/0201012
nlin/0402005,nlin/0402003
