id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/0606211,Thermodynamic formalism for systems with Markov dynamics,4.068421786170623e-05,7.903778890706461e-06,25.0,4.0
nlin/0603031,"Scaling, renormalization and statistical conservation laws in the
  Kraichnan model of turbulent advection",3.3271865052969985e-05,0.0,18.0,0.0
math-ph/0703048,"Conservation Laws and Hamilton's Equations for Systems with Long-Range
  Interaction and Memory",3.228056074218865e-05,0.0,15.0,0.0
hep-th/9905229,Fractons and Fractal Statistics,3.108551512798182e-05,0.0,25.0,0.0
hep-th/0511056,Scalar Casimir effect between Dirichlet spheres or a plate and a sphere,2.9469249447483498e-05,8.206717307101855e-06,24.0,6.0
chao-dyn/9908011,Forced Burgers Turbulence in 3-Dimensions,2.622078246868604e-05,8.761581551457375e-05,33.0,2.0
cond-mat/9809360,The approach to thermal equilibrium in quantized chaotic systems,2.426477014944828e-05,0.0,26.0,9.0
cond-mat/0106076,Statistical Theory for the Kardar-Parisi-Zhang Equation in 1+1 Dimension,2.3630069881960413e-05,0.0,41.0,0.0
hep-ph/0411164,Chaotic dynamics in preheating after inflation,1.9165533046222888e-05,1.0308015858536695e-06,54.0,4.0
cond-mat/0112439,On the Emergence of the Microcanonical Description from a Pure State,1.8627592790707254e-05,2.0242319379348717e-06,25.0,2.0
nlin/0307015,Methods and Techniques of Complex Systems Science: An Overview,1.8215884515668904e-05,1.9827567001035044e-06,22.0,1.0
cond-mat/0001358,"Universal Statistics of Inviscid Burgers Turbulence in Arbitrary
  Dimensions",1.7841562734964774e-05,0.0,11.0,0.0
cond-mat/0304678,Quantum pumping and dissipation: from closed to open systems,1.7819320498060586e-05,9.46029575633412e-06,2.0,3.0
cond-mat/0311017,Constructive Methods of Invariant Manifolds for Kinetic Problems,1.7305334217887365e-05,2.6649654306727853e-05,19.0,5.0
cond-mat/0612019,"Is it possible to experimentally verify the fluctuation relation? A
  review of theoretical motivations and numerical evidence",1.6968978818458917e-05,0.0,5.0,1.0
nlin/0210047,Path integration over closed loops and Gutzwiller's trace formula,1.682258500697842e-05,1.990182755160072e-06,8.0,1.0
nlin/0701063,Complex trajectories in chaotic dynamical tunneling,1.6665381345595856e-05,0.0,11.0,0.0
cond-mat/9709058,"Solitons and diffusive modes in the noiseless Burgers equation:
  Stability analysis",1.5735028520764476e-05,9.95091377580036e-06,9.0,3.0
quant-ph/0608117,Quantum fractals on n-spheres. Clifford Algebra approach,1.567838463954774e-05,0.0,6.0,0.0
cond-mat/0606619,Dynamics of vortices and interfaces in superfluid 3He,1.5480144989441718e-05,1.8379596418326743e-06,5.0,2.0
nlin/0101051,Dynamics of traffic jams: order and chaos,1.471948837704954e-05,0.0,11.0,0.0
nlin/0605028,"Quantum Graphs: Applications to Quantum Chaos and Universal Spectral
  Statistics",1.4488685935596837e-05,0.0,9.0,0.0
gr-qc/0609048,Transient chaos in scalar field cosmology on a brane,1.4280548840121764e-05,0.0,1.0,0.0
nlin/0702027,Jacobi Fields on Statistical Manifolds of Negative Curvature,1.3991235896523768e-05,1.990182755160072e-06,4.0,1.0
cond-mat/9912110,"Singularities and the distribution of density in the Burgers/adhesion
  model",1.3646784734957733e-05,8.363545000425361e-05,4.0,6.0
cond-mat/0511736,Statistical descriptions of nonlinear systems at the onset of chaos,1.3642427098362975e-05,0.0,15.0,0.0
chao-dyn/9804045,Macroscopic chaos in globally coupled maps,1.3423803402703878e-05,0.0,3.0,1.0
chao-dyn/9509014,How to Run Algorithmic Information Theory on a Computer,1.3295733452298886e-05,0.0,8.0,0.0
cond-mat/0701757,"Dynamic first-order phase transition in kinetically constrained models
  of glasses",1.3199456212413733e-05,0.0,2.0,0.0
cond-mat/0611265,"Current distribution in systems with anomalous diffusion:
  renormalisation group approach",1.3050368379395309e-05,0.0,3.0,0.0
cond-mat/0512019,Coupled logistic maps and non-linear differential equations,1.3007407643066008e-05,0.0,3.0,0.0
cond-mat/0612397,"Gallavotti-Cohen theorem, Chaotic Hypothesis and the zero-noise limit",1.277644444276069e-05,1.990182755160072e-06,3.0,1.0
