id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/0602345,"Numerical Modeling of Coexistence, Competition and Collapse of Rotating
  Spiral Waves in Three-Level Excitable Media with Discrete Active Centers and
  Absorbing Boundaries",5.919188876086369e-05,0.0,10.0,0.0
cond-mat/0410460,"A Computational Study of Rotating Spiral Waves and Spatio-Temporal
  Transient Chaos in a Deterministic Three-Level Active System",3.90067361630225e-05,1.990182755160072e-06,24.0,1.0
nlin/0508001,"Automatic Filters for the Detection of Coherent Structure in
  Spatiotemporal Systems",2.690560942894829e-05,0.0,16.0,0.0
cond-mat/0611427,Emergent Properties in Structurally Dynamic Disordered Cellular Networks,2.1084761485951182e-05,0.0,9.0,0.0
nlin/0307015,Methods and Techniques of Complex Systems Science: An Overview,1.8215884515668904e-05,1.9827567001035044e-06,22.0,1.0
nlin/0008038,"Upper Bound on the Products of Particle Interactions in Cellular
  Automata",1.5125963638397773e-05,0.0,3.0,2.0
comp-gas/9905002,"Construction of Molecular Dynamics Like Cellular Automata Models for
  Simulation of Compressible Fluid Dynamic Systems",9.47540792109486e-06,0.0,13.0,0.0
nlin/0310002,"Factorization, reduction and embedding in integrable cellular automata",9.425665487770966e-06,0.0,3.0,0.0
comp-gas/9811002,Crystalline Computation,9.421721828910368e-06,0.0,14.0,1.0
nlin/0306040,"On Conservative and Monotone One-dimensional Cellular Automata and Their
  Particle Representation",8.38686600760235e-06,0.0,2.0,0.0
nlin/0008018,Models for the size distribution of businesses in a price driven market,7.343866288901044e-06,5.970548265480216e-06,7.0,1.0
nlin/0611046,"Combinatorial Bethe ansatz and ultradiscrete Riemann theta function with
  rational characteristics",7.332461969777966e-06,0.0,1.0,0.0
hep-lat/9701001,"Perturbation theory predictions and Monte Carlo simulations for the 2-d
  O(n) non-linear sigma-model",6.837306504382678e-06,0.0,9.0,10.0
nlin/0610078,"Critical behavior of number-conserving cellular automata with nonlinear
  fundamental diagrams",6.804625283048489e-06,0.0,10.0,0.0
cond-mat/0202332,"Scaling, Multiscaling, and Nontrivial Exponents in Inelastic Collision
  Processes",6.770074533326712e-06,0.0,8.0,6.0
nlin/0610077,Dynamics of the Cellular Automaton Rule 142,6.549792057162142e-06,0.0,6.0,0.0
nlin/0305051,Probabilistic cellular automata with conserved quantities,6.329784406828128e-06,0.0,9.0,1.0
nlin/0608030,On exclusion type inhomogeneous interacting particle systems,6.062759631226973e-06,0.0,4.0,0.0
cond-mat/9801061,Garden of Eden states in traffic models,5.9966886438487085e-06,0.0,2.0,0.0
cond-mat/0006232,Fluctuations of elastic interfaces in fluids: Theory and simulation,5.972081861805445e-06,0.0,2.0,0.0
quant-ph/9701019,Simulating quantum mechanics on a quantum computer,5.970765092521855e-06,0.0,9.0,19.0
cond-mat/0009284,"Dynamic Phase Transition in a Time-Dependent Ginzburg-Landau Model in an
  Oscillating Field",5.557221900522668e-06,0.0,3.0,0.0
cond-mat/0310181,"Calculation of the transition matrix and of the occupation probabilities
  for the states of the Oslo sandpile model",4.792276675861333e-06,0.0,5.0,1.0
nlin/0605013,A mesoscopic approach for multi-phase flows in nano-corrugated channels,4.741716490327581e-06,0.0,3.0,0.0
nlin/0507067,Quantifying Self-Organization in Cyclic Cellular Automata,4.48893332258452e-06,0.0,6.0,0.0
nlin/0510037,Effects of population mixing on the spread of SIR epidemics,4.402893503952305e-06,0.0,2.0,0.0
quant-ph/0406119,On Quantum Cellular Automata,4.277618003022028e-06,3.332936009288117e-07,8.0,2.0
nlin/0511001,"Opinion formation and phase transitions in a probabilistic cellular
  automaton with two absorbing states",4.209991965999726e-06,0.0,1.0,0.0
comp-gas/9704001,Lattice Gas Prediction is P-complete,4.199458373837573e-06,0.0,3.0,1.0
nlin/0306033,"Point Mutations and Transitions Between Cellular Automata Attractor
  Basins",4.169446002810229e-06,1.990182755160072e-06,2.0,1.0
cond-mat/0111044,Nontrivial Velocity Distributions in Inelastic Gases,3.967469231223569e-06,0.0,4.0,7.0
nlin/0409024,Quantifying Self-Organization with Optimal Predictors,3.917103193666158e-06,1.9827567001035044e-06,4.0,3.0
nlin/0412006,"An Equation-Free Approach to Nonlinear Control: Coarse Feedback
  Linearization With Pole-Placement",3.82819539769864e-06,0.0,3.0,0.0
math/0305160,Optimal Nonlinear Prediction of Random Fields on Networks,3.81681072860352e-06,7.988129723778317e-06,4.0,3.0
nlin/0502037,Second order additive invariants in elementary cellular automata,3.632863905577236e-06,0.0,6.0,1.0
quant-ph/9611005,"Quantum mechanics of lattice gas automata. I. One particle plane waves
  and potentials",3.5792532810631853e-06,0.0,7.0,8.0
nlin/0310008,No production of entropy in the Euler fluid,3.4870386309160864e-06,0.0,1.0,0.0
quant-ph/9611038,Simulating Ising Spin Glasses on a Quantum Computer,3.4542215747918378e-06,0.0,9.0,9.0
nlin/0506027,Characteristic Algebras of Fully Discrete Hyperbolic Type Equations,3.3749066596554898e-06,0.0,1.0,2.0
nlin/0609034,When is negativity not a problem for the ultra-discrete limit?,3.3749066596554898e-06,0.0,1.0,0.0
