source,target
cond-mat/9809324,cond-mat/9901239
patt-sol/9912008,nlin/0006036
cond-mat/0005182,cond-mat/0105100
nlin/0111055,nlin/0204030
nlin/0006036,patt-sol/9912008
nlin/0307032,nlin/0308024
nlin/0308024,nlin/0307032
physics/9710035,physics/0101006
physics/0008045,physics/0101006
patt-sol/9305002,nlin/0202059
cond-mat/0004190,nlin/0002045
nlin/0002045,cond-mat/0004190
nlin/0310024,nlin/0309018
nlin/0307039,physics/0305112
nlin/0309018,nlin/0310024
patt-sol/9812003,patt-sol/9908002
patt-sol/9902001,patt-sol/9908002
physics/9710035,physics/0101007
physics/0008045,physics/0101007
solv-int/9801016,nlin/0010002
physics/0305112,nlin/0307039
patt-sol/9903004,patt-sol/9904006
hep-th/9911093,hep-th/0002083
physics/9710035,physics/0008045
patt-sol/9508001,hep-th/9505166
nlin/0010002,nlin/0105066
patt-sol/9902007,nlin/0001007
hep-th/9505166,patt-sol/9508001
nlin/0604044,nlin/0609022
nlin/0701005,nlin/0612059
nlin/0612059,nlin/0701005
nlin/0411048,nlin/0411043
nlin/0411043,nlin/0411048
cond-mat/0005027,cond-mat/0005182
cond-mat/0210177,cond-mat/0209429
cond-mat/0207171,cond-mat/0209429
nlin/0009022,nlin/0302051
patt-sol/9805005,patt-sol/9902005
cond-mat/0001059,cond-mat/0102488
patt-sol/9904006,cond-mat/0102488
physics/0101006,quant-ph/0306197
physics/9710035,quant-ph/0306197
nlin/0206024,quant-ph/0306197
physics/0212115,quant-ph/0306197
physics/0212066,quant-ph/0306197
quant-ph/0212166,quant-ph/0306197
physics/0101007,nlin/0206024
nlin/0309043,nlin/0311047
patt-sol/9801004,patt-sol/9909002
astro-ph/9806209,patt-sol/9909002
nlin/0312012,nlin/0312048
patt-sol/9305002,nlin/0312048
nlin/0308024,nlin/0401023
nlin/0307032,nlin/0401023
physics/9710035,physics/0212066
nlin/0206024,physics/0212066
physics/0101006,physics/0212066
nlin/0210022,cond-mat/0207171
cond-mat/0105100,cond-mat/0005027
nlin/0410005,nlin/0411016
nlin/0004014,nlin/0001065
patt-sol/9907002,nlin/0001065
cond-mat/0207524,cond-mat/0306135
nlin/0208014,cond-mat/0306135
nlin/0206050,cond-mat/0306135
patt-sol/9608008,hep-th/9609045
cond-mat/9909269,patt-sol/9901002
hep-th/9812215,solv-int/9901010
nlin/0008004,nlin/0105073
patt-sol/9812003,patt-sol/9902001
patt-sol/9904008,patt-sol/9905002
patt-sol/9907005,patt-sol/9905002
patt-sol/9909001,patt-sol/9905002
patt-sol/9804005,astro-ph/9806209
nlin/0001065,nlin/0004014
patt-sol/9903004,cond-mat/0109073
cond-mat/0111523,cond-mat/0109073
cond-mat/0102488,cond-mat/0109073
nlin/0501050,nlin/0603071
patt-sol/9704004,cond-mat/9709204
nlin/0006036,nlin/0008004
patt-sol/9912008,nlin/0008004
nlin/0006047,nlin/0008004
nlin/0102037,nlin/0509047
nlin/0506002,nlin/0509047
patt-sol/9808005,solv-int/9902010
hep-th/9812215,solv-int/9902010
solv-int/9901010,solv-int/9902010
nlin/0309043,nlin/0403054
nlin/0311047,nlin/0403054
hep-ph/0104229,cond-mat/0106157
patt-sol/9905002,patt-sol/9909001
nlin/0603022,nlin/0603047
nlin/0506002,nlin/0603047
nlin/0603034,nlin/0603047
nlin/0509047,nlin/0603047
cond-mat/9809015,nlin/0102037
nlin/0502015,nlin/0512013
cond-mat/0106231,cond-mat/0105600
nlin/0607009,nlin/0611051
nlin/0608047,nlin/0609013
physics/0603202,nlin/0607063
nlin/0604075,nlin/0607019
patt-sol/9906008,patt-sol/9912002
nlin/0406020,nlin/0410062
patt-sol/9707004,patt-sol/9801002
nlin/0308003,nlin/0404029
nlin/0108045,nlin/0107029
patt-sol/9909009,nlin/0003011
nlin/0605035,cond-mat/0606815
cond-mat/0108148,cond-mat/0109361
nlin/0103013,cond-mat/0109361
cond-mat/0408460,cond-mat/0408491
nlin/0501050,nlin/0603034
nlin/0302020,cond-mat/0308540
patt-sol/9703004,patt-sol/9709003
patt-sol/9608008,patt-sol/9709003
patt-sol/9702001,patt-sol/9709003
patt-sol/9705003,patt-sol/9709003
nlin/0403054,nlin/0502028
nlin/0309043,nlin/0502028
nlin/0311047,nlin/0502028
hep-th/0005045,hep-th/0602170
hep-th/0202012,hep-th/0602170
hep-th/9908090,hep-th/0602170
hep-th/0508241,hep-th/0602170
hep-th/0506135,hep-th/0602170
hep-th/0602289,hep-th/0602170
gr-qc/9904053,hep-th/9905088
nlin/0103013,cond-mat/0108148
nlin/0407001,nlin/0501026
nlin/0409042,nlin/0501026
nlin/0410051,nlin/0501026
nlin/0311013,nlin/0501026
nlin/0407036,nlin/0501026
nlin/0407043,nlin/0501026
nlin/0411059,nlin/0501026
nlin/0411024,nlin/0501026
nlin/0405059,nlin/0501026
nlin/0305030,nlin/0310020
cond-mat/0109073,cond-mat/0111523
cond-mat/0001059,cond-mat/0111523
patt-sol/9904006,cond-mat/0111523
cond-mat/0102488,cond-mat/0111523
hep-th/0602170,hep-th/0602289
hep-th/0202012,hep-th/0602289
hep-th/0508241,hep-th/0602289
hep-th/0506135,hep-th/0602289
hep-th/0203072,hep-th/0604134
hep-ph/0209176,hep-th/0604134
hep-ph/9503217,hep-th/0604134
hep-th/0505273,hep-th/0604134
patt-sol/9909002,hep-th/0604134
hep-th/0005045,hep-th/0506135
hep-th/0202012,hep-th/0506135
hep-th/9908090,hep-th/0506135
hep-th/0203072,hep-th/0606016
hep-ph/9503217,hep-th/0606016
hep-th/0505273,hep-th/0606016
