id,title,pagerank,betweenness,in_degree,out_degree
hep-th/0602170,Solitons in the Higgs phase -- the moduli matrix approach --,5.361348674575382e-05,0.0029839076776999,121.0,26.0
astro-ph/0612487,"Construction of Exact Solutions in Two-Fields Models and the Crossing of
  the Cosmological Constant Barrier",4.7858656739313446e-05,1.6885654545341933e-06,70.0,6.0
quant-ph/0612059,"Some thoughts on an information-theoretic motivated nonlinear
  Schrodinger equation",4.379083781422497e-05,0.0,4.0,0.0
hep-th/0610267,An Electroweak Oscillon,4.11506461549796e-05,7.359393938845994e-07,31.0,2.0
hep-th/0602289,Manifestly Supersymmetric Effective Lagrangians on BPS Solitons,3.0596644706055147e-05,3.698507817704425e-06,94.0,18.0
hep-th/0506135,Webs of Walls,2.7040187589759863e-05,9.027331073822744e-06,131.0,19.0
quant-ph/0605123,Exact Solutions of a Non-Polynomially Nonlinear Schrodinger Equation,2.5279784747736336e-05,0.0,7.0,1.0
hep-th/0604134,Unnatural Oscillon Lifetimes in an Expanding Background,2.3249591156496276e-05,1.24133362344493e-06,16.0,3.0
hep-th/0606016,Numerical Investigations of Oscillons in 2 Dimensions,2.0127928874814595e-05,1.773346171152259e-07,19.0,3.0
quant-ph/0607222,"Universality in an Information-theoretic Motivated Nonlinear Schrodinger
  Equation",1.9954815402111634e-05,1.945430290366792e-06,4.0,2.0
cond-mat/0608452,Temporal dynamics of tunneling. Hydrodynamic approach,1.986689169819527e-05,0.0,3.0,0.0
nlin/0602060,"On elliptic solutions of the quintic complex one-dimensional
  Ginzburg-Landau equation",1.7860944899153613e-05,0.0,19.0,0.0
nlin/0703057,"Exact Solutions for Equations of Bose-Fermi Mixtures in One-Dimensional
  Optical Lattice",1.6873535079445073e-05,0.0,15.0,0.0
hep-ph/0206053,A Step Beyond the Bounce: Bubble Dynamics in Quantum Phase Transitions,1.5235159099911237e-05,2.6049162015456832e-06,31.0,2.0
nlin/0008038,"Upper Bound on the Products of Particle Interactions in Cellular
  Automata",1.5125963638397773e-05,0.0,3.0,2.0
cond-mat/0506754,High efficiency deterministic Josephson Vortex Ratchet,1.491803032427211e-05,0.0,1.0,0.0
astro-ph/0502356,Construction of Special Solutions for Nonintegrable Systems,1.450072016410545e-05,0.0,17.0,1.0
nlin/0501026,Optical Vortices and Vortex Solitons,1.3430391918800944e-05,3.980365510320144e-06,11.0,2.0
patt-sol/9905002,Two-color multistep cascading and parametric soliton-induced waveguides,1.2520039875220534e-05,0.0,3.0,1.0
nlin/0608050,"Vacuum response to cosmic stretching: accelerated Universe and
  prevention of singularity",1.2501115965646322e-05,0.0,7.0,0.0
nlin/0012024,"The Complex Ginzburg-Landau Equation in the Presence of Walls and
  Corners",1.1574554877188825e-05,0.0,4.0,0.0
cond-mat/0509496,"Sigma models on curved space and bubble refraction in doped
  antiferromagnets",1.1562632408310144e-05,0.0,3.0,0.0
cond-mat/0109073,Explosion-implosion duality in the Bose-Einstein condensation,1.1060559318157432e-05,1.778395651912893e-05,8.0,4.0
cond-mat/0111523,"Exact results on the dynamics of multi-component Bose-Einstein
  condensate",1.0530334939461033e-05,3.822786576244798e-06,10.0,2.0
hep-lat/9704005,How to Count Kinks: From the Continuum to the Lattice and Back,1.014503992254937e-05,0.0,6.0,4.0
nlin/0505008,Vortex transmutation,9.945045889486147e-06,0.0,3.0,0.0
nlin/0002053,Localized structures in coupled Ginzburg-Landau equations,9.51645329162765e-06,0.0,6.0,0.0
cond-mat/0209429,"Mean-field model for the interference of matter waves from a
  three-dimensional optical trap",9.375977644941205e-06,1.7832079920834566e-05,3.0,4.0
nlin/0001065,"Three-dimensional pattern formation, multiple homogeneous soft modes,
  and nonlinear dielectric electroconvection",9.087592082995425e-06,0.0,2.0,1.0
nlin/0507031,Soliton topology versus discrete symmetry in optical lattices,8.766431790608775e-06,0.0,2.0,0.0
hep-ph/0004230,Pattern Formation in the Early Universe,8.665895463385765e-06,9.028144326421008e-07,12.0,2.0
cond-mat/0702322,"Inverted catenoids, curvature singularities and tethered membranes",8.617573300924441e-06,0.0,1.0,1.0
nlin/0608046,Comparative Study of Different Discretizations of the $\phi^4$ Model,8.454854747609838e-06,0.0,3.0,0.0
nlin/0601019,Solitary wave solutions of the short pulse equation,8.407577432131418e-06,0.0,5.0,0.0
cond-mat/0102488,Conformal symmetry and the nonlinear Schrodinger equation,8.297381057887235e-06,4.017495785602981e-06,9.0,5.0
