source,target
hep-th/0007194,math/0108160
hep-th/0105260,math/0108160
solv-int/9504001,hep-ph/9801377
hep-th/9910102,hep-th/0103051
hep-th/0104119,hep-th/0103051
hep-th/0012023,hep-th/0103051
math/0012117,math/9905084
hep-th/0007077,hep-th/0104119
hep-th/0012023,hep-th/0104119
hep-th/0103051,hep-th/0104119
math/0402097,nlin/0410046
math-ph/0204051,math-ph/0210010
nlin/0611022,nlin/0505013
nlin/0603057,nlin/0505013
nlin/0312015,nlin/0505013
nlin/0310021,nlin/0505013
nlin/0412064,nlin/0505013
nlin/0612022,nlin/0505013
nlin/0305044,nlin/0505013
math/0107056,math/0310278
nlin/0211018,nlin/0305044
nlin/0202024,nlin/0305044
math/9905084,math/9905189
math/9810013,math/9905189
cond-mat/9411064,cond-mat/9411051
hep-th/9608107,solv-int/9609008
solv-int/9707005,hep-th/9705219
hep-th/0005037,hep-th/0005130
math/9808048,hep-th/0007194
nlin/0206044,hep-th/0211283
hep-th/0211236,hep-th/0211283
hep-th/0211010,hep-th/0211283
solv-int/9904005,solv-int/9911008
hep-th/0108214,hep-th/0109223
nlin/0310021,nlin/0312013
nlin/0305044,nlin/0312013
hep-th/0105260,hep-th/0309010
hep-th/0211236,hep-th/0309010
nlin/0207030,hep-th/0306238
hep-th/9901120,hep-th/0306238
nlin/0305001,hep-th/0306238
hep-th/0005194,nlin/0006029
nlin/0305044,nlin/0310021
nlin/0411009,math-ph/0508062
hep-th/0005130,hep-th/0005037
solv-int/9912015,hep-th/0005037
solv-int/9911008,nlin/0003001
math/0007175,math/0102113
nlin/0003001,nlin/0003024
solv-int/9911008,nlin/0003024
nlin/0202044,math/0308221
math/9803107,math/0308221
hep-th/9505122,hep-th/0105260
math/0501464,math/0406281
nlin/0202044,math/0406281
math-ph/0309005,math/0406141
nlin/0407027,cond-mat/0309680
nlin/0203036,nlin/0212019
solv-int/9512008,solv-int/9701017
hep-th/9509096,solv-int/9701017
hep-th/9602068,solv-int/9701017
hep-th/9606066,solv-int/9912015
solv-int/9902010,solv-int/9912015
hep-th/0210047,hep-th/0211236
solv-int/9907020,math/9912209
math/9810014,math/9810013
hep-th/0005122,hep-th/0012023
hep-th/9709207,hep-th/0404106
nlin/0306005,hep-th/0404106
solv-int/9504001,hep-th/0404106
hep-th/9308086,hep-th/9512105
nlin/0011039,nlin/0601001
hep-th/9602068,hep-th/9608107
hep-th/0103013,hep-th/0106011
hep-ph/9801377,hep-ph/9909539
hep-th/0404106,hep-th/0404153
solv-int/9609010,hep-th/9910123
hep-th/9910033,hep-th/9910123
math-ph/0201063,math-ph/0204001
math/9905189,math-ph/0204001
hep-th/0503200,hep-th/0502226
hep-th/0303060,hep-th/0502226
hep-th/0410105,hep-th/0502226
hep-th/0410253,hep-th/0502226
cond-mat/9804207,hep-th/9910033
solv-int/9707005,hep-th/9910033
hep-th/9705219,hep-th/9910033
hep-th/9804124,hep-th/9910033
cond-mat/9706133,hep-th/9910033
cond-mat/0608230,cond-mat/0404250
hep-th/0109223,hep-th/0110097
math-ph/0407050,math-ph/0401029
math/0610517,math/0610398
math/0610433,math/0610398
hep-th/9705219,solv-int/9707005
hep-th/0006039,hep-th/0102039
nlin/0212019,nlin/0203036
nlin/0107063,nlin/0107062
nlin/0009009,nlin/0107062
hep-th/0102180,nlin/0107062
solv-int/9603006,q-alg/9612032
solv-int/9805006,hep-th/0107056
hep-th/9509096,hep-th/0107056
hep-th/0104092,hep-th/0107056
hep-th/9810067,hep-th/9902141
math/0108160,math-ph/0510032
hep-th/0303060,hep-th/0410105
hep-th/0303060,hep-th/0410253
hep-th/0410105,hep-th/0410253
nlin/0505013,nlin/0603057
quant-ph/0206104,quant-ph/0206105
math/0406281,math/0501464
hep-th/9804124,hep-th/9903002
math/9912209,solv-int/9907020
math/9909068,solv-int/9907020
cond-mat/0406190,cond-mat/0407429
math-ph/0201003,nlin/0207036
math-ph/0202045,nlin/0207036
math/0010135,nlin/0207036
math/9912209,math/0007175
math/9810013,math/9810014
hep-th/9806003,hep-th/9904002
hep-th/9809140,hep-th/9904002
hep-th/9807189,hep-th/9904002
math-ph/9807020,hep-th/0203169
math-ph/0005008,hep-th/0203169
math-ph/9907019,hep-th/0203169
hep-th/0309010,hep-th/0401165
nlin/0207036,hep-th/0210047
hep-th/0304063,hep-th/0305252
cond-mat/9612077,hep-th/0305252
hep-th/0309010,nlin/0312015
nlin/0310021,nlin/0312015
nlin/0305044,nlin/0312015
nlin/0203018,math-ph/0204054
solv-int/9609008,solv-int/9711009
nlin/0312013,nlin/0603007
math/0108160,nlin/0603007
hep-th/0002123,hep-th/0006243
hep-th/0107193,hep-th/0204124
hep-th/0204183,hep-th/0204124
hep-ph/9801377,hep-th/0204124
hep-ph/9909539,hep-th/0204124
solv-int/9504001,hep-th/0204124
hep-th/0104092,hep-th/0111243
hep-th/0107056,hep-th/0111243
hep-th/9806003,hep-th/9807189
hep-th/9512105,hep-th/9606066
hep-th/9509096,hep-th/9606066
hep-th/0005194,hep-th/0303256
hep-th/0301213,hep-th/0303256
hep-th/0109070,hep-th/0303256
hep-th/0211148,hep-th/0303256
nlin/0312015,nlin/0412064
nlin/0310021,nlin/0412064
nlin/0305044,nlin/0412064
nlin/0505013,nlin/0412064
cond-mat/9804207,hep-th/0005277
solv-int/9707005,hep-th/0005277
hep-th/9910033,hep-th/0005277
hep-th/9705219,hep-th/0005277
hep-th/9804124,hep-th/0005277
cond-mat/9706133,hep-th/0005277
hep-th/9906114,hep-th/9910102
nlin/0004040,hep-th/0104092
nlin/0012042,hep-th/0104092
solv-int/9904024,hep-th/0104092
solv-int/9808003,hep-th/0104092
nlin/0007002,hep-th/0104092
solv-int/9701017,hep-th/0104092
hep-th/0502226,hep-th/0503200
hep-th/0303060,hep-th/0503200
hep-th/0410105,hep-th/0503200
hep-th/0410253,hep-th/0503200
math-ph/0410061,math-ph/0412031
nlin/0107063,nlin/0205037
hep-th/0102180,nlin/0205037
nlin/0009009,nlin/0205037
nlin/0107062,nlin/0205037
hep-th/0303256,hep-th/0311206
hep-th/0007160,hep-th/0311206
hep-th/0401142,hep-th/0311206
hep-th/0406112,hep-th/0311206
hep-th/0301213,hep-th/0311206
hep-th/0005194,hep-th/0311206
hep-th/0309265,hep-th/0311206
hep-th/0211148,hep-th/0311206
math/0610398,math/0610433
nlin/0207030,nlin/0209035
hep-th/0106275,hep-th/0401020
cond-mat/9612077,hep-th/0304063
hep-th/0305252,hep-th/0304063
solv-int/9910011,nlin/0111015
math/0108160,nlin/0111015
solv-int/9802014,solv-int/9811003
quant-ph/0606081,cond-mat/0607055
q-alg/9706019,q-alg/9710015
hep-th/9807189,hep-th/9806003
cond-mat/0511543,cond-mat/0611316
cond-mat/0607258,cond-mat/0611316
cond-mat/0410011,cond-mat/0611316
cond-mat/0505698,cond-mat/0611316
cond-mat/0602375,cond-mat/0611316
math-ph/0401029,math-ph/0407050
nlin/0505013,nlin/0611022
nlin/0603057,nlin/0612022
nlin/0604049,nlin/0612022
nlin/0505013,nlin/0612022
nlin/0603055,nlin/0612022
nlin/0607003,nlin/0612022
nlin/0603056,nlin/0612022
solv-int/9812001,solv-int/9909006
hep-th/9407017,hep-th/9407112
hep-th/9312144,hep-th/9407112
hep-th/9307147,hep-th/9407112
cond-mat/9411051,cond-mat/9411064
hep-th/9804124,hep-th/9903068
math/0610398,math/0610517
math/0610433,math/0610517
solv-int/9808004,solv-int/9810009
solv-int/9801021,solv-int/9810009
cond-mat/0404250,cond-mat/0608230
math/0012117,math-ph/0210048
math/0110281,math-ph/0210048
math/9905084,math-ph/0210048
math/9810014,math-ph/0210048
math/9810013,math-ph/0210048
math/9905189,math-ph/0210048
solv-int/9911004,math-ph/0512084
solv-int/9802008,math-ph/0512084
nlin/0404026,nlin/0411009
math-ph/0401029,math-ph/0406061
math-ph/0401029,math-ph/0406061
hep-th/9509096,solv-int/9709004
hep-th/9602068,solv-int/9709004
math/0406141,math/0409247
math-ph/0309005,math/0409247
math-ph/0005008,math-ph/0202045
hep-th/0105260,hep-th/0211010
hep-th/9307147,hep-th/9312144
hep-th/0502226,hep-th/0511069
hep-th/0609108,hep-th/0511069
hep-th/9904002,hep-th/9909145
hep-th/9807189,hep-th/9909145
hep-th/9910102,hep-th/0105177
hep-th/9910033,hep-th/0204039
hep-th/0102153,hep-th/0204039
hep-th/0105164,hep-th/0204039
hep-th/9804124,hep-th/0204039
hep-th/0105197,hep-th/0204039
hep-th/0005277,hep-th/0204039
solv-int/9808004,solv-int/9907004
solv-int/9802018,solv-int/9907004
solv-int/9810009,solv-int/9907004
solv-int/9801021,solv-int/9907004
solv-int/9901011,solv-int/9907004
solv-int/9711009,solv-int/9907004
solv-int/9711012,solv-int/9907004
hep-th/9905103,solv-int/9907004
hep-th/9608107,solv-int/9907004
solv-int/9609008,solv-int/9907004
hep-th/9407112,hep-th/9602068
solv-int/9512008,hep-th/9602068
nlin/0007009,nlin/0011009
solv-int/9810009,nlin/0011009
solv-int/9911005,nlin/0011009
solv-int/9907004,nlin/0011009
solv-int/9712009,solv-int/9808004
solv-int/9801021,solv-int/9808004
