id,title,pagerank,betweenness,in_degree,out_degree
math-ph/0703019,"Integrable Structure of Ginibre's Ensemble of Real Random Matrices and a
  Pfaffian Integration Theorem",9.689213738909653e-05,0.0,2.0,0.0
hep-th/0504001,Noncommutative Solitons and Integrable Systems,7.513055205141025e-05,0.0006833984826726,145.0,6.0
hep-th/0601209,Noncommutative Ward's Conjecture and Integrable Systems,6.824987383754181e-05,4.48560190223604e-06,53.0,3.0
nlin/0102010,Symmetries of Supersymmetric Integrable Hierarchies of KP Type,6.22983405410235e-05,3.5920754935408774e-06,43.0,2.0
hep-th/0610006,"Notes on Exact Multi-Soliton Solutions of Noncommutative Integrable
  Hierarchies",5.9204584888683565e-05,3.832204317517092e-06,31.0,3.0
hep-th/0610311,"Parasupersymmetry and N-fold Supersymmetry in Quantum Many-Body Systems
  I. General Formalism and Second Order",5.322860540333513e-05,1.2186976486495636e-07,31.0,2.0
hep-th/0507112,On Reductions of Noncommutative Anti-Self-Dual Yang-Mills Equations,4.458398188783126e-05,6.482539629156823e-07,57.0,3.0
hep-th/0608225,"Hidden Symmetries and Integrable Hierarchy of the N=4 Supersymmetric
  Yang-Mills Equations",4.341887052603366e-05,0.0,54.0,1.0
nlin/0108021,Properties of Supersymmetric Integrable Systems of KP Type,3.838306833490639e-05,0.0,8.0,0.0
hep-th/0611008,N-fold Parasupersymmetry,3.725568643909218e-05,0.0,12.0,0.0
math/0611184,Parametrization of semi-dynamical quantum reflection algebra,3.724711774197275e-05,0.0,8.0,0.0
math-ph/0507062,"Spin Calogero models obtained from dynamical r-matrices and geodesic
  motion",3.426762164836593e-05,5.51662611871847e-06,28.0,5.0
hep-th/0609108,Bihamiltonian structure of the classical superstring in AdS_5 x S**5,3.2551935573373256e-05,2.028614627453942e-06,23.0,3.0
nlin/0701052,"With a Cole-Hopf transformation to solutions of the noncommutative KP
  hierarchy in terms of Wronski matrices",2.998483237816832e-05,0.0,6.0,0.0
hep-th/0703147,"Supersymmetric Bethe Ansatz and Baxter Equations from Discrete Hirota
  Dynamics",2.9879606867948634e-05,0.0,26.0,0.0
hep-th/0405182,Solitons with Isospin,2.9779049773420324e-05,1.0425038829411972e-08,17.0,1.0
hep-th/0304257,Superconformal mechanics and nonlinear supersymmetry,2.9503188847611413e-05,9.185821192895296e-06,42.0,5.0
cond-mat/0510458,"Nonlinear Integral Equations and high temperature expansion for the
  $U_{q}(\hat{sl}(r+1|s+1))$ Perk-Schultz Model",2.8515522974251867e-05,2.0311374487970413e-06,30.0,2.0
