id,title,pagerank,betweenness,in_degree,out_degree
hep-ph/0412158,Heavy Quarkonium Physics,0.0003745056523094,0.0032736918218251,928.0,179.0
hep-ph/0703225,New Hadron States,0.0001362416544918,2.532497543150054e-07,52.0,1.0
hep-ph/0308123,Progress in the physics of massive neutrinos,9.51603662822998e-05,0.0008434722871354,495.0,62.0
hep-ph/0504154,Disoriented Chiral Condensate: Theory and Experiment,7.720552316870189e-05,0.0,103.0,0.0
hep-ph/0605033,"Topical Review on ""Beta-beams""",7.540730490837598e-05,8.012778115870882e-06,87.0,12.0
nucl-th/0511071,"Hadron production in central nucleus-nucleus collisions at chemical
  freeze-out",7.529802593611262e-05,0.0006466843289281,92.0,14.0
nucl-th/0606058,Neutral current neutrino-nucleus interactions at intermediate energies,6.750147614930049e-05,3.4172730774091736e-06,51.0,3.0
hep-ph/0703228,"Deconfinement transition for nonzero baryon density in the Field
  Correlator Method",6.401894496265856e-05,3.186952556403019e-07,20.0,1.0
nucl-ex/0501017,Jet physics in ALICE,5.777265273896571e-05,9.550712953573869e-06,154.0,3.0
hep-ph/0612057,Low Energy Precision Test of Supersymmetry,5.728691749133216e-05,1.3143968312516135e-05,47.0,1.0
nucl-th/0701011,"Eta meson production in nucleon-nucleon collisions within an effective
  Lagrangian model",5.536506231914505e-05,0.0,10.0,0.0
nucl-th/0605039,Web-page on UrQMD Model Validation,5.4137814108998544e-05,0.0,46.0,0.0
nucl-th/0608032,QCD Matter: A Search for a Mixed Quark-Hadron Phase,5.39435635809543e-05,2.3464489381455405e-06,36.0,3.0
hep-ph/0703063,Low-energy neutrinos at off-axis from a standard beta-beam,5.298779079230183e-05,1.9896115201557205e-06,37.0,1.0
hep-ph/0311131,Photon Physics in Heavy Ion Collisions at the LHC,5.189337117616973e-05,0.0001698666873343,173.0,33.0
hep-ph/0405125,Matter in extremis: ultrarelativistic nuclear collisions at RHIC,5.119670052450386e-05,0.0003566260236367,235.0,38.0
nucl-th/0605006,Isospin violation in the vector form factors of the nucleon,5.0082776993592384e-05,1.0375565531738542e-06,52.0,2.0
hep-ph/0311212,Chiral Dynamics: Theory and Experiment (CD2003),4.947746171884933e-05,0.0011137237736941,144.0,10.0
hep-ph/0701125,Hard exclusive electroproduction of a pion in the backward region,4.851132438424047e-05,0.0,22.0,0.0
hep-ph/0612150,To see the exotic Theta^+ baryon from interference,4.760309059295371e-05,0.0,26.0,0.0
hep-ph/0601127,Hadronic Parity Violation: a New View through the Looking Glass,4.710359489837724e-05,4.015348648394156e-06,61.0,2.0
hep-ph/0703072,"Axial current matrix elements and pentaquark decay widths in chiral
  soliton models",4.705220598244313e-05,0.0,18.0,0.0
hep-ph/0505052,Saturation Physics and Deuteron--Gold Collisions at RHIC,4.400156248015961e-05,2.356943248322958e-05,209.0,28.0
