id,title,pagerank,betweenness,in_degree,out_degree
hep-ph/0412158,Heavy Quarkonium Physics,0.0003745056523094,0.0032736918218251,928.0,179.0
hep-ph/0703225,New Hadron States,0.0001362416544918,2.532497543150054e-07,52.0,1.0
hep-ph/0703168,Pion Interactions in the X(3872),0.0001181559404725,1.1412741849636234e-06,61.0,1.0
nucl-th/0509032,Few-Nucleon Forces and Systems in Chiral Effective Field Theory,0.0001127258224106,0.0010754787871978,240.0,31.0
nucl-th/0703073,"Chiral Perturbation Theory and the first moments of the Generalized
  Parton Distriputions in a Nucleon",0.0001105838087211,0.0,10.0,0.0
hep-ph/0611072,"Lattice QCD, Chiral Perturbation Theory and Hadron Phenomenology",0.0001047817723248,6.400252762890523e-07,73.0,1.0
hep-ph/0308123,Progress in the physics of massive neutrinos,9.51603662822998e-05,0.0008434722871354,495.0,62.0
hep-ph/0310337,Advances in perturbative thermal field theory,9.377702017748394e-05,0.0002854958699751,277.0,18.0
hep-ph/0702212,Photoproduction at collider energies: from RHIC and HERA to the LHC,8.820664483768759e-05,0.0,44.0,0.0
astro-ph/0702613,Neutrino Spectrum from SN 1987A and from Cosmic Supernovae,8.710847569863647e-05,0.0,56.0,0.0
nucl-th/0611055,Overview of Non-Relativistic QCD,8.058692630595013e-05,0.0007279200401712,83.0,1.0
hep-ph/0609004,Electromagnetic excitation of the Delta(1232)-resonance,7.961840903775604e-05,6.855574047086133e-06,11.0,5.0
nucl-th/0609084,Density-functional theory for the pairing Hamiltonian,7.755877675217917e-05,5.550613675571813e-07,25.0,2.0
hep-ph/0504154,Disoriented Chiral Condensate: Theory and Experiment,7.720552316870189e-05,0.0,103.0,0.0
hep-ph/0605033,"Topical Review on ""Beta-beams""",7.540730490837598e-05,8.012778115870882e-06,87.0,12.0
nucl-th/0511071,"Hadron production in central nucleus-nucleus collisions at chemical
  freeze-out",7.529802593611262e-05,0.0006466843289281,92.0,14.0
nucl-th/0612051,The nucleon-nucleon potential beyond the static approximation,7.329521950275428e-05,0.0,53.0,0.0
nucl-th/0409021,Bridges from Lattice QCD to Nuclear Physics,6.938489573003748e-05,0.0,117.0,0.0
hep-ph/0608297,Can the X(3872) be a 1^{++} four-quark state?,6.875884789348425e-05,3.668629477384692e-06,29.0,3.0
hep-lat/0611003,Two Meson Systems with Ginsparg-Wilson Valence Quarks,6.828840607737522e-05,1.545822260609203e-06,81.0,3.0
nucl-th/0606058,Neutral current neutrino-nucleus interactions at intermediate energies,6.750147614930049e-05,3.4172730774091736e-06,51.0,3.0
hep-ph/0703228,"Deconfinement transition for nonzero baryon density in the Field
  Correlator Method",6.401894496265856e-05,3.186952556403019e-07,20.0,1.0
nucl-th/0609059,Hard Probes at LHC,6.38131819977308e-05,0.0,53.0,0.0
