source,target
cond-mat/9809324,cond-mat/9901239
patt-sol/9812003,patt-sol/9908002
patt-sol/9902001,patt-sol/9908002
patt-sol/9903004,patt-sol/9904006
patt-sol/9508001,hep-th/9505166
hep-th/9505166,patt-sol/9508001
patt-sol/9805005,patt-sol/9902005
patt-sol/9801004,patt-sol/9909002
astro-ph/9806209,patt-sol/9909002
patt-sol/9608008,hep-th/9609045
cond-mat/9909269,patt-sol/9901002
hep-th/9812215,solv-int/9901010
patt-sol/9812003,patt-sol/9902001
patt-sol/9904008,patt-sol/9905002
patt-sol/9907005,patt-sol/9905002
patt-sol/9909001,patt-sol/9905002
patt-sol/9804005,astro-ph/9806209
patt-sol/9704004,cond-mat/9709204
patt-sol/9808005,solv-int/9902010
hep-th/9812215,solv-int/9902010
solv-int/9901010,solv-int/9902010
patt-sol/9905002,patt-sol/9909001
patt-sol/9906008,patt-sol/9912002
patt-sol/9707004,patt-sol/9801002
patt-sol/9703004,patt-sol/9709003
patt-sol/9608008,patt-sol/9709003
patt-sol/9702001,patt-sol/9709003
patt-sol/9705003,patt-sol/9709003
gr-qc/9904053,hep-th/9905088
patt-sol/9608008,patt-sol/9705003
patt-sol/9702002,patt-sol/9703009
patt-sol/9509003,patt-sol/9509001
patt-sol/9801004,patt-sol/9802004
patt-sol/9812003,patt-sol/9909005
patt-sol/9908002,patt-sol/9909005
patt-sol/9705009,hep-th/9711195
patt-sol/9702003,patt-sol/9706007
patt-sol/9307001,chao-dyn/9307010
solv-int/9708004,solv-int/9712004
patt-sol/9901002,cond-mat/9910192
patt-sol/9404003,patt-sol/9404004
patt-sol/9509003,patt-sol/9606006
patt-sol/9509001,patt-sol/9606006
patt-sol/9703009,patt-sol/9704006
patt-sol/9702002,patt-sol/9704006
patt-sol/9706007,patt-sol/9708002
patt-sol/9702003,patt-sol/9708002
patt-sol/9706001,patt-sol/9708004
patt-sol/9701006,patt-sol/9708004
patt-sol/9807002,patt-sol/9710004
patt-sol/9802001,patt-sol/9803003
patt-sol/9804001,patt-sol/9808004
patt-sol/9801004,patt-sol/9810005
patt-sol/9802004,patt-sol/9810005
patt-sol/9804001,patt-sol/9901003
patt-sol/9704003,patt-sol/9904007
chao-dyn/9707010,patt-sol/9907004
patt-sol/9902005,patt-sol/9907004
patt-sol/9810002,patt-sol/9907004
patt-sol/9905007,patt-sol/9911003
patt-sol/9912001,patt-sol/9912003
cond-mat/9709063,cond-mat/9808288
patt-sol/9801004,cond-mat/9803251
patt-sol/9704001,cond-mat/9803251
patt-sol/9706001,physics/9804014
physics/9808035,physics/9809018
physics/9808032,physics/9809018
cond-mat/9607023,cond-mat/9708169
cond-mat/9510093,cond-mat/9708169
