source,target
astro-ph/0001001,astro-ph/0205286
physics/0512092,physics/0606185
physics/0512113,physics/0606185
physics/0507165,physics/0606185
physics/0507165,physics/0512113
physics/0207076,physics/0307144
physics/0606185,physics/0701162
physics/0310020,physics/0505103
physics/0611071,physics/0611086
physics/0011027,physics/0311052
physics/0503231,physics/0512135
physics/0505103,physics/0512135
physics/0510203,physics/0512135
physics/0512091,physics/0512135
physics/0509024,physics/0512135
physics/0507165,physics/0512092
physics/0307144,physics/0307052
physics/0403005,physics/0307052
physics/0309042,physics/0312125
physics/0307052,physics/0403005
physics/0307144,physics/0403005
physics/0503231,physics/0509024
physics/0505103,physics/0509024
physics/0606185,physics/0701170
physics/0611070,physics/0701170
physics/0701167,physics/0701170
physics/0701162,physics/0701170
physics/0402027,physics/0409096
physics/0309042,physics/0409096
physics/0310059,physics/0409096
physics/0310060,physics/0409096
physics/0401046,physics/0409096
physics/0310079,physics/0409096
physics/0402026,physics/0409096
physics/0606185,physics/0701167
physics/0701162,physics/0701167
physics/0512113,physics/0611070
physics/0507165,physics/0510203
physics/0503231,physics/0510203
physics/0509024,physics/0510203
physics/0505103,physics/0510203
physics/0311052,physics/0406029
physics/0310093,physics/0406029
physics/0307141,physics/0312083
nlin/0507010,physics/0508226
nlin/0306056,physics/0508226
nlin/0208032,physics/0508226
physics/0611086,physics/0701345
physics/0510203,physics/0512091
physics/0503231,physics/0512091
physics/0509024,physics/0512091
physics/0505103,physics/0512091
physics/0309042,physics/0310079
physics/0310060,physics/0310079
physics/0310059,physics/0310079
physics/0308046,physics/0402026
physics/0309042,physics/0402026
physics/0310059,physics/0402026
physics/0310020,physics/0402026
physics/0310060,physics/0402026
physics/0308046,physics/0401046
physics/0309042,physics/0401046
physics/0309042,physics/0402027
nlin/0109027,nlin/0306056
nlin/0410054,physics/0411011
physics/0701170,physics/0701173
physics/0606185,physics/0701173
physics/0701162,physics/0701173
physics/0512135,physics/0611006
chao-dyn/9701009,chao-dyn/9802003
physics/0311052,physics/0406025
physics/0310093,physics/0406025
physics/0109005,physics/0108056
physics/0308046,physics/0410039
physics/0409096,physics/0410039
astro-ph/0610725,astro-ph/0610954
chao-dyn/9802003,chao-dyn/9905022
chao-dyn/9701009,chao-dyn/9905022
astro-ph/0610725,astro-ph/0612745
astro-ph/0610954,astro-ph/0612745
astro-ph/0612660,astro-ph/0602092
physics/0109005,physics/0111133
physics/0108056,physics/0111133
physics/0011027,physics/0212055
physics/0211040,physics/0306043
physics/0203044,physics/0306157
physics/0310027,physics/0311138
physics/0305129,physics/0311138
physics/0310164,physics/0312057
nlin/0105007,physics/0312150
physics/0312083,physics/0401078
physics/0310093,physics/0406084
physics/0311052,physics/0406084
physics/0406029,physics/0406084
physics/0406025,physics/0406084
physics/0406029,physics/0407037
physics/9907033,physics/0407082
physics/0308065,physics/0409097
physics/0409096,physics/0409097
physics/0310079,physics/0409097
physics/0309042,physics/0409097
physics/0409096,physics/0409127
physics/0310060,physics/0409127
physics/0308046,physics/0410053
physics/0309042,physics/0410053
physics/0310060,physics/0410053
physics/0409096,physics/0410053
physics/0402026,physics/0410053
physics/0410039,physics/0410053
physics/0402099,physics/0501087
physics/0411011,physics/0502146
nlin/0410054,physics/0502146
physics/0210095,physics/0503119
physics/0501020,physics/0503155
physics/0503186,physics/0503187
physics/0505103,physics/0506055
physics/0504148,physics/0510150
physics/0203058,physics/0511236
physics/0601112,physics/0605167
physics/0512208,physics/0605167
physics/0512092,physics/0606192
physics/0606185,physics/0606192
physics/0512113,physics/0606192
physics/0701221,physics/0609189
physics/0611006,physics/0611103
physics/0512135,physics/0611103
physics/0611086,physics/0611107
physics/0611071,physics/0611107
physics/0511208,physics/0612042
physics/0606075,physics/0701022
physics/0701162,physics/0701165
physics/0512113,physics/0701166
physics/0611070,physics/0701166
physics/0611071,physics/0701166
physics/0701167,physics/0701166
physics/0701173,physics/0701175
physics/0701170,physics/0701175
physics/0701170,physics/0701176
physics/0701162,physics/0701176
physics/0308101,physics/0702034
physics/0308099,physics/0702034
physics/0701345,physics/0702131
physics/0308101,physics/0702145
physics/0308099,physics/0702145
physics/9706007,physics/9708037
physics/9706007,physics/9904002
