id,title,pagerank,betweenness,in_degree,out_degree
astro-ph/0612745,Splitting neutrino masses and showering into Sky,2.576001713549483e-05,0.0,12.0,0.0
astro-ph/0602092,Do extragalactic cosmic rays induce cycles in fossil diversity?,1.5808809605568053e-05,0.0,7.0,0.0
astro-ph/0610725,UHE Cosmic Rays and Neutrinos Showering on Planet Edges,1.4106254320979078e-05,2.059115113305794e-06,9.0,2.0
astro-ph/0205286,MHD Turbulence: Scaling Laws and Astrophysical Implications,1.353522274472162e-05,5.765923004238475e-05,14.0,21.0
astro-ph/0610954,Updated Z-Burst Neutrinos at Horizons,1.230380113342513e-05,1.128455947177213e-07,11.0,1.0
physics/0611103,"Predicting hurricane regional landfall rates: comparing local and
  basin-wide track model approaches",9.471441537761233e-06,0.0,2.0,0.0
astro-ph/0307485,The Rise of High Energy Neutrino Astronomy at Horizon,9.106347845225946e-06,7.38559477218974e-07,20.0,1.0
physics/0410053,"Probabilistic temperature forecasting: a comparison of four
  spread-regression models",8.87222899488306e-06,0.0,6.0,0.0
nlin/0606058,A Model of Intra-seasonal Oscillations in the Earth atmosphere,7.94172350681534e-06,1.990182755160072e-06,2.0,3.0
physics/0512135,Statistical modelling of tropical cyclone tracks: non-normal innovations,7.911747879052413e-06,0.0,5.0,2.0
physics/0508226,"Sensitivity of ray dynamics in an underwater sound channel to vertical
  scale of longitudinal sound-speed variations",7.000799622209383e-06,0.0,6.0,1.0
physics/0409096,"Probabilistic temperature forecasting: a summary of our recent research
  results",6.919872552598118e-06,0.0,7.0,4.0
physics/0403005,"Modeling turbulent wave-front phase as a fractional Brownian motion: a
  new approach",6.189841599054301e-06,0.0,2.0,2.0
physics/0701175,"Correlations between hurricane numbers and sea surface temperature: why
  does the correlation disappear at landfall?",5.9805420987033565e-06,0.0,2.0,0.0
physics/0407082,A link between an ice age era and a rapid polar shift,5.951706370833511e-06,0.0,4.0,0.0
physics/0702067,"Explicit wave-averaged primitive equations using a Generalized
  Lagrangian Mean",5.655144290770314e-06,0.0,1.0,1.0
physics/0008236,Equilibrium solutions of the shallow water equations,5.655144290770314e-06,0.0,1.0,0.0
physics/0604023,The multiscale nature of streamers,5.655144290770314e-06,0.0,2.0,1.0
physics/0111110,"Metastability in simple climate models: Pathwise analysis of slowly
  driven Langevin equations",5.593374608800041e-06,0.0,4.0,1.0
physics/0409097,"Making use of the information in ensemble weather forecasts: comparing
  the end to end and full statistical modelling approaches",5.477474002378405e-06,0.0,4.0,0.0
physics/0406084,On the GNSS-R Interferometric Complex Field Coherence Time,5.4398385099767525e-06,0.0,4.0,0.0
astro-ph/0601711,Gamma-ray bursts and terrestrial planetary atmospheres,5.438825304404756e-06,0.0,4.0,0.0
physics/0611006,"Comparing classical and Bayesian methods for predicting hurricane
  landfall rates",5.264078317386516e-06,0.0,1.0,1.0
physics/0111133,"A characteristic frequency of two mutually interacting gas bubbles in an
  acoustic field",4.922302499547841e-06,0.0,4.0,0.0
physics/0702034,"In a book ""Tsunami and Nonlinear Waves"": Numerical Verification of the
  Hasselmann equation",4.881437893292031e-06,0.0,7.0,0.0
physics/0702145,Numerical Verification of the Weak Turbulent Model for Swell Evolution,4.881437893292031e-06,0.0,7.0,0.0
physics/0605167,Essence of inviscid shear instability: a point view of vortex dynamics,4.775563454392716e-06,0.0,3.0,0.0
physics/0312150,"Ocean acoustic wave propagation and ray method correspondence: internal
  wave fine structure",4.694741598934279e-06,0.0,4.0,0.0
chao-dyn/9905022,Noise-induced flow in quasigeostrophic turbulence with bottom friction,4.527116820765776e-06,0.0,3.0,0.0
physics/0307052,"A fractional Brownian motion model for the turbulent refractive index in
  lightwave propagation",4.51301025095409e-06,0.0,2.0,1.0
physics/0311138,"Notes on a possible phenomenology of internal transport barriers in
  tokamak",4.372201195666494e-06,0.0,3.0,0.0
nlin/0605003,Differential models for 2D turbulence,4.229814325148799e-06,0.0,3.0,0.0
physics/0502146,Quasi-planar steep water waves,4.060231222520034e-06,0.0,2.0,0.0
physics/0701170,"Predicting basin and landfalling hurricane numbers from sea surface
  temperature",3.964257947761864e-06,0.0,4.0,3.0
physics/0512091,"Statistical modelling of tropical cyclone tracks: modelling cyclone
  lysis",3.8515256738171375e-06,0.0,4.0,1.0
physics/0701166,"Predicting landfalling hurricane numbers from basin hurricane numbers:
  statistical analysis and predictions",3.838360034759058e-06,0.0,4.0,0.0
physics/0410039,"Probabilistic forecasts of temperature: measuring the utility of the
  ensemble spread",3.59569620305516e-06,0.0,2.0,1.0
physics/0501020,"The asymptotic quasi-stationary states of the two-dimensional
  magnetically confined plasma and of the planetary atmosphere",3.5816623865110502e-06,3.980365510320144e-06,8.0,2.0
physics/0409127,"Probabilistic forecasting of temperature: comments on the Bayesian Model
  Averaging approach",3.538085694999646e-06,0.0,2.0,0.0
physics/0701173,"Statistical Modelling of the Relationship Between Main Development
  Region Sea Surface Temperature and \emph{Landfalling} Atlantic Basin
  Hurricane Numbers",3.408709818902323e-06,0.0,3.0,1.0
physics/0401078,"Linear waves and baroclinic instability in an inhomogeneous-density
  layered primitive-equation ocean model",3.3749066596554898e-06,0.0,1.0,0.0
nlin/0610056,"Energy Conservation and Second-Order Statistics in Stably Stratified
  Turbulent Boundary Layers",3.3749066596554898e-06,0.0,1.0,0.0
physics/0702131,Changes in number and intensity of world-wide tropical cyclones,3.3030645010996213e-06,0.0,1.0,0.0
physics/0503155,Describing two-dimensional vortical flows : the typhoon case,3.230327327481176e-06,0.0,1.0,0.0
astro-ph/0606226,Anti-Neutrino Imprint in Solar Neutrino Flare,3.158603895934462e-06,0.0,3.0,0.0
physics/0402026,"Improving probabilistic weather forecasts using seasonally varying
  calibration parameters",2.9416289479588443e-06,0.0,5.0,2.0
physics/0701176,"Predicting landfalling hurricane numbers from sea surface temperature:
  theoretical comparisons of direct and indirect approaches",2.912006170016791e-06,0.0,2.0,0.0
astro-ph/0201018,Evidence for Nearby Supernova Explosions,2.855213185875573e-06,0.0,2.0,0.0
physics/0411011,"Water waves over a time-dependent bottom: Exact description for 2D
  potential flows",2.855213185875573e-06,0.0,2.0,1.0
physics/0606192,"Year ahead prediction of US landfalling hurricane numbers: the optimal
  combination of long and short baselines for intense hurricanes",2.8492499021832324e-06,0.0,3.0,0.0
physics/0510203,"Statistical modelling of tropical cyclone genesis: a non-parametric
  model for the annual distribution",2.8114989404504844e-06,0.0,4.0,2.0
physics/0703196,"Efficient form of the LANS-alpha turbulence model in a
  primitive-equation ocean model",2.77239764133326e-06,0.0,1.0,0.0
physics/0401143,"Volcanic forcing improves Atmosphere-Ocean Coupled General Circulation
  Model scaling performance",2.697084014042981e-06,0.0,1.0,0.0
cond-mat/0208117,Statistical analysis of air and sea temperature anomalies,2.6631781590238582e-06,0.0,3.0,0.0
physics/0606185,"Year-ahead Prediction of Hurricane Season Sea Surface Temperature in the
  Tropical Atlantic",2.640598793575272e-06,0.0,3.0,5.0
astro-ph/0001001,Statistics of Turbulence from Spectral-Line Data Cubes,2.5220823962103437e-06,2.0668118494594585e-05,2.0,10.0
physics/0609189,On the parabolic equation method in internal wave propagation,2.4711431321721443e-06,0.0,1.0,0.0
physics/0307144,Light Propagation in Turbulent Media,2.4711431321721443e-06,0.0,1.0,3.0
physics/0209047,Vortex line representation for flows of ideal and viscous fluids,2.4711431321721443e-06,0.0,1.0,1.0
physics/0312133,"Electromagnetic wave scattering from a random layer with rough
  interfaces I: Coherent field",2.4711431321721443e-06,0.0,1.0,2.0
physics/0503187,"Reply to comment on `A simple model for the short-time evolution of
  near-surface current and temperature profiles'",2.4711431321721443e-06,0.0,1.0,0.0
physics/0501087,"A Bayesian Estimator for Linear Calibration Error Effects in Thermal
  Remote Sensing",2.4711431321721443e-06,0.0,1.0,0.0
physics/0503119,Global Warming: some back-of-the-envelope calculations,2.4711431321721443e-06,0.0,1.0,0.0
physics/0510150,"Current effects on scattering of surface gravity waves by bottom
  topography",2.4711431321721443e-06,0.0,1.0,0.0
nlin/0404016,Diffusion of passive scalar in a finite-scale random flow,2.4711431321721443e-06,0.0,1.0,0.0
physics/0312057,"A theory of growth by differential sedimentation with application to
  snowflake formation",2.4711431321721443e-06,0.0,1.0,0.0
physics/0306043,"Characteristics of Aerosol Spectral Optical Depths over Manora Peak,
  Nainital $-$ A High Altitude Station in the Central Himalayas",2.4711431321721443e-06,0.0,1.0,0.0
physics/0105023,"Forces at the Sea Bed using a Finite Element Solution of the Mild Slope
  Wave Equation",2.4711431321721443e-06,0.0,1.0,0.0
physics/0312083,Multilayer shallow-water model with stratification and shear,2.4711431321721443e-06,0.0,1.0,1.0
physics/0511236,"Efficient Data Assimilation for Spatiotemporal Chaos: a Local Ensemble
  Transform Kalman Filter",2.4711431321721443e-06,0.0,1.0,0.0
chao-dyn/9802003,Noise rectification in quasigeostrophic forced turbulence,2.4711431321721443e-06,0.0,2.0,1.0
physics/0611107,"Change-point detection in the historical hurricane number time-series:
  why can't we detect change-points at US landfall?",2.429735359900988e-06,0.0,2.0,0.0
physics/0407037,"The Eddy Experiment: GNSS-R speculometry for directional sea-roughness
  retrieval from low altitude aircraft",2.386312363371018e-06,0.0,1.0,0.0
physics/0108056,"Number of Transition Frequencies of a System Containing an Arbitrary
  Number of Gas Bubbles",2.379526275040802e-06,0.0,2.0,1.0
physics/0304035,A model for rapid stochastic distortions of small-scale turbulence,2.351106830767793e-06,0.0,2.0,5.0
astro-ph/9805317,Anoxia duirng the Late Permian Binary Mass Extinction and Dark Matter,2.2960610328299915e-06,0.0,2.0,0.0
physics/0307039,"Passive tracer patchiness and particle trajectory stability in
  incompressible two-dimensional flows",2.27910810532043e-06,0.0,2.0,0.0
physics/0406025,"The Eddy Experiment: accurate GNSS-R ocean altimetry from low altitude
  aircraft",2.237700333049273e-06,0.0,2.0,1.0
physics/0406029,Sea state monitoring using coastal GNSS-R,2.237700333049273e-06,0.0,2.0,2.0
nlin/0605040,Sling effect in collisions of water droplets in turbulent clouds,2.2282787682687407e-06,0.0,2.0,1.0
physics/0701167,"Predicting hurricane numbers from Sea Surface Temperature: closed form
  expressions for the mean, variance and standard error of the number of
  hurricanes",2.1734386985133746e-06,0.0,2.0,2.0
nlin/0109028,Du chaos dans la musique des etoiles,2.1254800838390582e-06,0.0,2.0,0.0
physics/0310079,"Do medium range ensemble forecasts give useful predictions of temporal
  correlations?",2.0774713271261303e-06,0.0,3.0,2.0
physics/0701345,"On the changes in number and intensity of North Atlantic tropical
  cyclones",2.0456653061975597e-06,0.0,1.0,1.0
astro-ph/0505472,"Gamma-Ray Bursts and the Earth: Exploration of Atmospheric, Biological,
  Climatic and Biogeochemical Effects",1.9428198551632724e-06,0.0,2.0,0.0
physics/0509024,"Statistical modelling of tropical cyclone tracks: modelling the
  autocorrelation in track shape",1.927803896309822e-06,0.0,2.0,3.0
physics/9904002,What caused the onset of the 1997-1998 El Nino?,1.8950380516170012e-06,0.0,1.0,0.0
physics/0207108,"Richardson's pair diffusion and the stagnation point structure of
  turbulence",1.8950380516170012e-06,0.0,1.0,2.0
physics/0306157,Electron gas oscillations in plasma. Theory and applications,1.8950380516170012e-06,0.0,1.0,0.0
physics/0310112,Note on the typhoon eye trajectory,1.8950380516170012e-06,0.0,1.0,0.0
physics/0612042,"Extreme Value Statistics of the Total Energy in an Intermediate
  Complexity Model of the Mid-latitude Atmospheric Jet. Part II: trend
  detection and assessment",1.8950380516170012e-06,0.0,1.0,0.0
physics/0602024,"Piecewise continuous distribution function method and ultrasound at half
  space",1.8950380516170012e-06,0.0,1.0,0.0
physics/9708037,Tracking down the ENSO delayed oscillator with an adjoint OGCM,1.8950380516170012e-06,0.0,1.0,0.0
physics/0701022,"Humidity contribution to C_n^2 over a 600m pathlength in a tropical
  marine environment",1.8950380516170012e-06,0.0,1.0,0.0
physics/0505103,"Statistical modelling of tropical cyclone tracks: a comparison of models
  for the variance of trajectories",1.8950380516170012e-06,0.0,1.0,5.0
