source,target
nucl-th/9809025,nucl-th/9811046
cond-mat/9801152,cond-mat/9808265
cond-mat/9806020,cond-mat/9808265
physics/9901008,physics/9901016
physics/9806020,physics/9910016
physics/9810006,physics/9910016
physics/9904037,physics/9910016
physics/9808027,physics/9910016
nucl-th/9811046,physics/9910016
physics/9612012,physics/9910016
physics/9806020,physics/9808027
cond-mat/9806020,cond-mat/9801152
cond-mat/9801152,cond-mat/9806020
cond-mat/9808265,cond-mat/9903305
cond-mat/0001066,cond-mat/0011018
nucl-th/9811028,nucl-th/9902011
physics/9807002,cond-mat/9807011
physics/9903049,physics/0110057
physics/9904017,physics/0110057
physics/9808027,physics/9810006
physics/9612012,physics/9810006
physics/9806020,physics/9810006
cond-mat/9707100,cond-mat/0210448
physics/9808027,physics/9810005
physics/9612012,physics/9810005
physics/9806020,physics/0408019
physics/9808027,physics/0408019
physics/9910016,physics/0408019
physics/9612012,physics/0408019
cond-mat/0010043,cond-mat/0012349
hep-th/0011014,hep-th/0505005
physics/9808027,physics/0511238
physics/9810005,physics/0511238
cond-mat/0604255,cond-mat/0612123
cond-mat/0505307,cond-mat/0505363
cond-mat/0505307,cond-mat/0505364
cond-mat/0305600,cond-mat/0306387
cond-mat/0212160,cond-mat/0306387
cond-mat/0205374,cond-mat/0301374
cond-mat/0205374,cond-mat/0207432
cond-mat/0012349,cond-mat/0108375
cond-mat/0010043,cond-mat/0108375
cond-mat/0011018,cond-mat/0012333
cond-mat/0001066,cond-mat/0007338
cond-mat/0011018,cond-mat/0007338
nucl-th/0502039,nucl-th/0511039
cond-mat/9903305,cond-mat/9905407
physics/9911042,physics/0005045
physics/9911042,physics/0005053
physics/9910016,physics/0009035
physics/0101069,physics/0103003
physics/0110057,physics/0203019
physics/0204025,physics/0206058
physics/0207085,physics/0211027
cond-mat/9807011,physics/0301036
cond-mat/0212426,physics/0301039
physics/0207068,physics/0302078
physics/9806020,physics/0304048
physics/0303029,physics/0304048
physics/9910016,physics/0304048
physics/9612012,physics/0304048
physics/0212084,physics/0308004
physics/9910016,physics/0308090
physics/9806020,physics/0308090
physics/9612012,physics/0308090
physics/0307058,physics/0310166
physics/0310123,physics/0310166
physics/0310123,physics/0403016
physics/0311116,physics/0403060
physics/0404028,physics/0407112
physics/0204025,physics/0410025
physics/0307058,physics/0506215
physics/0310073,physics/0506215
physics/0204025,physics/0507031
physics/0508115,physics/0508157
physics/0408019,physics/0512035
physics/9910016,physics/0512035
physics/0512061,physics/0606102
