id,title,pagerank,betweenness,in_degree,out_degree
hep-ph/0611013,Ionic Binding in a Susy Background,1.491456713626023e-05,0.0,6.0,0.0
nucl-th/0502039,Naive Dimensional Analysis for Three-Body Forces Without Pions,1.4630625923931e-05,5.029806370512393e-05,5.0,8.0
quant-ph/0209119,A Renormalisation Approach to Effective Interactions in Hilbert Space,1.0349110012197376e-05,1.3251297716090763e-06,4.0,3.0
hep-th/0505005,"New Directions in Non-Relativistic and Relativistic Rotational and
  Multipole Kinematics for N-Body and Continuous Systems",9.66362106309618e-06,4.2547158944789535e-09,13.0,4.0
physics/0512085,Large-N droplets in two dimensions,8.64232686948462e-06,9.890762611574046e-09,10.0,2.0
nucl-th/0511039,How To Classify 3-Body Forces -- And Why,7.998803084004859e-06,0.0,5.0,0.0
cond-mat/9905407,The Dynamics of Structural Transitions in Sodium Chloride Clusters,7.792391649233983e-06,0.0,5.0,0.0
physics/9910016,Binding Energies and Scattering Observables in the 4^He_3 Atomic System,7.20062767979354e-06,1.1941096530960432e-05,9.0,7.0
cond-mat/9808265,The double-funnel energy landscape of the 38-atom Lennard-Jones cluster,6.974654439285102e-06,0.0,7.0,2.0
physics/0512035,Scattering length for helium atom-diatom collision,6.808404884296969e-06,0.0,2.0,0.0
quant-ph/0503046,"Effect of phase relaxation on quantum superpositions in complex
  collisions",6.345725781886271e-06,2.985274132740108e-06,2.0,3.0
physics/0610214,"Ultracold atom-molecule collisions and bound states in magnetic fields:
  tuning zero-energy Feshbach resonances in He-NH (3Sigma-)",5.729162451675133e-06,0.0,3.0,0.0
cond-mat/0411144,"Characterizing the network topology of the energy landscapes of atomic
  clusters",5.536177120501641e-06,6.028505387227953e-07,8.0,1.0
physics/9901016,How harmonic is dipole resonance of metal clusters?,5.209308199805078e-06,0.0,2.0,1.0
physics/0511238,"Explicit Representations for the T-Matrix on Unphysical Energy Sheets
  and Resonances in Two- and Three-Body Systems",4.785928664261176e-06,0.0,4.0,1.0
hep-th/0011014,"Dynamical Body Frames, Orientation-Shape Variables and Canonical Spin
  Bases for the Non-Relativistic N-Body Problem",4.768204611872719e-06,0.0,5.0,11.0
cond-mat/9903305,"Evolution of the Potential Energy Surface with Size for Lennard-Jones
  Clusters",4.708638468522879e-06,0.0,1.0,3.0
physics/0304048,The ^3He^4He_2$ trimer within the hard-core Faddeev approach,4.539766417224396e-06,0.0,5.0,0.0
physics/0505131,"Long range intermolecular forces in triatomic systems: connecting the
  atom-diatom and atom-atom-atom representations",4.4362403791882124e-06,0.0,1.0,1.0
physics/0408019,Scattering length of the helium atom - helium dimer collision,4.425140402869522e-06,0.0,6.0,1.0
physics/9810005,Scattering and resonances in the ^4He three-atomic system,4.409413469492901e-06,0.0,6.0,2.0
cond-mat/0312202,Correlations in noisy Landau-Zener transitions,4.283288964980243e-06,0.0,1.0,1.0
physics/0203019,Scissors modes in triaxial metal clusters,4.278670187138834e-06,0.0,1.0,0.0
physics/0208080,Linking Ultracold Polar Molecules,4.18009309532364e-06,0.0,2.0,1.0
cond-mat/0210095,Two-body correlations in N-body boson systems,4.076591341755463e-06,0.0,1.0,0.0
nucl-th/9811046,The Three-Boson System with Short-Range Interactions,4.021959119276198e-06,1.5787161563096706e-05,22.0,39.0
cond-mat/0501510,"Factorization in Break-up and Recombination Processes for Atoms with a
  Large Scattering Length",3.813329961767304e-06,0.0,2.0,0.0
cond-mat/0210448,"Comment on: ``Nonextensivity: from low-dimensional maps to Hamiltonian
  systems'' by Tsallis et al",3.805822199063416e-06,0.0,5.0,2.0
cond-mat/0108310,"Saddle Points and Dynamics of Lennard-Jones Clusters, Solids and
  Supercooled Liquids",3.8019590689851e-06,6.809453792245518e-05,4.0,3.0
physics/9612012,Three-Body Configuration Space Calculations with Hard Core Potentials,3.791047263525046e-06,0.0,4.0,6.0
cond-mat/0612123,Efimov Physics in Cold Atoms,3.70729045688924e-06,3.219956634914e-07,5.0,2.0
cond-mat/0306387,"Fragmentation of multiply charged simple metal clusters in liquid-drop
  stabilized jellium model",3.62335329328243e-06,0.0,2.0,0.0
physics/0110057,Electric multipole plasmons in deformed sodium clusters,3.62335329328243e-06,0.0,2.0,1.0
cond-mat/0108375,Mechanism of Magnetism in Stacked Nanographite,3.49912997646896e-06,0.0,2.0,0.0
physics/0703177,"On the occurrence of Balmer spectra in expanding microplasmas from laser
  irradiated liquid hydrogen",3.49912997646896e-06,0.0,2.0,0.0
physics/0308090,"Binding Energies and Scattering Observables in the ^3He^4He_2 Atomic
  System",3.387556256114109e-06,0.0,4.0,0.0
cond-mat/9802034,Classical Many-particle Clusters in Two Dimensions,3.307094949617245e-06,0.0,2.0,4.0
cond-mat/9806020,Thermodynamics and the Global Optimization of Lennard-Jones clusters,3.1307257482540787e-06,0.0,2.0,2.0
cond-mat/9801152,Structural Transitions and Global Minima of Sodium Chloride Clusters,3.1307257482540787e-06,0.0,2.0,2.0
cond-mat/9711213,"Interaction-Driven Equilibrium and Statistical Laws in Small Systems.
  The Cerium Atom",3.095079115793552e-06,0.0,1.0,2.0
physics/0506215,Laser-cluster interaction: x-ray production by short laser pulses,3.0472482127272877e-06,0.0,2.0,0.0
cond-mat/0108179,Effective action and density functional theory,2.9375139116691645e-06,0.0,3.0,5.0
physics/0202049,"Toroidal configuration of the orbit of the electron of the hydrogen atom
  under strong external magnetic fields",2.923429915274331e-06,0.0,2.0,0.0
cond-mat/0112018,Entropic effects on the structure of Lennard-Jones clusters,2.759195672449716e-06,0.0,2.0,0.0
physics/0109068,"The $^4$He tetramer ground state in the Faddeev-Yakubovsky differential
  equations formalism",2.7274069794651544e-06,0.0,2.0,0.0
cond-mat/0007338,Physical perspectives on the global optimization of atomic clusters,2.697084014042981e-06,0.0,2.0,0.0
physics/0308004,Low-energy quadrupole modes in deformed clusters,2.689899798187394e-06,0.0,1.0,0.0
physics/0606102,"Exploration of electronic quadrupole states in atomic clusters by
  two-photon processes",2.689899798187394e-06,0.0,1.0,0.0
physics/0009035,"Binding Energies and Scattering Observables in the 4Helium3 Atomic
  System",2.531587501299412e-06,0.0,2.0,0.0
physics/0301036,Temperature-induced pair correlations in clusters and nuclei,2.49094608549746e-06,0.0,2.0,0.0
physics/9810006,"Structure of T- and S-matrices in unphysical sheets and resonances in
  three-body systems",2.485970682320325e-06,0.0,4.0,1.0
physics/0310166,Small rare gas clusters in XUV laser pulses,2.4711431321721443e-06,0.0,2.0,0.0
cond-mat/0212281,Making sense of nanocrystal lattice fringes,2.4711431321721443e-06,0.0,1.0,0.0
physics/0103003,Quantum fluid-dynamics from density functional theory,2.4711431321721443e-06,0.0,1.0,0.0
physics/0403060,"Silicon clusters produced by femtosecond laser ablation: Non-thermal
  emission and gas-phase condensation",2.4711431321721443e-06,0.0,1.0,0.0
physics/0301064,Localized helium excitations in 4He_N-benzene clusters,2.4711431321721443e-06,0.0,1.0,0.0
physics/0301039,"Two Avenues to Self-Interaction Correction within Kohn-Sham Theory:
  Unitary Invariance is the Shortcut",2.4711431321721443e-06,0.0,1.0,0.0
physics/0211027,"Evolution of electronic and ionic structure of Mg-clusters with the
  growth cluster size",2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/0107191,Crystallographic Method for Exact Describing Quasicrystal Structures,2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/9807011,Pair-correlations and magnetic susceptibility of small Al-grains,2.4711431321721443e-06,0.0,1.0,2.0
physics/0511034,"Finite size effects in the dynamics and thermodynamics of 2D Coulomb
  clusters",2.4711431321721443e-06,0.0,1.0,0.0
