source,target
astro-ph/0012419,astro-ph/0012539
physics/0008230,physics/0103068
physics/0007062,physics/0103068
physics/0007063,physics/0103068
nucl-th/9704043,hep-ph/0002158
hep-ph/0004018,hep-ph/0002158
nucl-th/9903077,hep-ph/0002158
physics/9809020,hep-ph/0002158
physics/0210131,cond-mat/0601420
cond-mat/0502210,cond-mat/0601420
hep-ph/0109239,hep-ph/0109257
physics/0306180,physics/0311080
quant-ph/9911061,quant-ph/0108109
physics/0311080,physics/0402132
physics/0108033,hep-ph/0109239
hep-ph/0109257,hep-ph/0109239
cond-mat/0112325,cond-mat/0308182
cond-mat/0205412,cond-mat/0209066
physics/0108033,hep-ph/0111019
hep-ph/0109257,hep-ph/0111019
physics/0112071,hep-ph/0204134
hep-ph/0109257,hep-ph/0204134
cond-mat/0105147,cond-mat/0103228
nucl-th/9702019,nucl-th/9704043
nucl-th/9704032,nucl-th/9704043
physics/0212112,physics/0306180
cond-mat/0308182,cond-mat/0112325
physics/0007049,physics/0008230
physics/0402132,physics/0411094
physics/0205018,cond-mat/0205535
physics/0202041,cond-mat/0205535
hep-ph/0204213,hep-ph/0110216
hep-ph/0109257,hep-ph/0206124
hep-ph/0205012,hep-ph/0206124
hep-ph/0204134,hep-ph/0206124
hep-ph/0111019,hep-ph/0206124
hep-ph/9902276,hep-ph/9901394
cond-mat/0202290,cond-mat/0203192
cond-mat/0103228,cond-mat/0105147
cond-mat/0107124,cond-mat/0105147
physics/0404008,astro-ph/0407579
physics/0112093,astro-ph/0407579
physics/0404042,astro-ph/0407579
physics/0307026,astro-ph/0407579
physics/0004076,physics/0108033
cond-mat/0601420,physics/0609013
physics/0607140,physics/0609013
physics/0508041,physics/0510048
physics/0504216,physics/0510048
cond-mat/0205412,cond-mat/0304063
hep-ph/0206124,hep-ph/0208227
quant-ph/0507093,hep-th/0408017
hep-ph/0110216,hep-ph/0204213
hep-th/0408017,quant-ph/0507093
hep-ph/0206124,hep-ph/0212072
physics/0212018,hep-ph/0212072
hep-ph/0208227,hep-ph/0212072
physics/0407125,physics/0403097
physics/0110053,physics/0201067
physics/0201067,physics/0110053
physics/0308104,physics/0407141
hep-ph/0206124,hep-ph/0305053
hep-ph/0212072,hep-ph/0305053
hep-ph/0205012,hep-ph/0305053
hep-ph/0204134,hep-ph/0305053
hep-ph/0209052,hep-ph/0305053
physics/0210069,hep-ph/0305053
hep-ph/0208196,hep-ph/0305053
hep-ph/0109257,hep-ph/0305053
hep-ph/0208227,hep-ph/0305053
hep-ph/0111019,hep-ph/0305053
hep-ph/0008227,physics/0106002
physics/0009018,physics/0106002
physics/0512017,physics/0512015
physics/0403097,physics/0407125
physics/0504216,physics/0508041
physics/0309107,physics/0410074
physics/0306180,physics/0410074
physics/0311080,physics/0410074
physics/0101098,nucl-th/0104026
physics/0410108,physics/0411197
physics/0410110,physics/0411197
hep-ph/0212072,physics/0309054
hep-ph/0209052,physics/0309054
nucl-th/0208073,physics/0309054
physics/0306071,physics/0309054
hep-ph/0111019,physics/0309054
nucl-th/0201041,physics/0309054
physics/0108033,physics/0112035
hep-ph/0109257,physics/0112035
hep-ph/0111019,physics/0112035
physics/0203089,physics/0208080
physics/0512145,physics/0512150
physics/0512150,physics/0512145
physics/0309094,physics/0311103
physics/0311103,physics/0309094
physics/0411197,physics/0410110
physics/0411094,physics/0410110
physics/0009090,physics/0011008
hep-ph/9901394,hep-ph/9902276
astro-ph/0012419,hep-ph/0201303
hep-ph/0008227,physics/0009018
quant-ph/0702125,quant-ph/0610073
quant-ph/0702193,quant-ph/0610073
quant-ph/0610029,quant-ph/0610073
physics/0008160,physics/0306071
quant-ph/0611195,quant-ph/0611217
physics/0008051,physics/0302015
physics/0212112,physics/0302015
physics/0201050,physics/0302015
astro-ph/0012419,physics/0302015
physics/0207075,quant-ph/0208052
physics/0510161,physics/0504074
astro-ph/0301566,astro-ph/0310764
physics/0504074,physics/0510161
gr-qc/0312096,gr-qc/0312100
physics/0501109,physics/0502073
physics/0502073,physics/0501109
cond-mat/0105147,cond-mat/0107124
cond-mat/0103228,cond-mat/0107124
quant-ph/0610073,quant-ph/0702125
quant-ph/0702193,quant-ph/0702125
quant-ph/0610029,quant-ph/0702125
physics/0407100,physics/0504096
hep-ph/0208227,physics/0212018
nucl-th/9704043,nucl-th/9707016
nucl-th/9705036,nucl-th/9707016
nucl-th/9704032,nucl-th/9707016
hep-ph/0002158,physics/0010038
physics/0107075,physics/0111213
physics/0402132,physics/0312086
physics/0302015,physics/0312086
physics/0306180,physics/0312086
hep-ph/0703019,hep-ph/0611362
hep-ph/0002158,physics/0009090
hep-ph/0004018,physics/0009090
physics/0208080,physics/0210076
physics/0604088,physics/0604220
cond-mat/0205535,physics/0202041
hep-ph/0109257,physics/0210069
hep-ph/0204134,physics/0210069
cond-mat/0102416,cond-mat/0108255
physics/0402132,physics/0410108
quant-ph/0010073,hep-lat/0308016
physics/0512015,physics/0510076
physics/0512017,physics/0510076
quant-ph/0610073,quant-ph/0610029
quant-ph/0610073,quant-ph/0702193
quant-ph/0702125,quant-ph/0702193
nucl-th/9704043,nucl-th/9705036
physics/0306180,physics/0504101
physics/0311080,physics/0504101
physics/0004076,physics/0008239
physics/0008160,physics/0008239
hep-ph/0109257,hep-ph/0205012
hep-ph/0111019,hep-ph/0205012
cond-mat/0205535,physics/0205018
physics/0008160,physics/0409045
cond-mat/0212597,quant-ph/0304001
physics/0105035,quant-ph/0307137
nucl-th/9704043,nucl-th/9903077
physics/9809022,nucl-th/9903077
hep-ph/0004018,hep-ph/0006096
hep-ph/0611362,hep-ph/0703019
physics/0604220,physics/0604088
hep-th/0112011,quant-ph/0205011
cond-mat/0209274,cond-mat/0210217
quant-ph/9911062,quant-ph/9912100
physics/0302015,physics/0311128
physics/0306180,physics/0311128
cond-mat/0311480,cond-mat/0401610
cond-mat/0212492,cond-mat/0210258
hep-th/0112011,hep-th/0201090
physics/0510048,physics/0602082
physics/0306071,hep-ex/0309079
physics/0407141,physics/0501032
physics/0609013,physics/0610210
physics/0410063,physics/0410238
physics/0605163,physics/0606048
physics/0602082,physics/0606048
cond-mat/0210258,cond-mat/0212492
nucl-th/0306086,nucl-th/0509076
cond-mat/0601147,cond-mat/0604137
cond-mat/0603683,cond-mat/0604137
physics/0210076,cond-mat/0212597
physics/0008239,physics/0406143
physics/0008160,physics/0406143
physics/0409045,physics/0406143
hep-ph/0111019,physics/0507067
cond-mat/0409192,physics/0412048
physics/0112035,physics/0212008
physics/0207075,physics/0212015
cond-mat/0202062,cond-mat/0204530
physics/0403097,physics/0405049
physics/0509169,physics/0602111
physics/0409066,physics/0410250
physics/0401081,physics/0611122
physics/0411094,physics/0611125
physics/0211038,cond-mat/0307771
cond-mat/0103437,cond-mat/0108349
hep-ex/0012001,physics/0101098
quant-ph/0507093,quant-ph/0509117
hep-th/0408017,quant-ph/0509117
cond-mat/0107124,cond-mat/0304355
cond-mat/0105147,cond-mat/0304355
physics/9808018,cond-mat/0304355
physics/0410074,physics/0605163
physics/0606249,physics/0605163
physics/0606048,physics/0605163
physics/0008051,physics/0008215
nucl-th/0005011,nucl-th/0009071
nucl-th/0509076,cond-mat/0602525
nucl-th/9702019,physics/9809022
nucl-th/9704032,physics/9809022
physics/0407064,physics/0502117
physics/0402132,physics/0502117
physics/0302015,physics/0502117
cond-mat/0402278,physics/0407064
physics/0410238,physics/0410063
quant-ph/0010073,nucl-th/0409023
physics/0304005,physics/0305057
physics/0210069,physics/0311101
hep-ph/0109257,physics/0311101
physics/0404075,quant-ph/0402006
hep-ph/0206124,hep-ph/0208196
hep-ph/0205012,hep-ph/0208196
hep-ph/0204134,hep-ph/0208196
hep-ph/0109257,hep-ph/0208196
hep-ph/0111019,hep-ph/0208196
physics/0703275,physics/0703276
physics/0412177,physics/0506038
physics/0406143,physics/0506038
physics/0008160,physics/0506038
physics/0409045,physics/0506038
physics/0008239,physics/0506038
physics/0403141,physics/0412017
hep-ph/0002158,hep-ph/0012372
physics/0402041,quant-ph/0401045
hep-ph/0208196,hep-ph/0209052
hep-ph/0206124,hep-ph/0209052
hep-ph/0109257,hep-ph/0209052
hep-ph/0208227,hep-ph/0209052
nlin/0401023,nlin/0403043
cond-mat/0312053,cond-mat/0508215
quant-ph/0506041,quant-ph/0507039
cond-mat/0301169,physics/0310074
physics/0009018,physics/0011037
physics/0411197,physics/0507112
physics/0510207,physics/0511003
quant-ph/0305137,quant-ph/0306191
physics/0510048,physics/0512084
physics/0411094,physics/0512096
physics/9805013,hep-ph/9909452
cond-mat/0601420,cond-mat/0607667
physics/0410074,nucl-th/0601050
physics/0302015,nucl-th/0601050
physics/0311128,nucl-th/0601050
physics/0502117,nucl-th/0601050
physics/0504101,nucl-th/0601050
physics/0601034,nucl-th/0601050
physics/0606048,physics/0606249
hep-ph/0008227,physics/0110056
hep-ph/0310108,hep-ex/0402028
nucl-ex/0404012,hep-ex/0402028
physics/0311101,physics/0403141
hep-ph/0109257,physics/0403141
physics/0309044,physics/0404042
physics/0703276,physics/0703275
physics/0309107,physics/0511180
physics/0410074,physics/0511180
physics/0111191,cond-mat/0204182
cond-mat/0601147,cond-mat/0603683
quant-ph/0002003,quant-ph/0003091
quant-ph/0402006,physics/0407048
physics/0512015,physics/0606165
physics/0512017,physics/0606165
physics/9705039,physics/9706014
physics/0205077,nucl-th/0411026
hep-ph/0310108,nucl-ex/0404012
nucl-ex/0403002,nucl-ex/0404012
math-ph/0610022,math-ph/0610024
physics/0004076,physics/0503143
physics/0412017,physics/0503143
cond-mat/0312178,cond-mat/0311659
cond-mat/9612174,cond-mat/9708089
physics/0308020,physics/0309004
nucl-th/0201041,nucl-th/0309083
astro-ph/9809298,astro-ph/0406473
hep-ph/0308193,hep-ph/0412142
nucl-th/9704032,hep-ph/0412142
physics/0507067,physics/0510084
physics/0204076,cond-mat/0205113
physics/0004076,physics/0311026
physics/0008160,physics/0311026
physics/9703011,physics/9709010
physics/0410074,physics/0601034
nucl-th/0601050,physics/0601034
physics/0402132,physics/0601034
physics/0311128,physics/0601034
physics/0502117,physics/0601034
physics/0309107,physics/0601034
physics/0504101,physics/0601034
physics/9805013,nucl-th/9808035
physics/0407141,physics/0701220
physics/0511180,physics/0701220
physics/0506038,physics/0412177
physics/0409045,physics/0412177
physics/0404115,nucl-th/0602050
cond-mat/0108255,cond-mat/0108524
cond-mat/0102416,cond-mat/0108524
math-ph/0610024,math-ph/0610022
physics/0210069,physics/0303007
physics/0501154,hep-ex/0504017
astro-ph/0012419,astro-ph/0012422
cond-mat/0002365,cond-mat/0206527
atom-ph/9511001,math-ph/0003018
physics/0410074,physics/0611088
physics/0311080,physics/0611088
physics/0402041,physics/0402010
quant-ph/0401045,physics/0402010
physics/0407141,physics/0608261
physics/0410074,physics/0608261
physics/0511180,physics/0608261
physics/0502117,physics/0608261
physics/0504101,physics/0608261
physics/0406140,physics/0411204
physics/0103068,hep-ph/0601024
physics/0510161,cond-mat/0511171
