id,title,pagerank,betweenness,in_degree,out_degree
math-ph/0610024,"Non-linear Supersymmetry for non-Hermitian, non-diagonalizable
  Hamiltonians: I. General properties",5.861393341719914e-05,3.470755954416184e-07,9.0,1.0
math-ph/0610022,"Non-linear Supersymmetry for non-Hermitian, non-diagonalizable
  Hamiltonians: II. Rigorous results",5.369724942158053e-05,0.0,4.0,1.0
hep-th/0703052,Dual oscillators and Quantum Pendulums: spectrum and correlators,3.175464885779325e-05,0.0,2.0,0.0
cond-mat/0509161,"Extended Bose Hubbard model of interacting bosonic atoms in optical
  lattices: from superfluidity to density waves",2.2876563503584783e-05,1.883739282218597e-06,7.0,1.0
physics/0506038,"Study of P,T-Parity Violation Effects in Polar Heavy-Atom Molecules",2.258901244556626e-05,1.990182755160072e-06,11.0,1.0
physics/0308104,"Towards a sensitive search for variation of the fine structure constant
  using radio-frequency E1 transitions in atomic dysprosium",2.074001477970013e-05,7.960731020640288e-06,1.0,1.0
quant-ph/0612032,A New Look at the Quantum Mechanics of the Harmonic Oscillator,2.019527788076137e-05,5.543834974602737e-07,11.0,1.0
cond-mat/0703311,"Coherence and Entanglement in Two-Qubit Dynamics: Interplay of the
  Induced Exchange Interaction and Quantum Noise due to Thermal Bosonic
  Environment",1.9735105628616856e-05,0.0,2.0,0.0
cond-mat/0311056,Universality of Entropy Scaling in 1D Gap-less Models,1.7640984169884596e-05,0.0007499957845154,20.0,12.0
cond-mat/0304355,Q-ball dynamics from atomic Bose-Einstein condensates,1.7487791395474778e-05,1.4046191491553456e-05,46.0,2.0
cond-mat/0108474,"Universal solutions for interacting bosons in one-dimensional harmonic
  traps",1.598733772974475e-05,0.0,4.0,0.0
physics/0412177,"In search of the electron electric dipole moment: relativistic
  correlation calculations of the P,T-violation effect in the ground state of
  HI$^+$",1.567671818173576e-05,0.0,2.0,1.0
hep-ph/0002158,Theory of Light Hydrogenlike Atoms,1.4265778719037124e-05,3.9132197915916536e-05,12.0,13.0
hep-ph/0612234,Casimir forces and non-Newtonian gravitation,1.2783068476847124e-05,0.0,3.0,0.0
cond-mat/0702290,"New Calculations of Recombination Rates for Cold $^4$He Atoms and
  Determination of Universal Scaling Functions",1.2681809891001456e-05,0.0,14.0,0.0
physics/0610289,"New Evaluation of Proton Structure Corrections to Hydrogen Hyperfine
  Splitting",1.2230165406139369e-05,0.0,17.0,0.0
nucl-th/0602050,Density functional theory for fermions close to the unitary regime,1.2186074880122886e-05,1.5268628942421883e-06,25.0,3.0
physics/0703276,"Metastable states, the adiabatic theorem and parity violating geometric
  phases II",1.2154947715592924e-05,1.990182755160072e-06,6.0,1.0
astro-ph/0702667,Relativistic corrections to isotope shift in light ions,1.1945772487541177e-05,0.0,8.0,0.0
nucl-th/0201050,Baryon Wave Functions in Covariant Relativistic Quark Models,1.1501909864090577e-05,0.0,15.0,0.0
cond-mat/0601034,"From a few to many electrons in quantum dots under strong magnetic
  fields: Properties of rotating electron molecules with multiple rings",1.1375828476453756e-05,0.0,4.0,0.0
nucl-th/0601050,"Dependence of nuclear magnetic moments on quark masses and limits on
  temporal variation of fundamental constants from atomic clock experiments",1.1330655673111894e-05,9.867256317641954e-06,8.0,4.0
physics/0309054,"Violations of fundamental symmetries in atoms and tests of unification
  theories of elementary particles",1.1236443120420176e-05,2.2789160095594376e-05,14.0,17.0
