source,target
cond-mat/9712081,physics/9802023
physics/9802023,cond-mat/9712081
physics/9801027,physics/0003037
physics/9812041,physics/0003037
physics/0001066,physics/0003037
physics/9808011,physics/9907028
physics/0505179,q-bio/0601048
physics/0004039,physics/9912012
physics/0004042,physics/9912012
physics/0305054,physics/0211057
physics/0307017,physics/0211057
physics/0305113,physics/0211057
physics/0303062,physics/0211057
physics/0207104,physics/0207005
physics/0207005,physics/0207104
quant-ph/0002037,quant-ph/0103017
physics/0602173,physics/0604083
physics/0003037,q-bio/0607018
physics/9801027,q-bio/0607018
nlin/0303010,nlin/0306023
physics/9902067,physics/0205030
physics/0005043,physics/0205030
physics/0004060,physics/0205030
physics/0004044,cond-mat/0207212
physics/0402091,q-bio/0401036
physics/0211057,physics/0307017
quant-ph/0002014,quant-ph/0006066
physics/0211057,physics/0305113
physics/0303062,physics/0305113
physics/0305054,physics/0305113
physics/0004060,physics/0212110
physics/9902067,physics/0212110
physics/0205030,physics/0212110
physics/9801026,physics/0212113
physics/9902067,physics/0212113
physics/9902061,physics/0212113
physics/9904028,physics/0004039
physics/9912012,physics/0004039
physics/9904023,physics/9904028
physics/9907028,physics/0002010
quant-ph/0102034,quant-ph/0105001
quant-ph/0103017,quant-ph/0105001
quant-ph/0002037,quant-ph/0105001
physics/9801027,physics/9812041
physics/0003037,physics/0001066
quant-ph/0002037,quant-ph/0102034
physics/9909029,physics/0008016
physics/9802023,cond-mat/9911386
astro-ph/9612214,astro-ph/9805142
cond-mat/0511128,physics/0512077
cond-mat/0204117,cond-mat/0301372
cond-mat/0211532,cond-mat/0212518
physics/0211055,cond-mat/0212518
physics/0004044,physics/0406058
physics/9911038,physics/0004009
physics/0003037,math-ph/0102022
physics/9801027,math-ph/0102022
physics/0007034,math-ph/0102022
physics/0510106,physics/0610117
cond-mat/0205254,physics/0212045
physics/0601104,physics/0601093
physics/0602001,physics/0611251
cond-mat/9702134,cond-mat/9708101
physics/9907028,physics/0004040
physics/0002010,physics/0004040
physics/0206056,physics/0603035
quant-ph/0002037,quant-ph/0002076
quant-ph/9907009,quant-ph/0101019
math-ph/0102022,math-ph/0111006
cond-mat/0309674,cond-mat/0406303
cond-mat/0211532,cond-mat/0405502
cond-mat/0305351,cond-mat/0308163
physics/0212045,cond-mat/0307380
cond-mat/0211532,cond-mat/0306271
cond-mat/0209620,cond-mat/0303600
cond-mat/0108285,cond-mat/0109381
physics/0004044,cond-mat/0007409
cond-mat/9908129,cond-mat/0003511
astro-ph/9805142,astro-ph/9805317
astro-ph/9612214,astro-ph/9805317
astro-ph/9612214,astro-ph/9702026
astro-ph/9612003,astro-ph/9702026
physics/9907028,physics/0004049
physics/0002010,physics/0004049
physics/0004040,physics/0004049
physics/0004042,physics/0005018
physics/9901053,physics/0007050
physics/9901052,physics/0007050
physics/0003037,physics/0009063
physics/9801027,physics/0009063
physics/0004039,physics/0010045
physics/0004042,physics/0010045
physics/9912012,physics/0010045
physics/0007055,physics/0101021
physics/0102021,physics/0102043
physics/0006055,physics/0102043
cond-mat/0005235,physics/0103034
physics/0004044,physics/0106071
physics/0104029,physics/0108011
cond-mat/0005235,physics/0109064
physics/0102010,physics/0111199
physics/9902067,physics/0201027
physics/0009002,physics/0201033
physics/0302018,physics/0203045
physics/0202035,physics/0203088
physics/0111187,physics/0203091
physics/0102010,physics/0205031
physics/0102010,physics/0206031
physics/0004060,physics/0208057
physics/9902067,physics/0208057
physics/0205030,physics/0208057
physics/0207079,physics/0208100
physics/0106074,physics/0211031
physics/0005043,physics/0212114
physics/0212113,physics/0301014
physics/9902067,physics/0301014
physics/0302041,physics/0302043
physics/0209098,physics/0302103
physics/0301072,physics/0303121
physics/0110088,physics/0306177
physics/0110088,physics/0306178
quant-ph/0002037,physics/0308091
physics/0309063,physics/0309117
physics/0008016,physics/0310125
physics/0211057,physics/0310158
physics/0406045,physics/0406051
physics/0507056,physics/0510146
physics/9906007,physics/0512206
nlin/0304060,physics/0512206
physics/0601104,physics/0601145
physics/0601093,physics/0601145
physics/0603037,physics/0603142
physics/0601185,physics/0607267
physics/0608146,physics/0608226
physics/0607253,physics/0609109
physics/0607259,physics/0609109
physics/0602173,physics/0609150
physics/0604083,physics/0609150
physics/0510106,physics/0610147
physics/0610138,physics/0611095
physics/0609227,physics/0702094
physics/0510106,physics/0703022
physics/0610117,physics/0703022
cond-mat/9711055,cond-mat/9803164
physics/9807001,physics/9806036
physics/9806046,physics/9812016
cond-mat/9908428,physics/9912053
physics/0212095,q-bio/0404037
cond-mat/0401444,q-bio/0408018
cond-mat/0301372,q-bio/0408027
q-bio/0404018,q-bio/0410035
physics/0309026,q-bio/0411026
q-bio/0412042,q-bio/0506019
cond-mat/0503027,q-bio/0508010
q-bio/0605001,q-bio/0605040
q-bio/0605042,q-bio/0610014
q-bio/0703001,q-bio/0703032
quant-ph/0105001,quant-ph/0106123
quant-ph/0103017,quant-ph/0202022
quant-ph/0102034,quant-ph/0202022
quant-ph/0002037,quant-ph/0202022
quant-ph/0103017,quant-ph/0306158
cond-mat/0601165,cond-mat/0602232
