id,title,pagerank,betweenness,in_degree,out_degree
q-bio/0702029,"Graph animals, subgraph sampling and motif search in large networks",2.489817500909067e-05,6.167478536544831e-07,6.0,1.0
q-bio/0607009,Probability distribution of bubble lengths in DNA,2.0919753463784173e-05,0.0,2.0,0.0
physics/0611251,"Realistic boundary conditions for stochastic simulations of
  reaction-diffusion processes",1.6430265910378095e-05,0.0,5.0,1.0
quant-ph/9907009,The importance of quantum decoherence in brain processes,1.438953358328472e-05,9.920160359714877e-06,16.0,9.0
cond-mat/0602232,Low frequency limit for thermally activated escape with periodic driving,1.3598057420063996e-05,0.0,3.0,0.0
physics/0205030,Thinking about the brain,1.34689317241518e-05,0.0,16.0,5.0
physics/0603035,Simulations in statistical physics and biology: some applications,1.154778784901404e-05,0.0,10.0,1.0
q-bio/0506019,"Hierarchy, Fractality, Small-World and Resilience of Haversian Bone
  Structure: A Complex Network Study",1.1170658396830089e-05,0.0,4.0,0.0
cond-mat/0701043,Random matrix analysis of complex networks,1.078339310859252e-05,0.0,2.0,1.0
physics/0111108,Distances in plane membranes,1.0564562812898814e-05,3.306936015771812e-06,17.0,2.0
physics/0509025,"Physics of Transport and Traffic Phenomena in Biology: from molecular
  motors and cells to organisms",1.0538693111680735e-05,1.5872156351965602e-07,3.0,1.0
physics/0609139,Single DNA conformations and biological function,9.700175958974429e-06,0.0,7.0,0.0
physics/0211057,Hydration and mobility of HO-(aq),8.40540070395612e-06,0.0,4.0,3.0
physics/0501118,"Natural entropy fluctuations discriminate similar looking electric
  signals emitted from systems of different dynamics",8.302447049782907e-06,0.0,3.0,0.0
physics/0003037,Crystalizing the genetic code,8.082271815887208e-06,0.0,6.0,5.0
physics/0512206,Large amplitude of the internal motion of DNA immersed in bio-fluid,8.02483129404579e-06,0.0,5.0,0.0
physics/9912012,Dynamic Fitness Landscapes in Molecular Evolution,7.821502457253823e-06,0.0,3.0,3.0
q-bio/0612025,Single neuron computation: from dynamical system to feature detector,7.033021752602266e-06,0.0,1.0,0.0
physics/0010045,Dynamic fitness landscapes: Expansions for small mutation rates,6.930536386555109e-06,0.0,3.0,0.0
quant-ph/0007088,Quantum Brain?,6.8036903982389775e-06,4.132151175863526e-06,5.0,7.0
q-bio/0604014,A composite model for DNA torsion dynamics,6.656727197300043e-06,0.0,2.0,2.0
cond-mat/0502113,"Rugged Metropolis Sampling with Simultaneous Updating of Two Dynamical
  Variables",6.609482223099967e-06,0.0,1.0,1.0
cond-mat/0207212,Self-organization and Mechanical Properties of Active Filament Bundles,6.513256238826592e-06,0.0,2.0,1.0
math-ph/0111006,"Wigner-Eckart Theorem in the crystal and the organisation of the genetic
  code",6.291809208526281e-06,0.0,2.0,0.0
physics/0004049,"Molecular Dynamics Studies of Sequence-directed Curvature in Bending
  Locus of Trypanosome Kinetoplast DNA",6.156494723818392e-06,0.0,3.0,0.0
cond-mat/0301619,Evolutionary Stability of Ecological Hierarchy,6.120590128688668e-06,0.0,1.0,0.0
physics/0004039,Quasispecies evolution on a fitness landscape with a fluctuating peak,5.791267799676029e-06,0.0,2.0,2.0
quant-ph/0110084,"From Davydov solitons to decoherence-free subspaces: self-consistent
  propagation of coherent-product states",5.7170404237507866e-06,7.4260550565674335e-09,8.0,1.0
physics/0207104,Representative Pathways of Excitation Migration in Photosystem I,5.655144290770314e-06,0.0,1.0,1.0
physics/0207005,Reaction Pathways Based on the Gradient of the Mean First-Passage Time,5.655144290770314e-06,0.0,1.0,1.0
cond-mat/0603697,Floppy modes and non-affine deformations in random fiber networks,5.655144290770314e-06,0.0,1.0,1.0
physics/9912053,Effective interaction between helical bio-molecules,5.411975690850669e-06,0.0,5.0,0.0
q-bio/0411009,"Growth-Driven Percolations: The Dynamics of Community Formation in
  Neuronal Systems",5.135019324994562e-06,3.929466436913029e-06,3.0,2.0
physics/0501099,"Euler buckling in red blood cells: An optically driven biological
  micromotor",5.014592991626998e-06,0.0,1.0,0.0
physics/0611095,Epidemic spreading and immunization with identical infectivity,4.8950650803987055e-06,0.0,1.0,0.0
physics/0601145,"A Second Look at Canonical Sampling of Biomolecules using Replica
  Exchange Simulation",4.863752581202303e-06,0.0,2.0,0.0
cond-mat/9904153,"Energy Transduction of Isothermal Ratchets: Generic Aspects and Specific
  Examples Close to and Far from Equilibrium",4.775563454392716e-06,0.0,3.0,1.0
physics/9812016,Lifetimes of agents under external stress,4.775563454392716e-06,0.0,3.0,0.0
cond-mat/0601165,Dynamical contribution into enzyme catalytic efficiency,4.761121651128886e-06,0.0,1.0,1.0
physics/0305113,The hydration state of HO$^-$(aq),4.748468274335773e-06,0.0,3.0,1.0
physics/9805029,Hierarchical noise in large systems of independent agents,4.717476312318796e-06,0.0,1.0,0.0
physics/0610138,Immunization of Susceptible-Infected Model on Scale-Free networks,4.70465545608345e-06,1.990182755160072e-06,2.0,1.0
cond-mat/0007409,Actively Contracting Bundles of Polar Filaments,4.667140897136778e-06,0.0,2.0,0.0
astro-ph/9702026,"Reply to astro-ph/9612003 (""Comments on 'Biological Effects of Stellar
  Collapse Neutrinos'"") and astro-ph/9612214 (""Volcanogenic Dark Matter and
  Mass Extinctions"")",4.596730396424545e-06,0.0,5.0,0.0
