source,target
physics/0008155,physics/0008160
physics/9804013,physics/0008160
physics/0306123,physics/0303100
physics/0303100,physics/0306123
physics/0205018,cond-mat/0205535
physics/0202041,cond-mat/0205535
physics/0008160,physics/0008155
physics/0008239,physics/0008155
physics/9804013,physics/0008155
physics/0008083,physics/0011012
physics/0012030,physics/0207006
cond-mat/0107014,cond-mat/0109167
cond-mat/0611652,cond-mat/0609672
physics/9808011,physics/9907028
physics/0303100,physics/0401081
physics/0306123,physics/0401081
cond-mat/0308114,cond-mat/0403694
physics/0305054,physics/0211057
physics/0307017,physics/0211057
physics/0305113,physics/0211057
physics/0303062,physics/0211057
cond-mat/0511221,cond-mat/0601343
cond-mat/0601343,cond-mat/0511221
chem-ph/9404003,quant-ph/0205020
physics/0008160,physics/0306071
cond-mat/9610209,physics/0105048
nlin/0402003,nlin/0402005
physics/9810006,physics/9910016
physics/9910030,physics/9910016
physics/9802016,physics/9910016
physics/9709037,physics/9910016
physics/9612012,physics/9910016
physics/0308056,physics/0308084
physics/9709037,physics/9612012
nlin/0402005,nlin/0402003
cond-mat/0205535,physics/0202041
physics/0702071,physics/0702146
physics/9804013,physics/0008239
physics/0008155,physics/0008239
physics/0008160,physics/0008239
cond-mat/0205535,physics/0205018
physics/0211057,physics/0307017
physics/0008160,physics/0409045
cond-mat/9706262,cond-mat/9707079
physics/0211057,physics/0305113
physics/0303062,physics/0305113
physics/0305054,physics/0305113
astro-ph/9707050,astro-ph/9911535
physics/0011012,physics/0011043
cond-mat/0312315,cond-mat/0403722
chem-ph/9512001,chem-ph/9608001
physics/0703136,physics/0610210
math/0212300,cond-mat/0302373
math-ph/0302031,cond-mat/0302373
cond-mat/0401348,physics/0506177
cond-mat/9804086,cond-mat/9906271
astro-ph/9707050,astro-ph/9809298
physics/0208077,physics/0208076
physics/0207086,physics/0208076
physics/0208076,physics/0208077
physics/0207086,physics/0208077
physics/0307156,physics/0412174
physics/0008239,physics/0406143
physics/0008160,physics/0406143
physics/0409045,physics/0406143
physics/0308084,physics/0506037
physics/0308056,physics/0506037
physics/0207006,physics/0510254
cond-mat/0607126,cond-mat/0609549
physics/9902006,physics/9904008
cond-mat/9906271,cond-mat/9910162
cond-mat/9804086,cond-mat/9910162
cond-mat/0511639,cond-mat/0504347
physics/0310128,physics/0501107
cond-mat/0103437,cond-mat/0108349
physics/0602001,physics/0609029
cond-mat/0609672,cond-mat/0611652
physics/9612012,physics/9810006
physics/0212111,physics/0305057
physics/0109009,physics/0109070
cond-mat/0005249,cond-mat/0007079
physics/0412177,physics/0506038
physics/0406143,physics/0506038
physics/0008160,physics/0506038
physics/0409045,physics/0506038
physics/0008239,physics/0506038
physics/0505207,physics/0506038
physics/9612012,physics/9810005
physics/9802016,physics/0408019
physics/9709037,physics/0408019
physics/9910016,physics/0408019
physics/9612012,physics/0408019
physics/0307156,physics/0412180
chem-ph/9606002,physics/9702004
physics/0611180,cond-mat/0702246
cond-mat/0611482,cond-mat/0702246
cond-mat/0010043,cond-mat/0012349
physics/0504128,physics/0507181
physics/0412174,physics/0602187
physics/0307156,physics/0602187
physics/0601104,physics/0601093
physics/0602001,physics/0611252
physics/0609029,physics/0611252
physics/0506177,physics/0508116
cond-mat/0401348,physics/0508116
cond-mat/0101098,cond-mat/0104584
physics/9907028,physics/0004040
physics/0011012,physics/0109063
physics/0011043,physics/0109063
physics/0506037,physics/0506109
physics/0308056,physics/0506109
physics/0008160,physics/0311026
physics/0204040,nlin/0209004
physics/0406143,physics/0505207
physics/0008160,physics/0505207
physics/0506038,physics/0412177
physics/0409045,physics/0412177
cond-mat/0403722,cond-mat/0412057
cond-mat/0207231,cond-mat/0307076
cond-mat/0305204,cond-mat/0305519
cond-mat/0101098,cond-mat/0207284
cond-mat/0104584,cond-mat/0207284
cond-mat/9702247,cond-mat/0207081
cond-mat/0112255,cond-mat/0201263
cond-mat/0104040,cond-mat/0112299
cond-mat/0012349,cond-mat/0108375
cond-mat/0010043,cond-mat/0108375
cond-mat/0107433,cond-mat/0107566
chem-ph/9505001,chem-ph/9508002
chem-ph/9505005,chem-ph/9508002
chem-ph/9605002,chem-ph/9512004
physics/0504012,nlin/0507052
nlin/0611042,nlin/0701056
nlin/0402005,nlin/0701056
nlin/0402003,nlin/0701056
