id,title,pagerank,betweenness,in_degree,out_degree
physics/0506038,"Study of P,T-Parity Violation Effects in Polar Heavy-Atom Molecules",2.258901244556626e-05,1.990182755160072e-06,11.0,1.0
nlin/0701063,Complex trajectories in chaotic dynamical tunneling,1.6665381345595856e-05,0.0,11.0,0.0
physics/0412177,"In search of the electron electric dipole moment: relativistic
  correlation calculations of the P,T-violation effect in the ground state of
  HI$^+$",1.567671818173576e-05,0.0,2.0,1.0
cond-mat/0602232,Low frequency limit for thermally activated escape with periodic driving,1.3598057420063996e-05,0.0,3.0,0.0
physics/0611252,What is the time scale of random sequential adsorption?,1.2945436959895385e-05,0.0,3.0,1.0
cond-mat/0609672,"Ageing, dynamical scaling and its extensions in many-particle systems
  without detailed balance",1.2263990142728171e-05,2.512973754647465e-06,8.0,5.0
cond-mat/0409430,Equation of state of non-additive $d$-dimensional hard-sphere mixtures,1.0803815979107977e-05,0.0,3.0,1.0
physics/0211057,Hydration and mobility of HO-(aq),8.40540070395612e-06,0.0,4.0,3.0
physics/0208077,"Multiple solutions of coupled-cluster equations for PPP model of
  [10]annulene",7.82324995062454e-06,0.0,2.0,1.0
physics/0208076,"Electronic correlation in cyclic polyenes. Behavior of approximate
  coupled-pair theories for large rings",7.82324995062454e-06,0.0,2.0,1.0
physics/9910016,Binding Energies and Scattering Observables in the 4^He_3 Atomic System,7.20062767979354e-06,1.1941096530960432e-05,9.0,7.0
physics/0406074,"New Directions in Degenerate Dipolar Molecules via Collective
  Association",6.77853192035336e-06,0.0,10.0,0.0
cond-mat/0012323,Extended Ensemble Monte Carlo,6.595994780816843e-06,2.786627159976929e-05,7.0,2.0
cond-mat/0302373,"Comment on: ""Theory of the evaporation/condensation transition of
  equilibrium droplets in finite volumes""",6.53048865622776e-06,0.0,3.0,1.0
physics/0512010,Three-atom scattering via the Faddeev scheme in configuration space,6.4152235011419225e-06,0.0,1.0,0.0
physics/0004049,"Molecular Dynamics Studies of Sequence-directed Curvature in Bending
  Locus of Trypanosome Kinetoplast DNA",6.156494723818392e-06,0.0,3.0,0.0
