source,target
cond-mat/0311536,nlin/0312044
physics/9902048,physics/0403094
physics/0007031,physics/0101091
physics/0012048,physics/0101091
physics/9902018,physics/9905050
physics/9901051,physics/9905050
physics/0409155,gr-qc/0508024
physics/0407022,gr-qc/0508024
physics/0504172,gr-qc/0508024
physics/0503232,gr-qc/0508024
gr-qc/0401016,gr-qc/0508024
physics/0401083,gr-qc/0508024
physics/0001039,physics/0101108
physics/9610012,physics/0101108
astro-ph/0002496,astro-ph/0003064
gr-qc/9912028,gr-qc/0102009
physics/9710013,physics/9704018
gr-qc/0206022,astro-ph/0311063
physics/0507150,physics/0501130
physics/0511014,physics/0501130
physics/0601084,physics/0501130
physics/9905050,physics/9911059
physics/9810041,gr-qc/0401016
physics/0005084,gr-qc/0401016
physics/9804001,physics/9811019
nlin/0312044,cond-mat/0506137
physics/9811019,physics/9901051
physics/0610163,physics/0611022
physics/0611022,physics/0610163
physics/9801017,physics/9804001
physics/9711024,physics/9804001
physics/0601084,physics/0507150
physics/0501130,physics/0507150
physics/0511047,physics/0512200
physics/0612090,physics/0405133
physics/0405133,physics/0612090
physics/0612232,physics/0612090
physics/9704018,physics/9710013
physics/9803020,physics/9808007
gr-qc/9902079,hep-th/0001046
physics/0507150,physics/0511014
physics/0409103,physics/0511014
physics/0501130,physics/0511014
astro-ph/0601073,astro-ph/0511131
physics/0101091,physics/0304085
physics/0504075,physics/0509139
physics/0403042,physics/0504172
physics/0409155,physics/0504172
physics/0411038,physics/0504172
astro-ph/0403045,astro-ph/0408152
astro-ph/0212245,astro-ph/0408168
physics/9901051,physics/9902018
physics/0001067,physics/0212100
physics/0010036,physics/0111017
physics/9711024,physics/9801017
nlin/0312044,physics/0511144
cond-mat/0506137,physics/0511144
physics/0101108,physics/0209101
physics/0409155,physics/0411038
gr-qc/0401016,physics/0411038
physics/0405133,physics/0612232
physics/0612090,physics/0612232
physics/0404101,physics/0407022
physics/0005084,physics/0407022
physics/0110060,physics/0407022
gr-qc/0401016,physics/0407022
physics/0112003,physics/0112004
physics/0401112,physics/0406021
hep-th/0001046,hep-th/0011014
nlin/0312044,nlin/0602029
physics/0110060,physics/0203075
physics/0311127,math-ph/0206027
math-ph/0206026,math-ph/0206027
math-ph/0206027,math-ph/0206026
physics/0311127,math-ph/0206026
physics/0408079,physics/0702016
physics/0612090,physics/0702016
physics/0511144,nlin/0512013
