id,title,pagerank,betweenness,in_degree,out_degree
math-ph/0703048,"Conservation Laws and Hamilton's Equations for Systems with Long-Range
  Interaction and Memory",3.228056074218865e-05,0.0,15.0,0.0
cond-mat/0609571,"Non-commutative mechanics, in mathematical & in condensed matter physics",2.2046140270756167e-05,8.298380418741869e-08,27.0,1.0
physics/0309048,Diagrammar For Random Flight Motion,2.1407309381396407e-05,9.95091377580036e-06,5.0,1.0
hep-th/0610200,"Hamiltonian Relativistic Two-Body Problem: Center of Mass and Orbit
  Reconstruction",2.0735969677691343e-05,2.906715057987892e-06,13.0,2.0
physics/0510164,Acoustic horizons for axially and spherically symmetric fluid flow,2.039389467641573e-05,0.0,19.0,0.0
physics/0703116,An assessment of Evans' unified field theory I,1.9760295122931858e-05,0.0,22.0,0.0
physics/0608114,Maxwell's demon through the looking glass,1.941259565031286e-05,0.0,4.0,1.0
physics/0610221,Recent developments in premetric classical electrodynamics,1.759754002828269e-05,0.0,26.0,0.0
nlin/0606070,Psi-Series Solution of Fractional Ginzburg-Landau Equation,1.691695658529465e-05,0.0,20.0,0.0
gr-qc/0610095,About Gravitomagnetism,1.4459024768225262e-05,0.0,17.0,0.0
physics/0008028,Spatial coherence of thermal near fields,1.4458194429798236e-05,0.0,2.0,0.0
gr-qc/0201041,Classical formulation of Cosmic Censorship Hypothesis,1.313574036787105e-05,1.3955413965054348e-05,8.0,4.0
hep-th/0305045,Lagrangian and Noncommutativity,1.2776340807850934e-05,4.989077316504148e-08,21.0,2.0
physics/0511054,Not so Classical Mechanics - Unexpected Symmetries of Classical Motion,1.2114378328528044e-05,0.0,11.0,0.0
physics/0506078,"Cherenkov Radiation from $e^+e^-$ Pairs and Its Effect on $\nu_e$
  Induced Showers",1.1399412096519224e-05,0.0,4.0,0.0
physics/9801024,Speculations on the Evans-Comay Discussion,1.1350101085544418e-05,1.990182755160072e-06,15.0,1.0
cond-mat/0602409,Stationary Solutions of Liouville Equations for Non-Hamiltonian Systems,9.89185226661958e-06,7.241818166830666e-07,11.0,3.0
gr-qc/0508024,"Spacetime metric from local and linear electrodynamics: a new axiomatic
  scheme",9.6914556587181e-06,2.502999728665088e-05,14.0,6.0
physics/0407022,Dimensions and Units in Electrodynamics,9.468480099146803e-06,8.551346949117671e-06,13.0,6.0
physics/0503042,Acoustic black holes,9.339143459956222e-06,4.193770672335011e-06,13.0,6.0
physics/0606251,Multipole Moments of Fractal Distribution of Charges,9.16038888556529e-06,0.0,11.0,0.0
cond-mat/0604058,Transport Equations from Liouville Equations for Fractional Systems,9.038882020344144e-06,9.796230063269049e-07,12.0,2.0
physics/0404027,"Toward a Consistent Theory of Relativistic Rotation. Chapter 6 in
  Relativity in Rotating Frames",9.01935853462246e-06,0.0,12.0,1.0
math-ph/0602028,Dirac Type Gauge Theories and the Mass of the Higgs Boson,8.99120380058075e-06,0.0,13.0,0.0
math-ph/0603067,Nonholonomic Constraints with Fractional Derivatives,8.903204684573277e-06,0.0,16.0,0.0
physics/0210013,Classical Aberration And Obliquation,8.57313010807132e-06,0.0,5.0,0.0
gr-qc/0401016,"Is the Lorentz signature of the metric of spacetime electromagnetic in
  origin?",8.3800249665214e-06,9.172461965962555e-06,13.0,14.0
physics/0612232,"Derivation of the potential, field, and locally-conserved charge-current
  density of an arbitrarily moving point-charge",8.316098520136686e-06,1.9864697276317883e-06,5.0,3.0
physics/0102084,"True energy-momentum tensors are unique. Electrodynamics spin tensor is
  not zero",8.150908397552742e-06,0.0,1.0,1.0
astro-ph/0311063,"Aberration and the Fundamental Speed of Gravity in the Jovian Deflection
  Experiment",8.04502237697745e-06,4.121189446448416e-06,6.0,9.0
astro-ph/0604491,Gravitational Field of Fractal Distribution of Particles,7.924819767953258e-06,9.512719845963189e-08,11.0,2.0
physics/0205027,On mediums with negative phase velocity: a brief overview,7.847432641730287e-06,0.0,5.0,0.0
hep-th/0506187,Analysis of constrained theories without use of primary constraints,7.833247226609205e-06,2.040020748226132e-06,5.0,1.0
math-ph/0206027,"Hamiltonian and Linear-Space Structure for Damped Oscillators: II.
  Critical Points",7.82324995062454e-06,0.0,2.0,1.0
math-ph/0206026,"Hamiltonian and Linear-Space Structure for Damped Oscillators: I.
  General Theory",7.82324995062454e-06,0.0,2.0,1.0
physics/9811019,"Stability of Uniform Rectilinear Motion of Charged Shell in Sommerfeld
  Model with Self-Action",7.809895823902223e-06,0.0,1.0,1.0
