id,title,pagerank,betweenness,in_degree,out_degree
cond-mat/9707221,The Loop Algorithm,0.0001886825825843,0.0012924929783002,140.0,42.0
quant-ph/0702069,Entanglement of Gaussian states,7.087483376295203e-05,6.911855839937879e-07,45.0,1.0
cond-mat/0609039,New Trends in Density Matrix Renormalization,4.580818731066749e-05,0.0,38.0,0.0
cond-mat/0701331,Spin chain simulations with a meron cluster algorithm,3.445357206214825e-05,0.0,8.0,0.0
hep-th/0612240,"All order epsilon-expansion of Gauss hypergeometric functions with
  integer and half/integer values of parameters",2.715298085826005e-05,0.0,44.0,0.0
physics/0512053,"Classical evolution of fractal measures generated by a scalar field on
  the lattice",2.403829531225396e-05,1.7936686403676852e-06,9.0,1.0
physics/0612121,Identifying Complex Networks by Random Walks,2.0421446037104837e-05,0.0,5.0,0.0
physics/0611146,Bound state equivalent potentials with the Lagrange mesh method,2.032925964308409e-05,0.0,7.0,1.0
hep-lat/0602013,"Mollifying Quantum Field Theory or Lattice QFT in Minkowski Spacetime
  and Symmetry Breaking",2.018002891283445e-05,0.0,6.0,0.0
gr-qc/0106072,Numerical Relativity: A review,1.8866387221159507e-05,0.0001956853235151,42.0,18.0
physics/0610111,Classical evolution of fractal measures on the lattice,1.7371070603181647e-05,3.6141284103918457e-06,7.0,2.0
cond-mat/0311017,Constructive Methods of Invariant Manifolds for Kinetic Problems,1.7305334217887365e-05,2.6649654306727853e-05,19.0,5.0
astro-ph/0411792,Population synthesis in astrophysics,1.693033054379433e-05,7.82879194741605e-06,15.0,5.0
cond-mat/0501252,Strength Distribution in Derivative Networks,1.637582086900839e-05,0.0,11.0,0.0
physics/0607038,"An efficient algorithm simulating a macroscopic system at the critical
  point",1.5944415571043667e-05,2.6044910284143995e-08,5.0,2.0
cond-mat/0104167,An Introduction to Monte Carlo Simulation of Statistical physics Problem,1.4335679089450188e-05,9.954626803328645e-06,16.0,3.0
cond-mat/0205644,Universality classes in nonequilibrium lattice systems,1.3378100647073986e-05,0.0002637749231547,20.0,26.0
physics/9709026,Improved Algorithms for Simulating Crystalline Membranes,1.2874911366824426e-05,0.0,15.0,3.0
physics/0701089,"On the Separability of Attractors in Grandmother Dynamic Systems with
  Structured Connectivity",1.2685636130691484e-05,0.0,14.0,0.0
