source,target
physics/0009032,physics/0007070
nlin/0006025,physics/0007070
adap-org/9605002,physics/0007070
physics/0004057,physics/0007070
cond-mat/9911474,physics/0007070
cs/9901014,physics/0007070
physics/9706015,physics/0007070
cond-mat/0009165,physics/0007070
physics/9809035,hep-ex/9909047
physics/9908014,hep-ex/9909047
physics/9812030,hep-ex/9909047
physics/9906048,hep-ex/9909047
physics/9906010,hep-ex/9909047
hep-ex/9902006,hep-ex/9909047
physics/9811046,hep-ex/9909047
physics/9811045,physics/9811046
physics/0403086,physics/0511182
physics/0509080,physics/0511182
physics/0401042,physics/0403086
physics/0306138,physics/0403086
physics/0403046,physics/0403086
physics/9811046,physics/0403086
hep-ex/0002056,physics/0403086
physics/0507106,cond-mat/0604409
physics/0403059,physics/0408039
hep-ex/0202013,physics/0408039
physics/0009064,hep-ex/0108020
physics/0008082,hep-ex/0108020
hep-ph/9512295,hep-ex/0108020
physics/0004057,physics/0303011
physics/0107063,physics/0303011
physics/0307055,physics/0311093
math-ph/0008017,physics/0311093
hep-ex/0002055,hep-ex/0002056
hep-ex/9909047,hep-ex/0002056
physics/9906048,hep-ex/0002056
physics/9811046,hep-ex/0002056
hep-ex/9910036,hep-ex/0002056
hep-ex/9909047,hep-ex/0002055
physics/9809035,hep-ex/0002055
hep-ex/0002020,hep-ex/0002055
hep-ex/0002056,hep-ex/0002055
physics/9906048,hep-ex/0002055
physics/9811046,hep-ex/0002055
hep-ex/0002028,hep-ex/0002055
physics/9812030,hep-ex/0002055
hep-ex/9910036,hep-ex/0002055
hep-ex/9911024,hep-ex/0002055
physics/9808004,hep-ex/0002055
gr-qc/0001035,hep-ex/0002055
physics/9906010,hep-ex/0002055
cond-mat/0411529,physics/0510043
cs/0303025,cs/0312044
hep-ex/9901015,hep-ex/9902006
physics/9908014,hep-ex/9910036
physics/9811046,hep-ex/9910036
cond-mat/0205511,cond-mat/0209319
physics/9811046,physics/9906048
cs/0303025,cs/0111054
cs/0312044,cs/0111054
hep-ph/9512295,hep-ex/9901015
hep-ph/9512295,hep-ph/9808240
hep-ex/0202013,hep-ex/0206034
physics/9812030,physics/9906010
hep-ex/9902006,physics/9906010
physics/0201016,physics/0307055
math-ph/0008017,physics/0307055
cond-mat/0106096,cond-mat/0107212
astro-ph/0102153,physics/0201069
physics/0408124,physics/0507143
physics/0306171,physics/0507143
physics/0404015,physics/0404021
physics/0409035,physics/0404021
gr-qc/9907084,hep-th/9905114
hep-ex/0108020,hep-ph/0207130
physics/9808004,hep-ph/0207130
cs/0303025,cs/0606048
hep-ph/9512295,physics/0009064
physics/0008082,physics/0009064
physics/0408039,physics/0403059
physics/0603186,cond-mat/0609070
physics/0111103,physics/0202070
physics/0007070,physics/0108025
physics/0009032,physics/0108025
cond-mat/0009165,physics/0108025
hep-ph/0108191,hep-ph/0111254
math/0106037,astro-ph/0202172
hep-ex/0108020,physics/0403069
hep-ph/0207130,physics/0403069
physics/0404021,physics/0404015
physics/0310159,physics/0404015
physics/0404021,physics/0409035
hep-ex/9909047,gr-qc/0304096
cond-mat/0402325,cond-mat/0510291
hep-th/9905114,gr-qc/9907084
physics/0307144,physics/0403005
physics/0311093,physics/0608185
physics/0010081,math-ph/0401038
physics/0007070,cond-mat/0009165
cond-mat/0209319,cond-mat/0304131
physics/0004057,nlin/0006025
physics/0003098,physics/0308006
physics/9811046,physics/9908014
physics/9906048,physics/9908014
physics/0004060,physics/0212110
physics/0004057,physics/0212110
physics/0004057,physics/0212113
physics/9808009,physics/0201016
physics/9808010,physics/0201016
math-ph/0008017,physics/0201016
astro-ph/0001414,gr-qc/0009081
physics/9811046,physics/0509080
hep-ph/9512295,physics/9808004
hep-ex/0011069,hep-ex/0002020
physics/9711021,hep-ex/0002020
physics/9812036,hep-ex/0002020
hep-ph/9808240,hep-ex/0002020
physics/0010081,physics/0603186
physics/0603071,physics/0603186
physics/0308006,physics/0308005
physics/0007070,physics/0009032
nlin/0006025,physics/0009032
adap-org/9605002,physics/0009032
physics/0004057,physics/0009032
cond-mat/9911474,physics/0009032
cs/9901014,physics/0009032
physics/9706015,physics/0009032
physics/0311105,physics/0403046
physics/0309077,physics/0403046
physics/0403069,physics/0612178
physics/0605116,physics/0605251
cond-mat/0504608,astro-ph/0602461
cond-mat/9907013,nucl-th/9908056
