id,title,pagerank,betweenness,in_degree,out_degree
physics/0609181,Unveiling the dynamics of the universe,3.780869333410054e-05,0.0,18.0,0.0
quant-ph/0609163,Quantum mechanics: Myths and facts,3.631507669829961e-05,5.0936099066084e-06,29.0,4.0
cond-mat/0411007,"Resolving the order parameter of High-T$_{c}$ Superconductors through
  quantum pumping spectroscopy",2.040257645806273e-05,0.0,11.0,0.0
gr-qc/0409033,Clock rate comparison in a uniform gravitational field,1.5335739816805085e-05,0.0,1.0,1.0
physics/0001033,Dream of a Christmas lecture,1.5283241191274553e-05,0.0,10.0,0.0
gr-qc/0503092,Measures and metrics in uniform gravitational fields,1.466495587726456e-05,0.0,3.0,1.0
physics/0103038,Mecanica Relacional: A proposito de uma resenha,9.353816835779527e-06,0.0,3.0,0.0
physics/0310001,Indian Physics: Outline of Early History,9.016182894446985e-06,3.980365510320144e-06,10.0,1.0
physics/0703062,How to Create Black Holes on Earth?,7.077970675088961e-06,0.0,22.0,0.0
astro-ph/0209504,The picture of our universe: A view from modern cosmology,6.992295233728764e-06,8.25191824750586e-08,14.0,2.0
physics/0608059,"Cinema Fiction vs Physics Reality: Ghosts, Vampires and Zombies",6.894650563261414e-06,0.0,5.0,0.0
physics/0211021,Analise Termodinamica da aceleracao de uma massa,6.777219174635051e-06,0.0,5.0,0.0
physics/0703141,Research News -- Meson scattering at high precision,6.413219104010443e-06,0.0,12.0,0.0
gr-qc/0105116,"Obtention of a Gravitational Force from a Relativistic Solution to
  Binet's Equation: The Schwarzschild's Case",6.203080408131958e-06,0.0,2.0,0.0
physics/0110020,"Modernizing Newton, to work at any speed",5.8672139077499215e-06,0.0,3.0,0.0
physics/0507172,Moments of inertia for solids of revolution and variational methods,5.655144290770314e-06,0.0,1.0,1.0
physics/0402058,All electromagnetic form factors,5.312127975347266e-06,0.0,4.0,2.0
physics/0502123,Study of the Pioneer Anomaly: A Problem Set,5.259792360551463e-06,2.266902756542852e-06,17.0,5.0
