source,target
physics/0006056,physics/0010042
hep-th/0004084,physics/0006056
astro-ph/0205284,astro-ph/0205286
astro-ph/0205282,astro-ph/0205286
astro-ph/0111345,astro-ph/0205286
astro-ph/0001001,astro-ph/0205286
physics/0010042,hep-th/0106044
physics/0010042,hep-th/0110057
physics/0212080,cond-mat/0212566
nlin/0105026,nlin/0101012
nlin/0204069,nlin/0101012
astro-ph/0404108,physics/0410046
hep-th/0004083,hep-th/0004084
cond-mat/0212566,physics/0212080
physics/0303061,cond-mat/0303288
cond-mat/0212566,cond-mat/0303288
astro-ph/0111345,astro-ph/0211031
astro-ph/0001001,astro-ph/0211031
cond-mat/0111343,cond-mat/0202445
astro-ph/0312505,physics/0404114
astro-ph/0108300,astro-ph/0203452
astro-ph/0111345,astro-ph/0203452
physics/0505084,physics/0601087
cond-mat/0012316,cond-mat/0106255
physics/0308101,physics/0508155
physics/0308099,physics/0508155
nlin/0410054,physics/0508155
physics/0308100,physics/0508155
cond-mat/0202445,cond-mat/0111343
physics/0103083,physics/0103084
cond-mat/9912222,cond-mat/9911032
hep-th/0004084,hep-th/0004083
astro-ph/0108300,astro-ph/0111345
physics/0207076,physics/0307144
physics/0010042,hep-th/0104104
cond-mat/9911032,cond-mat/9912222
physics/0103084,physics/0110027
astro-ph/0205286,astro-ph/0301062
astro-ph/0211031,astro-ph/0301062
cond-mat/0703230,nlin/0609061
nlin/0609061,cond-mat/0703230
physics/0106076,physics/0108057
nlin/0204069,nlin/0105026
nlin/0404014,physics/0507066
physics/0010042,hep-th/0007199
hep-th/0004084,hep-th/0007199
physics/0006056,hep-th/0007199
physics/0601087,physics/0505084
astro-ph/0103333,astro-ph/0105322
astro-ph/0310780,astro-ph/0308336
physics/0311130,astro-ph/0308336
physics/0010015,physics/0312043
physics/0006033,physics/0312043
hep-th/0106166,hep-th/0107190
cond-mat/0106255,hep-th/0107190
physics/0010042,hep-th/0107190
physics/0511204,physics/0601105
physics/0601062,physics/0601105
astro-ph/0111345,astro-ph/0205282
