id,title,pagerank,betweenness,in_degree,out_degree
physics/0508215,The hydraulic jump as a white hole,3.507218448616137e-05,8.547092653076202e-08,8.0,1.0
cond-mat/0508388,Hydraulic Jump in One-dimensional Flow,2.745068383724543e-05,0.0,2.0,1.0
physics/0510164,Acoustic horizons for axially and spherically symmetric fluid flow,2.039389467641573e-05,0.0,19.0,0.0
hep-th/0607239,Topics in particle physics and cosmology beyond the standard model,1.836665290338149e-05,0.0,96.0,0.0
gr-qc/0603093,Horizons and Ergoregions in Superfluids,1.664082009423885e-05,1.1338935042804795e-06,7.0,2.0
physics/0506123,Superstatistical turbulence models,1.6270744178798078e-05,0.0,4.0,0.0
physics/0504204,"Intermittency of Height Fluctuations and Velocity Increment of The
  Kardar-Parisi-Zhang and Burgers Equations with infinitesimal surface tension
  and Viscosity in 1+1 Dimensions",1.6231511032780502e-05,0.0,29.0,0.0
cond-mat/0606619,Dynamics of vortices and interfaces in superfluid 3He,1.5480144989441718e-05,1.8379596418326743e-06,5.0,2.0
physics/0509241,"A Flux-Conservative Formalism for Convective and Dissipative Multi-Fluid
  Systems, with Application to Newtonian Superfluid Neutron Stars",1.53948241264895e-05,1.371948483140876e-05,6.0,3.0
gr-qc/0601034,"Massive particles in acoustic space-times emergent inertia and passive
  gravity",1.479066945367316e-05,0.0,12.0,0.0
cond-mat/0204221,"Power laws and stretched exponentials in a noisy finite-time-singularity
  model",1.4548659144094214e-05,0.0,10.0,0.0
astro-ph/0205286,MHD Turbulence: Scaling Laws and Astrophysical Implications,1.353522274472162e-05,5.765923004238475e-05,14.0,21.0
gr-qc/0409014,Vortex geometry for the equatorial slice of the Kerr black hole,1.3529402022257378e-05,0.0002202906602558,27.0,9.0
hep-th/0406164,A Fluid Generalization of Membranes,1.3240236056557522e-05,8.911266067880921e-09,8.0,1.0
astro-ph/0108300,Kolmogorov-Burgers Model for Star Forming Turbulence,1.2298724984555696e-05,1.1941983531981076e-05,17.0,3.0
astro-ph/0308336,Critical Magnetic Prandtl Number for Small-Scale Dynamo,1.199111616484847e-05,4.062629372828047e-06,3.0,3.0
astro-ph/0111345,"Scaling relations of supersonic turbulence in star-forming molecular
  clouds",1.087935225771764e-05,0.0,11.0,4.0
astro-ph/0203452,Supersonic turbulence and structure of interstellar molecular clouds,1.0406104617004036e-05,2.190176731798789e-05,6.0,5.0
astro-ph/0211031,The Properties of Compressible MHD and Cosmic Ray Transport,1.0080846169862348e-05,4.549750827551517e-06,9.0,6.0
comp-gas/9905002,"Construction of Molecular Dynamics Like Cellular Automata Models for
  Simulation of Compressible Fluid Dynamic Systems",9.47540792109486e-06,0.0,13.0,0.0
physics/0503042,Acoustic black holes,9.339143459956222e-06,4.193770672335011e-06,13.0,6.0
nlin/0102038,Covariant Time Derivatives for Dynamical Systems,9.3004659300517e-06,0.0,2.0,1.0
hep-ph/0305047,A New Method to Infere Which Type of Neutralinos Make Up Galactic Halos,9.039331723681213e-06,0.0,6.0,0.0
cond-mat/0105199,Particles and fields in fluid turbulence,9.027460122569796e-06,0.0,8.0,4.0
astro-ph/0301062,"Compressible Magnetohydrodynamic Turbulence: mode coupling, scaling
  relations, anisotropy, new regime and astrophysical implications",8.797142057766043e-06,3.980365510320144e-06,7.0,6.0
cond-mat/0409315,"Standing and travelling waves in the shallow-water circular hydraulic
  jump",8.742668549011014e-06,7.733870559254492e-07,1.0,1.0
astro-ph/0201466,MHD inverse cascade in the early Universe,8.498935210461519e-06,7.988552205477213e-06,21.0,1.0
astro-ph/0509541,"On the relevance of subcritical hydrodynamic turbulence to accretion
  disk transport",8.498545092934706e-06,0.0,10.0,0.0
cond-mat/0305599,Quasi-Equilibrium Closure Hierarchies for The Boltzmann Equation,8.049067980330248e-06,4.97545688790018e-06,7.0,3.0
physics/0512206,Large amplitude of the internal motion of DNA immersed in bio-fluid,8.02483129404579e-06,0.0,5.0,0.0
gr-qc/0212072,"Averaging out Inhomogeneous Newtonian Cosmologies: III. The Averaged
  Navier-Stokes-Poisson Equations",8.013269753217442e-06,0.0,2.0,1.0
physics/0412153,"Notes on dispersionful and dispersionless vortex filament equations in
  1+1 and 2+1 dimensions",8.013235176259739e-06,0.0,8.0,0.0
gr-qc/0212070,"Averaging out Inhomogeneous Newtonian Cosmologies: I. Fluid Mechanics
  and the Navier-Stokes Equation",7.90276076567639e-06,9.95091377580036e-07,2.0,2.0
math-ph/0503027,"Relativistic particle, fluid and plasma mechanics coupled to gravity",7.479423954049739e-06,0.0,4.0,0.0
hep-th/0406079,Fluid Dynamics of NSR Strings,7.445735488119768e-06,6.847670743658714e-08,6.0,1.0
gr-qc/0410107,"Quasinormal modes and stability of the rotating acoustic black hole:
  numerical analysis",7.353806237851088e-06,3.147100112960898e-06,5.0,6.0
astro-ph/0103159,Gravitational instability of finite isothermal spheres,7.348036427881776e-06,0.0,8.0,4.0
cond-mat/0303288,Superstatistics: Theory and Applications,7.274344320686168e-06,4.424645384675459e-05,9.0,8.0
physics/0701201,"Signatures of two-dimensionalisation of 3D turbulence in presence of
  rotation",7.260405680789332e-06,0.0,3.0,0.0
nlin/0308008,Variational method for finding periodic orbits in a general flow,7.255311934396184e-06,0.0,5.0,2.0
hep-th/0107190,"""Gauging"" the Fluid",7.116848619198301e-06,4.055175214537061e-06,6.0,3.0
physics/0106090,The Kraichnan-Kazantsev dynamo,7.041455526678515e-06,0.0,3.0,0.0
nlin/0501006,Anomalous scaling of passive scalar in turbulence and in equilibrium,6.799293554845351e-06,0.0,2.0,1.0
physics/0703216,Parametric instability of the helical dynamo,6.68313113506713e-06,0.0,2.0,0.0
cond-mat/0208540,Quantum Necking in Stressed Metallic Nanowires,6.55890781825366e-06,0.0,1.0,1.0
hep-th/0408194,Chiral actions from phase space (quantum Hall) droplets,6.532942717310617e-06,1.7316938793316582e-05,27.0,11.0
astro-ph/0310780,On magnetic field generation in Kolmogorov turbulence,6.367728915104639e-06,0.0,2.0,1.0
physics/0004056,Statistical mechanics of the shallow water system,6.225203698549021e-06,0.0,1.0,1.0
hep-th/0602017,Rayleigh-Plateau and Gregory-Laflamme instabilities of black strings,6.170879455423169e-06,3.11162958468746e-08,3.0,3.0
hep-th/0605204,Yang-Mills Magneto-Fluid Unification,6.012982955605963e-06,3.986526149105381e-07,9.0,1.0
physics/0507144,The imprint of large-scale flows on turbulence,5.937599821830193e-06,0.0,2.0,0.0
physics/0507071,Separable unsteady nonparallel flow stability problems,5.927773615503002e-06,0.0,4.0,0.0
nlin/0603003,"Topology, Braids, and Mixing in Fluids",5.920139435744325e-06,0.0,3.0,0.0
physics/0509118,Why dynamos are prone to reversals,5.909289359817755e-06,1.967661152967682e-06,5.0,4.0
physics/0005003,M\'etodos Estoc\'asticos em Turbul\^encia Desenvolvida,5.79773476389785e-06,0.0,6.0,0.0
physics/0404114,"The ""zeroth law"" of turbulence: Isotropic turbulence simulations
  revisited",5.720547234151209e-06,1.8780882522261222e-05,2.0,3.0
astro-ph/0103333,"Spectra and Growth Rates of Fluctuating Magnetic Fields in the Kinematic
  Dynamo Theory with Large Magnetic Prandtl Numbers",5.691202196336668e-06,0.0,6.0,10.0
physics/0601130,Heat equilibrium distribution in a turbulent flow,5.679549276929074e-06,0.0,7.0,0.0
physics/0407101,Sharp vorticity gradients in two-dimensional hydrodynamic turbulence,5.679326981876062e-06,0.0,3.0,0.0
nlin/0609061,"""Stokes' Second Problem in High Frequency Limit. Application to Micro
  (Nano)- Resonators",5.655144290770314e-06,0.0,1.0,1.0
physics/0008236,Equilibrium solutions of the shallow water equations,5.655144290770314e-06,0.0,1.0,0.0
physics/0407044,On-Shell Description of Stationary Flames,5.655144290770314e-06,0.0,1.0,0.0
cond-mat/0703230,"High-Frequency Nanofluidics: An Experimental Study using Nanomechanical
  Resonators",5.655144290770314e-06,0.0,1.0,1.0
gr-qc/0408099,Quasinormal modes and classical wave propagation in analogue black holes,5.628623707299705e-06,3.171582797777273e-06,6.0,12.0
cond-mat/9801258,"Shape-Dependent Thermodynamics and Non-Local Hydrodynamics in a
  Non-Gibbsian Steady-State of a Drift-Diffusion System",5.279135134102134e-06,0.0,2.0,1.0
astro-ph/0205282,Compressible Sub-Alfvenic MHD turbulence in Low-beta Plasmas,5.220711219127985e-06,1.990182755160072e-06,2.0,2.0
nlin/0506058,Phenomenology of Wall Bounded Newtonian Turbulence,5.084617106288551e-06,0.0,4.0,0.0
physics/0409035,"On a multi-scale approach to analyze the joint statistics of
  longitudinal and transverse increments experimentally in small scale
  turbulence",5.079039210215171e-06,0.0,1.0,1.0
nlin/0601013,"Weakly nonlinear stability of convective magnetohydrodynamic systems
  without alpha-effect to perturbations involving large scales",5.03065162052725e-06,0.0,4.0,0.0
gr-qc/0212071,"Averaging out Inhomogeneous Newtonian Cosmologies: II. Newtonian
  Cosmology and the Navier-Stokes-Poisson Equations",4.99002105727761e-06,9.95091377580036e-07,2.0,1.0
math-ph/0601066,"Non-Laplacian growth, algebraic domains and finite reflection groups",4.973045147379138e-06,0.0,5.0,0.0
cond-mat/0505742,"Evolution of a Network of Vortex Loops in HeII. Exact Solution of the
  ""Rate Equation""",4.958910253923682e-06,0.0,2.0,0.0
quant-ph/9910079,Transition Radiation and the Origin of Sonoluminescence,4.927754898090547e-06,0.0,5.0,0.0
physics/0111133,"A characteristic frequency of two mutually interacting gas bubbles in an
  acoustic field",4.922302499547841e-06,0.0,4.0,0.0
physics/0702034,"In a book ""Tsunami and Nonlinear Waves"": Numerical Verification of the
  Hasselmann equation",4.881437893292031e-06,0.0,7.0,0.0
physics/0702145,Numerical Verification of the Weak Turbulent Model for Swell Evolution,4.881437893292031e-06,0.0,7.0,0.0
nucl-th/0605070,A New Family of Simple Solutions of Perfect Fluid Hydrodynamics,4.874390157490937e-06,9.1468168589819e-07,7.0,4.0
physics/0701052,"On the third order structure function for rotating 3D homogeneous
  turbulent flow",4.852368310650602e-06,0.0,4.0,1.0
physics/0605167,Essence of inviscid shear instability: a point view of vortex dynamics,4.775563454392716e-06,0.0,3.0,0.0
nlin/0605013,A mesoscopic approach for multi-phase flows in nano-corrugated channels,4.741716490327581e-06,0.0,3.0,0.0
physics/0012007,Finite time singularities in a class of hydrodynamic models,4.722180660842877e-06,0.0,5.0,0.0
physics/0503217,"Variational description of multi-fluid hydrodynamics: Coupling to gauge
  fields",4.713646363144909e-06,1.84460480363604e-06,4.0,3.0
cond-mat/0107345,Thermodynamics of self-gravitating systems,4.666472748641665e-06,0.0,2.0,12.0
physics/0507066,"Turbulent Friction in Rough Pipes and the Energy Spectrum of the
  Phenomenological Theory",4.5416931407488425e-06,0.0,2.0,2.0
cond-mat/0601330,Dynamical model of steadily forced isotropic turbulence,4.5066939502503176e-06,0.0,1.0,0.0
physics/0603115,Simplified Variational Principles for Barotropic Magnetohydrodynamics,4.4311897898614005e-06,0.0,3.0,0.0
nlin/0601027,Dynamics and statistics of heavy particles in turbulent flows,4.390802158399432e-06,0.0,1.0,0.0
physics/0506099,"Statistical properties of an ensemble of vortices interacting with a
  turbulent field",4.382537488591462e-06,0.0,2.0,0.0
hep-th/0411065,Kac-Moody theories for colored phase space (quantum Hall) droplets,4.340277022693421e-06,5.340350090794755e-07,15.0,5.0
nlin/0110040,"Nonlinear Analysis of the Eckhaus Instability: Modulated Amplitude Waves
  and Phase Chaos with Non-zero Average Phase Gradient",4.335081793914062e-06,0.0,3.0,0.0
cond-mat/0202445,On Kelvin-Helmholtz instability in superfluids,4.300795333258002e-06,0.0,2.0,4.0
nlin/0605003,Differential models for 2D turbulence,4.229814325148799e-06,0.0,3.0,0.0
chao-dyn/9810019,Notes about Passive Scalar in Large-Scale Velocity Field,4.069189384247665e-06,0.0,2.0,0.0
physics/0502146,Quasi-planar steep water waves,4.060231222520034e-06,0.0,2.0,0.0
physics/0311130,Simulation of induction at low magnetic Prandtl number,4.0532002175722434e-06,0.0,1.0,1.0
cond-mat/9807412,Finite-Temperature Collective Excitation of a Bose-Einstein Condensate,4.003095073940578e-06,1.4852110113134864e-08,4.0,2.0
hep-ph/0111139,"Simple solutions of fireball hydrodynamics for self-similar, ellipsoidal
  flows",3.936589194772186e-06,6.590445126805391e-06,8.0,16.0
cond-mat/0402035,On developed superfluid turbulence,3.898007787646928e-06,3.980365510320144e-06,3.0,2.0
math/0510070,DSC Approach to Computational Fluid Dynamics,3.894315655251025e-06,0.0,3.0,0.0
nlin/0305014,Velocity and velocity-difference distributions in Burgers turbulence,3.8038080206917487e-06,0.0,3.0,1.0
hep-ph/0609056,"Derivation of Covariant Dissipative Fluid Dynamics in the
  Renormalization-group Method",3.7996929484125983e-06,4.009262807348132e-06,8.0,2.0
astro-ph/0312505,Self-similar scaling in decaying numerical turbulence,3.765325505598814e-06,2.276124803258137e-05,3.0,3.0
astro-ph/0301026,Structure Function Scaling in Compressible Super-Alfvenic MHD Turbulence,3.7613522243113295e-06,3.980365510320144e-06,2.0,5.0
astro-ph/0301432,"Understanding Helical Magnetic Dynamo Spectra with a Nonlinear
  Four-Scale Theory",3.7424315620371258e-06,0.0,6.0,0.0
math-ph/0207008,Extra Dimensions and Nonlinear Equations,3.697677880828464e-06,5.415739095818913e-06,4.0,4.0
cond-mat/0208423,Onset of thermal convection in a horizontal layer of granular gas,3.663731428056144e-06,0.0,3.0,0.0
gr-qc/0703083,"Hydrodynamic Flow as Congruence of Geodesic Lines in Riemannian
  Space-Time",3.658932290419172e-06,0.0,2.0,0.0
chao-dyn/9809010,Passive advection in nonlinear medium,3.6408282232936815e-06,0.0,4.0,0.0
physics/0412025,"Numerical solutions of the three-dimensional magnetohydrodynamic
  alpha-model",3.638378866143773e-06,0.0,3.0,0.0
cond-mat/0506685,"Correlated particle dynamics in concentrated quasi-two-dimensional
  suspensions",3.62335329328243e-06,0.0,2.0,0.0
physics/0601105,"Dynamo action at low magnetic Prandtl numbers: mean flow vs. fully
  turbulent motion",3.62335329328243e-06,0.0,2.0,2.0
cond-mat/9702029,Patterns and Long Range Correlations in Idealized Granular Flows,3.62335329328243e-06,0.0,2.0,3.0
physics/0108039,A lattice Boltzmann study of reactive microflows,3.62335329328243e-06,0.0,2.0,0.0
physics/0505183,"Shell to shell energy transfer in MHD, Part I: steady state turbulence",3.6040767868199328e-06,9.95091377580036e-07,3.0,1.0
math/0611785,"The classification of nonsingular multidimensional Dubrovin-Novikov
  brackets",3.585519365376831e-06,0.0,6.0,0.0
astro-ph/0402640,"Lagrangian perturbation theory of nonrelativistic rotating superfluid
  stars",3.5718975451194345e-06,0.0,4.0,1.0
nlin/0308006,Turbulent fields and their recurrences,3.557108962579861e-06,0.0,2.0,2.0
nlin/0511006,Drag Reduction by Bubble Oscillations,3.5019336686816883e-06,0.0,2.0,0.0
