id,title,pagerank,betweenness,in_degree,out_degree
physics/0211071,"Complex Dynamics of Real Quantum, Classical and Hybrid Micro-Machines",0.0009249450448826,1.202246069470313e-05,447.0,7.0
physics/0601140,"Consistent Cosmology, Dynamic Relativity and Causal Quantum Mechanics as
  Unified Manifestations of the Symmetry of Complexity",0.0002109410991723,0.0,26.0,0.0
physics/0603132,"Unreduced Dynamic Complexity: Towards the Unified Science of Intelligent
  Communication Networks and Software",0.0001978707861139,0.0,8.0,0.0
physics/0401164,"Quantum Field Mechanics: Complex-Dynamical Completion of Fundamental
  Physics and Its Experimental Implications",0.0001952140443798,2.592746512027263e-06,30.0,4.0
physics/0404006,"Universal Symmetry of Complexity and Its Manifestations at Different
  Levels of World Dynamics",0.000152235166469,2.804603428202016e-07,4.0,4.0
physics/0405063,"Dynamically Multivalued Self-Organisation and Probabilistic Structure
  Formation Processes",0.0001521025227598,2.804603428202016e-07,3.0,4.0
physics/0403084,Creativity and the New Structure of Science,0.0001461340015053,0.0,6.0,0.0
physics/0305119,"The Universal Dynamic Complexity as Extended Dynamic Fractality:
  Causally Complete Understanding of Living Systems Emergence and Operation",0.0001435781548386,2.804603428202016e-07,3.0,6.0
physics/0504062,"Relativistic Quantum Dynamics: A non-traditional perspective on space,
  time, particles, fields, and action-at-a-distance",0.0001127101813191,7.374369937655158e-06,55.0,3.0
physics/0703018,A discontinuity of the background explains the Pioneer anomaly,6.150187694077873e-05,0.0,4.0,0.0
physics/0412058,"Complex Dynamics of Autonomous Communication Networks and the
  Intelligent Communication Paradigm",5.360756233887705e-05,0.0,6.0,3.0
physics/0702113,A cyclic universe with colour fields,3.855195261414752e-05,0.0,22.0,0.0
physics/0609181,Unveiling the dynamics of the universe,3.780869333410054e-05,0.0,18.0,0.0
physics/0508215,The hydraulic jump as a white hole,3.507218448616137e-05,8.547092653076202e-08,8.0,1.0
physics/0210027,Wavelength-Dependent Effects in Maxwell Optics,3.240729282834866e-05,0.0,12.0,1.0
physics/0210028,Analogies between light optics and charged-particle optics,3.240729282834866e-05,0.0,12.0,1.0
physics/0011040,The status and programs of the New Relativity Theory,3.1771144287552044e-05,7.841261801588533e-05,28.0,15.0
physics/0703154,String Theory: a mere prelude to non-Archimedean Space-Time Structures?,2.972391109668609e-05,1.989440149654415e-06,5.0,1.0
physics/0702206,"Cosmic Contact : To Be, or Not To Be Archimedean ?",2.844693076295449e-05,0.0,5.0,1.0
physics/0612019,A Hamiltonian approach to quantum gravity,2.773675076699731e-05,3.967027683884068e-07,15.0,1.0
physics/0505042,Zeno meets modern science,2.742051205138347e-05,0.0,11.0,0.0
physics/0609120,"Time invariance violation is a physical base of atomic Bloch
  oscillations in an optical lattice",2.463813276373924e-05,1.9827567001035044e-06,6.0,1.0
physics/0608027,The Gravity and The Quantum: A Bohr-inspired Synthesis,2.390832518832905e-05,0.0,8.0,0.0
physics/0509027,Explicit Generation of Integer Solutions via CY Mfds,2.345441790300141e-05,0.0,8.0,0.0
physics/0702233,A Theory of Flavour and Set of the Interaction Structural Parts,2.321580729905568e-05,0.0,13.0,0.0
physics/0301034,Neutrino masses and the structure of the weak gauge boson,2.3195921394049597e-05,1.952634841881957e-06,10.0,1.0
physics/0603043,Violations of Einstein's time dilation formula in particle decays,2.3121709584073172e-05,0.0,3.0,1.0
physics/0612089,"Comment on ""Beam-splitters don't have memory: a comment on ""Event-based
  corpuscular model for quantum optics experiments"" by K.Michielsen et al.""",2.2689695855599984e-05,1.4852110113134864e-08,4.0,1.0
