id,title,pagerank,betweenness,in_degree,out_degree
physics/0505008,Socioeconomic development and stability: A complex network blueprint,3.870907628082788e-05,0.0,29.0,0.0
hep-ph/0612002,On in situ Determination of Earth Matter Density in Neutrino Factory,2.053931707855313e-05,6.73256265619632e-07,54.0,2.0
physics/0602049,"Neutrino tomography - Learning about the Earth's interior using the
  propagation of neutrinos",1.6366307619284377e-05,7.933752108188866e-08,45.0,2.0
astro-ph/0602092,Do extragalactic cosmic rays induce cycles in fossil diversity?,1.5808809605568053e-05,0.0,7.0,0.0
astro-ph/0610725,UHE Cosmic Rays and Neutrinos Showering on Planet Edges,1.4106254320979078e-05,2.059115113305794e-06,9.0,2.0
astro-ph/0205286,MHD Turbulence: Scaling Laws and Astrophysical Implications,1.353522274472162e-05,5.765923004238475e-05,14.0,21.0
astro-ph/0308336,Critical Magnetic Prandtl Number for Small-Scale Dynamo,1.199111616484847e-05,4.062629372828047e-06,3.0,3.0
gr-qc/0410110,"Some comments about a recent paper on the measurement of the general
  relativistic Lense-Thirring effect in the gravitational field of the Earth
  with the laser-ranged LAGEOS and LAGEOS II satellites",1.0912384095351636e-05,7.960731020640288e-06,10.0,2.0
physics/0606001,Theory of Earthquake Recurrence Times,8.574983071483941e-06,3.980365510320144e-06,2.0,1.0
hep-ph/0501111,"How much Uranium is in the Earth? Predictions for geo-neutrinos at
  KamLAND",8.319587764718592e-06,2.947516201637666e-06,16.0,4.0
math-ph/0702063,"Dirichlet integral point-source harmonic interpolation over
  ${\mathbb{R}}^3$ spherical interiors: DIDACKS II",7.436101577256827e-06,1.990182755160072e-06,4.0,1.0
hep-ph/0207238,Tomography of the Earth's Core Using Supernova Neutrinos,7.228415292155637e-06,4.060055349589186e-06,35.0,9.0
astro-ph/0506427,"The theory of canonical perturbations applied to attitude dynamics and
  to the Earth rotation. Osculating and nonosculating Andoyer variables",7.133469941690306e-06,0.0,7.0,3.0
physics/0507024,"Renormalization of the ETAS branching model of triggered seismicity from
  total to observable seismicity",6.666210752195625e-06,5.970548265480216e-06,5.0,1.0
cond-mat/0406198,Scaling and precursor motifs in earthquake networks,6.565376694987771e-06,1.7938696854146713e-05,3.0,4.0
physics/0509118,Why dynamos are prone to reversals,5.909289359817755e-06,1.967661152967682e-06,5.0,4.0
physics/0005003,M\'etodos Estoc\'asticos em Turbul\^encia Desenvolvida,5.79773476389785e-06,0.0,6.0,0.0
hep-ph/0502154,Geotomography with solar and supernova neutrinos,5.66973106763302e-06,9.588020871647159e-10,19.0,2.0
astro-ph/0601711,Gamma-ray bursts and terrestrial planetary atmospheres,5.438825304404756e-06,0.0,4.0,0.0
physics/0412043,Power law distribution of seismic rates: theory and data,5.404701147581345e-06,5.970548265480216e-06,7.0,4.0
gr-qc/0408091,Geophysical studies with laser-beam detectors of gravitational waves,5.240762905933321e-06,1.945630958431813e-06,3.0,1.0
astro-ph/0205282,Compressible Sub-Alfvenic MHD turbulence in Low-beta Plasmas,5.220711219127985e-06,1.990182755160072e-06,2.0,2.0
gr-qc/0701159,"Reply to ``On the Systematic Errors in the Detection of the
  Lense-Thirring Effect with a Mars Orbiter '', by Giampiero Sindoni, Claudio
  Paris and Paolo Ialongo",5.201573552372713e-06,0.0,3.0,2.0
physics/0501102,"Distribution of the Largest Aftershocks in Branching Models of Triggered
  Seismicity: Theory of the Universal Bath's law",5.130685208194862e-06,0.0,5.0,1.0
cond-mat/0306561,"Detecting mirror matter on Earth via its thermal imprint on ordinary
  matter",4.98130650213454e-06,2.3433888117359695e-07,20.0,10.0
hep-ph/0508048,KamLAND results and the radiogenic terrestrial heat,4.899697501726562e-06,0.0,5.0,2.0
cond-mat/0505274,Realistic time correlations in sandpiles,4.887897699676504e-06,6.217935082459405e-06,2.0,4.0
physics/0702145,Numerical Verification of the Weak Turbulent Model for Swell Evolution,4.881437893292031e-06,0.0,7.0,0.0
hep-ph/0409152,Geo-Neutrinos: a short review,4.734319876841041e-06,1.6850560667817312e-06,13.0,3.0
astro-ph/9702026,"Reply to astro-ph/9612003 (""Comments on 'Biological Effects of Stellar
  Collapse Neutrinos'"") and astro-ph/9612214 (""Volcanogenic Dark Matter and
  Mass Extinctions"")",4.596730396424545e-06,0.0,5.0,0.0
gr-qc/0701146,"On the Lense-Thirring test with the Mars Global Surveyor in the
  gravitational field of Mars",4.537994401142542e-06,5.426802287670563e-07,2.0,1.0
gr-qc/0608119,"An assessment of the measurement of the Lense-Thirring effect in the
  Earth gravity field, in reply to: ``On the measurement of the Lense-Thirring
  effect using the nodes of the LAGEOS satellites, in reply to ``On the
  reliability of the so far performed tests for measuring the Lense-Thirring
  effect with the LAGEOS satellites'' by L. Iorio,'' by I. Ciufolini and E.
  Pavlis",4.397801212448987e-06,0.0,8.0,0.0
