id,title,pagerank,betweenness,in_degree,out_degree
hep-ph/0606202,Mirror particles and mirror matter: 50 years of speculation and search,0.0001669248294362,1.3240829708807644e-05,138.0,6.0
gr-qc/0506102,"Absolute Objects and Counterexamples: Jones-Geroch Dust, Torretti
  Constant Curvature, Tetrad-Spinor, and Scalar Density",2.698517722201926e-05,1.815257902716484e-08,12.0,1.0
physics/0509184,Creativity leading to discoveries in particle physics and relativity,2.628695371814842e-05,1.990182755160072e-06,16.0,1.0
hep-th/0504206,"Two-dimensional models as testing ground for principles and concepts of
  local quantum physics",2.449504925217136e-05,0.0003279106991419,13.0,5.0
physics/0602172,Photon colliders: the first 25 years,2.335708128056616e-05,2.532365142850713e-08,27.0,1.0
hep-ph/0505177,"Adventures in Theoretical Physics: Selected Papers of Stephen L. Adler
  -- Commentaries",1.8436945510132355e-05,2.7616303296341463e-05,16.0,11.0
hep-ex/0606035,Experimental Tests of Asymptotic Freedom,1.6539964481510017e-05,3.186397483260256e-05,23.0,19.0
physics/0505172,Aristotle and Gautama on Logic and Physics,1.4252987930122809e-05,1.990182755160072e-06,9.0,1.0
gr-qc/0507101,Black holes and fundamental physics,1.4158694357439089e-05,9.461590401332356e-07,17.0,1.0
physics/0409076,On Dirac's incomplete analysis of gauge transformations,1.1695640139853954e-05,3.287102806972294e-08,15.0,1.0
physics/0605078,The Issue of the Beginning in Quantum Gravity,1.0723089434043456e-05,3.3776240166449026e-07,18.0,1.0
astro-ph/0310214,"Observational Cosmology: caveats and open questions in the standard
  model",1.034275695132656e-05,4.641284410354646e-09,15.0,2.0
hep-th/0405105,An anthology of non-local QFT and QFT on noncommutative spacetime,9.745129993180973e-06,9.28132953957146e-07,15.0,1.0
physics/0605012,"Interpreting Mathematics in Physics: Charting the Applications of SU(2)
  in 20th Century Physics",9.412937342446109e-06,0.0,4.0,0.0
physics/0508036,"Lanczos - Einstein - Petiau: From Dirac's equation to nonlinear wave
  mechanics",9.01822958609723e-06,7.94216588299887e-06,12.0,8.0
physics/0310001,Indian Physics: Outline of Early History,9.016182894446985e-06,3.980365510320144e-06,10.0,1.0
hep-th/0611132,String theory deconstructed,8.829897049955979e-06,6.099491585098795e-08,8.0,1.0
physics/0311047,String Theory: a theory in search of an experiment,8.788639112379913e-06,0.0,15.0,1.0
physics/0507107,Einstein's impact on the physics of the twentieth century,8.459802523798992e-06,2.068074130398591e-06,7.0,1.0
physics/0605131,Bologna and the Cooperation with Developing Countries,7.913717343223983e-06,0.0,4.0,0.0
astro-ph/9912039,Surprises of phase transition astrophysics,7.743687249821557e-06,0.0,2.0,0.0
hep-th/0502125,Two-dimensional models,7.725478010757099e-06,0.0,2.0,1.0
physics/0408079,"The relations of the homogeneous Maxwell's equations to the theory of
  functions",7.614418516866532e-06,0.0006563977025627,5.0,9.0
quant-ph/0604064,Relational EPR,7.557591610729676e-06,5.857449471102985e-06,2.0,12.0
physics/0411127,Lorentz's electromagnetic mass: a clue for unification?,6.534433064770426e-06,0.0,1.0,0.0
physics/0408100,More on the early interpretation of the Schwarzschild solution,6.393161712251494e-06,1.990182755160072e-06,2.0,1.0
physics/0604064,Four variations on Theoretical Physics by Ettore Majorana,6.218005682376471e-06,0.0,7.0,0.0
hep-th/0201062,M-theory on manifolds of G2 holonomy: the first twenty years,5.998726016452162e-06,5.681480466524131e-05,57.0,27.0
physics/0611143,Holographic Views of the World,5.667495210332888e-06,6.618800255973785e-08,8.0,1.0
gr-qc/9804006,Past and Future of Cosmic Topology,5.366368358679983e-06,0.0,8.0,17.0
physics/0605214,"Historical and interpretative aspects of quantum mechanics: a
  physicists' naive approach",5.270575365616079e-06,0.0,2.0,0.0
physics/0406079,Feyerabend and physics,5.190149050155762e-06,0.0,5.0,0.0
physics/9707014,The Weinberg Formalism and a New Look at the Electromagnetic Theory,4.932618313404507e-06,0.0,7.0,0.0
physics/0508002,The tensor analytical relationships of Dirac's equation,4.563521551466737e-06,4.00635670301813e-06,9.0,10.0
physics/0508163,On the discovery of Birkhoff's theorem,4.3096618796900175e-06,0.0,4.0,1.0
physics/0609137,"Hole theory and Quantum Electrodynamics in an unknown French manuscript
  by Ettore Majorana",4.219578365902143e-06,0.0,4.0,0.0
physics/0607099,Un manoscritto inedito in francese di Ettore Majorana,4.219578365902143e-06,0.0,4.0,0.0
physics/0402064,The Thermal Radiation Formula of Planck (1900),4.199458373837573e-06,0.0,3.0,1.0
physics/0701340,E.C.G. Stueckelberg: a forerunner of modern physics,4.0721863941660025e-06,0.0,2.0,0.0
physics/0406137,"The (absence of a) relationship between thermodynamic and logical
  reversibility",4.0649192574113214e-06,0.0,4.0,2.0
physics/0505090,Why Einstein (Had I been born in 1844!)?,3.8117317369447215e-06,0.0,7.0,0.0
physics/0512101,On the origin of Special Relativity,3.731420942334916e-06,0.0,2.0,0.0
physics/0507192,On Symmetry and Conserved Quantities in Classical Mechanics,3.72724656423951e-06,0.0,4.0,0.0
physics/0409030,"Between Laws and Models: Some Philosophical Morals of Lagrangian
  Mechanics",3.528129616807117e-06,2.1499524697439893e-06,4.0,3.0
physics/0507132,"Antimatter weapons (1946-1986): From Fermi and Teller's speculations to
  the first open scientific publications",3.514585972640807e-06,0.0,3.0,4.0
physics/0207026,The Cyclic Universe: Some Historical Notes,3.459083919060167e-06,5.970548265480216e-06,6.0,1.0
quant-ph/0403199,"The Role of the Exclusion Principle for Atoms to Stars: A Historical
  Account",3.431318266430716e-06,0.0,3.0,0.0
physics/0701125,Quantum Mechanics: Bell and Quantum Entropy for the Classroom,3.357655290751536e-06,0.0,4.0,0.0
cond-mat/0606477,"Entropy, Nonequilibrium, Chaos and Infinitesimals",3.290670266787261e-06,0.0,2.0,2.0
physics/0504179,Einstein and Hilbert: The Creation of General Relativity,3.0472482127272877e-06,0.0,2.0,0.0
physics/0508009,"Dirac's wave mechanical theory of the electron and its field theoretical
  interpretation",3.0104312580252743e-06,0.0,4.0,9.0
physics/0508012,On the covariant formulation of Dirac's equation,3.0104312580252743e-06,0.0,4.0,9.0
hep-th/0407175,Benchmarks on the brane,2.99428772770054e-06,2.1903692953863067e-06,97.0,6.0
physics/0508013,"The conservation laws in the field theoretical representation of Dirac's
  theory",2.934033988243272e-06,0.0,4.0,7.0
hep-ph/9905430,Deformed Lorentz Symmetry and Ultra-High Energy Cosmic Rays,2.767457804656688e-06,3.6410446355121057e-06,8.0,25.0
gr-qc/0409054,What is a particle?,2.750048247790643e-06,2.393576296226515e-07,1.0,4.0
physics/0507194,On Symplectic Reduction in Classical Mechanics,2.716763194371024e-06,0.0,2.0,0.0
hep-th/0405040,Anomalies to All Orders,2.707776718981473e-06,1.7868961920476485e-05,5.0,16.0
physics/0603140,Majorana and the path-integral approach to Quantum Mechanics,2.693563489007369e-06,0.0,4.0,2.0
physics/0602146,"Teaching Theoretical Physics: the cases of Enrico Fermi and Ettore
  Majorana",2.6891628327128548e-06,0.0,4.0,2.0
physics/0005051,"Fiber Bundle Gauge Theories and ""Field's Dilemma""",2.647674170966689e-06,0.0,3.0,2.0
physics/0402094,"Antisymmetric Tensor Fields, 4-Potentials and Indefinite Metrics",2.5951882166299483e-06,0.0,3.0,0.0
cond-mat/0409542,"Heat can flow from cold to hot in Microcanonical Thermodynamics of
  finite systems. The microscopic origin of condensation and phase separations",2.5384626456976018e-06,0.0,3.0,1.0
physics/0605226,"Majorana: from atomic and molecular, to nuclear physics",2.4755437884666587e-06,0.0,3.0,0.0
physics/0612250,"The falling chain of Hopkins, Tait, Steele and Cayley",2.4711431321721443e-06,0.0,2.0,0.0
physics/0612253,Goedel and Physics,2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/0701180,"Twenty years of magnon Bose condensation and spin current superfluidity
  in 3He-B",2.4711431321721443e-06,0.0,1.0,1.0
physics/0612159,"Einstein and the Early Theory of Superconductivity, 1919-1922",2.4711431321721443e-06,0.0,1.0,0.0
quant-ph/0302041,P.A.M. Dirac and the Discovery of Quantum Mechanics,2.4711431321721443e-06,0.0,1.0,0.0
physics/0607137,On the Available Lunar and Solar Eclipses and Babylonian Chronology,2.4711431321721443e-06,0.0,1.0,0.0
quant-ph/0509061,"From Einstein's Theorem to Bell's Theorem: A History of Quantum
  Nonlocality",2.365092023674493e-06,7.428476167154587e-06,2.0,4.0
physics/0310104,"David Hilbert and the origin of the ""Schwarzschild solution""",2.3015121917864635e-06,0.0,5.0,1.0
physics/0309113,"Three Interesting 15th and 16th Century Comet Sightings in Kashmiri
  Chronicles",2.27910810532043e-06,0.0,3.0,0.0
physics/0604134,"The Landscape ""avant la lettre""",2.258891012187592e-06,3.8375228632003945e-07,9.0,6.0
physics/0402105,The Many Dimensions of Dimension,2.2275386894807364e-06,2.0709954729222006e-06,3.0,1.0
hep-ph/0412297,Remarks on the History of Quantum Chromodynamics,2.208237227394818e-06,2.6551023694865058e-08,2.0,5.0
physics/0601023,"Les structures fines de l'\'{e}lectromagn\'{e}tisme classique et de la
  relativit\'{e} restreinte (The fine structures of Classical Electromagnetism
  and Special Relativity)",2.120978933487838e-06,0.0,1.0,2.0
physics/0605001,Ettore Majorana: quantum mechanics of destiny,1.9910555650428585e-06,0.0,2.0,0.0
physics/0407137,Citation Statistics From More Than a Century of Physical Review,1.9334450569873443e-06,0.0,2.0,14.0
physics/0208068,Status of e-Print Servers,1.915868815634298e-06,0.0,3.0,0.0
physics/0512200,On the electrodynamics of moving bodies at low velocities,1.8950380516170012e-06,0.0,1.0,2.0
quant-ph/9806074,"On an attempt to resolve the EPR-Bell paradox via Reichenbachian concept
  of common cause",1.8950380516170012e-06,0.0,2.0,2.0
physics/0610154,"How Hilbert has found the Einstein equations before Einstein and
  forgeries of Hilbert's page proofs",1.8950380516170012e-06,0.0,1.0,1.0
astro-ph/0212511,"The Thermodynamical Arrow of Time: Reinterpreting the Boltzmann-Schuetz
  Argument",1.8477453373106569e-06,0.0,1.0,0.0
physics/0508195,Alexandru Proca (1897--1955) the Great Physicist,1.721831431587857e-06,0.0,1.0,1.0
physics/0702069,Would Bohr be born if Bohm were born before Born?,1.7195834566000715e-06,0.0,2.0,0.0
physics/0605007,"Singularity Theorems in General Relativity: Achievements and Open
  Questions",1.7052121910747863e-06,0.0,1.0,0.0
physics/0411042,The Particle Problem in Classical Gravity: A historical note on 1941,1.703003024765287e-06,0.0,1.0,0.0
physics/0512259,"Again on Majorana and the Thomas-Fermi model: a comment to
  physics/0511222",1.703003024765287e-06,0.0,1.0,3.0
astro-ph/0305344,Gauge Symmetry of the N-body Problem in the Hamilton-Jacobi Approach,1.6684367964194165e-06,0.0,2.0,9.0
astro-ph/0212245,"Implicit gauge symmetry emerging in the N-body problem of celestial
  mechanics",1.6497684721570012e-06,0.0,2.0,8.0
physics/0210005,"Notes on Landauer's principle, Reversible Computation and Maxwell's
  Demon",1.646716896205302e-06,0.0,2.0,3.0
physics/0612066,Cosmology in Portugal: The First 20 Years,1.640062481695145e-06,0.0,1.0,0.0
physics/0503084,Ettore Majorana's course on Theoretical Physics: a recent discovery,1.60698551133943e-06,0.0,1.0,5.0
hep-ph/0009044,Astrophysical neutrinos: 20th Century and Beyond,1.579847640071695e-06,0.0,3.0,5.0
physics/0403088,Minkowski space-time: a glorious non-entity,1.5328797650542105e-06,4.386906852881468e-06,1.0,1.0
physics/0103091,Neutrinos,1.5262891317958414e-06,2.019365848715705e-09,1.0,1.0
hep-th/0610228,Homage to Ettore Majorana,1.5169570574975277e-06,0.0,1.0,0.0
physics/9807044,"E. Noether's Discovery of the Deep Connection Between Symmetries and
  Conservation Laws",1.5109679979135728e-06,0.0,1.0,5.0
astro-ph/0209080,Solar Models: An Historical Overview,1.5090627444445068e-06,1.990182755160072e-06,3.0,8.0
