id,title,pagerank,betweenness,in_degree,out_degree
physics/0610285,Ultimate parameters of the photon collider at the ILC,2.8678904672724976e-05,0.0,11.0,0.0
physics/0604108,"The Photon collider at ILC: status, parameters and technical problems",1.4295358273243588e-05,1.3176744363336405e-06,15.0,4.0
hep-ph/0605255,"Probing neutrino oscillations from supernovae shock waves via the
  IceCube detector",1.243058148882236e-05,1.7398943856364425e-06,14.0,4.0
physics/0512235,SuperB: a linear high-luminosity B Factory,1.2041465536743534e-05,6.379969045991279e-06,51.0,9.0
physics/0702188,The X-ray Telescope of CAST,1.16568689565926e-05,4.433238208867398e-07,2.0,1.0
physics/0506078,"Cherenkov Radiation from $e^+e^-$ Pairs and Its Effect on $\nu_e$
  Induced Showers",1.1399412096519224e-05,0.0,4.0,0.0
physics/0601204,Studies for a Photon Collider at the ILC,1.09877824170115e-05,1.6415776022835406e-07,23.0,2.0
astro-ph/0209132,"A Polarization Sensitive Bolometric Detector for Observations of the
  Cosmic Microwave Background",1.0601727204383993e-05,2.058506297694112e-06,6.0,4.0
physics/0312061,Instrumentation,9.65335959879869e-06,1.990182755160072e-06,4.0,1.0
physics/0605215,Simulation of Heavily Irradiated Silicon Pixel Detectors,8.739808417747958e-06,0.0,6.0,0.0
physics/0502071,"Performance of a Large Area Avalanche Photodiode in a Liquid Xenon
  Ionization and Scintillation Chamber",8.643033862507523e-06,0.0,5.0,0.0
physics/0509233,"Design and performance of LED calibration system prototype for the lead
  tungstate crystal calorimeter",8.401216522803293e-06,0.0,6.0,0.0
physics/0411188,Multi-Terabyte EIDE Disk Arrays running Linux RAID5,7.02730233948498e-06,0.0,9.0,0.0
physics/0703247,The CNGS Neutrino Beam,6.902993612105887e-06,0.0,7.0,0.0
hep-ph/9909528,Detection of Slow Magnetic Monopole,6.624160102420268e-06,0.0,5.0,2.0
physics/0403030,"On the possiblity of detecting Solar pp-neutrino with a large volume
  liquid organic scintillator detector",6.481711430689475e-06,0.0,3.0,0.0
physics/0506202,"Electron/Pion Identification with ALICE TRD Prototypes using a Neural
  Network Algorithm",6.279859045925681e-06,0.0,3.0,0.0
hep-ex/0208046,SELEX RICH Performance and Physics Results,5.830711490418841e-06,1.33631494055898e-07,11.0,1.0
physics/0008214,"Predictions about the behaviour of diamond, silicon, SiC and some AIIIBV
  semiconductor materials in hadron fields",5.803550298689531e-06,0.0,4.0,0.0
physics/0611246,Optical Magnetometry,5.75283519350154e-06,0.0,5.0,0.0
physics/0610287,The Layout of the photon collider at the ILC,5.61175100842418e-06,0.0,4.0,0.0
physics/0406084,On the GNSS-R Interferometric Complex Field Coherence Time,5.4398385099767525e-06,0.0,4.0,0.0
hep-ph/0703320,"GASTOF: Ultra-fast ToF forward detector for exclusive processes at the
  LHC",5.266838310325894e-06,0.0,5.0,0.0
physics/0611278,"Nuclear Track Detectors for Environmental Studies and Radiation
  Monitoring",5.233117608880395e-06,0.0,3.0,0.0
physics/0609147,The effect of AM noise on correlation phase noise measurements,5.182433714622181e-06,0.0,1.0,0.0
nucl-ex/0604004,"Arguments for a ""U.S. Kamioka"": SNOLab and its Implications for North
  American Underground Science Planning",5.138750920515451e-06,0.0,5.0,0.0
quant-ph/0111067,"Mirror quiescence and high-sensitivity position measurements with
  feedback",4.875368806392533e-06,0.0,1.0,1.0
physics/0512082,The Measurement of AM noise of Oscillators,4.775563454392716e-06,0.0,3.0,1.0
physics/0509051,TPC Performance in Magnetic Fields with GEM and Pad Readout,4.775563454392716e-06,0.0,3.0,0.0
hep-ph/9809420,"Slow Magnetic Monopole: Interaction with Matter and New Possibility of
  Their Detection",4.767302992133277e-06,0.0,3.0,1.0
physics/0406114,Negative Ion Drift and Diffusion in a TPC near 1 Bar,4.763293536238168e-06,0.0,1.0,0.0
physics/0511221,Progress on a spherical TPC for low energy neutrino detection,4.731253943621584e-06,0.0,6.0,0.0
physics/0402073,"Ultrafast Resonant Polarization Interferometry: Towards the First Direct
  Detection of Vacuum Polarization",4.724382381044039e-06,0.0,4.0,0.0
physics/0406003,"Pattern Recognition and Data Compression for the ALICE High Level
  Trigger",4.709740878281549e-06,0.0,5.0,1.0
astro-ph/0005059,"Prospects for SIMPLE 2000: A large-mass, low-background Superheated
  Droplet Detector for WIMP searches",4.53163292826119e-06,0.0,5.0,2.0
physics/0608135,"On Field Emission in High Energy Colliders Initiated by a Relativistic
  Positively Charged Bunch of Particles",4.527116820765776e-06,0.0,2.0,0.0
math-ph/0305034,"Analytical calculation of the solid angle subtended by a circular disc
  detector at a point cosine source",4.527116820765776e-06,0.0,3.0,0.0
physics/0506115,Measuring the Beam Energy with Radiative Return Events,4.478958928989884e-06,0.0,4.0,1.0
physics/0603192,Sensor Simulation and position calibration for the CMS pixel detector,4.428597683848629e-06,0.0,4.0,1.0
astro-ph/0511470,"Dedicated Supernova Detection by a Network of Neutral Current Spherical
  TPC's",4.362358685363245e-06,0.0,11.0,0.0
hep-ex/0212034,"Towards Coherent Neutrino Detection Using Low-Background Micropattern
  Gas Detectors",4.317929204771675e-06,5.901570183160328e-06,6.0,7.0
physics/0504085,"Correlation of Beam Electron and LED Signal Losses under Irradiation and
  Long-term Recovery of Lead Tungstate Crystals",4.301153975437693e-06,0.0,6.0,1.0
physics/0411122,"Studies of beam offset due to beam-beam interactions at a warm linear
  collider",4.199458373837573e-06,0.0,3.0,0.0
physics/0411214,Fluence Dependence of Charge Collection of irradiated Pixel Sensors,4.1625165271459504e-06,0.0,3.0,2.0
physics/0611084,Nuclear Track Detectors for Particle Searches,4.073488254225988e-06,0.0,3.0,0.0
physics/0701277,"Can a charged ring levitate a neutral, polarizable object? Can
  Earnshaw's Theorem be extended to such objects?",4.031818775949311e-06,0.0,1.0,0.0
physics/0310124,GEM Operation in Negative Ion Drift Gas Mixtures,4.022738138513171e-06,1.990182755160072e-06,2.0,1.0
physics/0412036,Extraction of electric field in heavily irradiated silicon pixel sensors,4.016184504991788e-06,0.0,2.0,6.0
physics/0501002,"Detection of liquid xenon scintillation light with a Silicon
  Photomultiplier",3.937362464982342e-06,0.0,2.0,1.0
physics/0306020,The dispersion formula and the light group velocity in a water,3.902518588824411e-06,0.0,5.0,0.0
physics/0702181,Building CMS Pixel Barrel Detectur Modules,3.785742472769731e-06,0.0,1.0,0.0
hep-ph/0112254,Fundamental physics at an X-ray free electron laser,3.780094236258151e-06,3.8936936337439456e-05,10.0,16.0
nucl-ex/0701012,"Large-Mass Ultra-Low Noise Germanium Detectors: Performance and
  Applications in Neutrino and Astroparticle Physics",3.750619509868317e-06,0.0,2.0,0.0
physics/0101075,"Cryogenic measurement of the optical absorption coefficient in sapphire
  crystals at 1.064(micro)m for the Large-scale Cryogenic Gravitational wave
  Telescope",3.6848575005695874e-06,0.0,2.0,0.0
physics/0506132,The Cleo Rich Detector,3.6741700279952215e-06,3.991949935632922e-06,8.0,8.0
physics/9812025,"Imaging Hybrid Photon Detectors with Minimized Dead Area and Protection
  Against Positive Ion Feedback",3.62335329328243e-06,0.0,2.0,0.0
