id,title,pagerank,betweenness,in_degree,out_degree
physics/0603025,Visual Saliency and Attention as Random Walks on Complex Networks,1.0695741557259216e-05,7.4260550565674335e-09,4.0,1.0
physics/0512148,"Analytical expressions for the longitudinal evolution of nondiffracting
  pulses truncated by finite apertures",3.62335329328243e-06,0.0,2.0,0.0
quant-ph/0306021,"The Model of the Theory of the Quantum Brain Dynamics can be cast on the
  Heisenberg Spin Hamiltonian",3.541461220115034e-06,0.0,3.0,0.0
physics/0312114,Nonlinear optical contrast enhancement for optical coherence tomography,3.4930843036925227e-06,0.0,2.0,1.0
physics/0310125,"Response of Autonomic Nervous System to Body Positions: Fourier and
  Wavelet Analysis",3.3749066596554898e-06,0.0,1.0,0.0
physics/0607024,"The dual-dose imaging technique: a way to enhance the dynamic range of
  X-ray detectors",3.3749066596554898e-06,0.0,1.0,0.0
physics/0205043,On the Kinematics of Protein Folding,3.035995336849235e-06,0.0,1.0,0.0
physics/0303041,Non-linear and scale-invariant analysis of the Heart Rate Variability,2.7015851643942016e-06,0.0,2.0,0.0
physics/0310118,"Direct reconstruction of the effective atomic number of materials by the
  method of multi-energy radiography",2.4711431321721443e-06,0.0,1.0,0.0
physics/0108011,Algorithm for Finding Optimal Gene Sets in Microarray Prediction,2.4711431321721443e-06,0.0,1.0,0.0
physics/0503053,"Nonlinear Statistical Modelling and Model Discovery for
  Cardiorespiratory Data",2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/0602183,Nonlinear parametric model for Granger causality of time series,2.4711431321721443e-06,0.0,1.0,0.0
physics/0607021,"The dual-gain mode: a way to enhance the dynamic range of X-ray
  detectors",2.4711431321721443e-06,0.0,1.0,1.0
physics/0008016,Heart Rate Variability: Measures and Models,2.4711431321721443e-06,0.0,1.0,1.0
physics/0411141,Estimation of time delay by coherence analysis,2.4711431321721443e-06,0.0,1.0,0.0
physics/0311057,Coherent Anti-Stokes Raman Scattering Heterodyne Interferometry,2.4060086373771908e-06,0.0,1.0,2.0
physics/9806032,Wavelet Analysis of Blood Pressure Waves in Vasovagal Syncope,2.117351529821976e-06,0.0,1.0,0.0
physics/0406051,"Effects of T2 Relaxation and Diffusion on Longitudinal Magnetization
  State and Signal Build for HOMOGENIZED Cross Peaks",1.8950380516170012e-06,0.0,1.0,0.0
physics/0507103,Nuclear Magnetic Resonance with the Distant Dipolar Field,1.8950380516170012e-06,0.0,1.0,0.0
physics/0101002,"Laser Induced Heat Diffusion Limited Tissue Coagulation: Problem and
  General Properties",1.8295080725031696e-06,0.0,1.0,1.0
