id,title,pagerank,betweenness,in_degree,out_degree
quant-ph/0702069,Entanglement of Gaussian states,7.087483376295203e-05,6.911855839937879e-07,45.0,1.0
quant-ph/0701221,"Entanglement in continuous variable systems: Recent advances and current
  perspectives",6.902398812265861e-05,2.498256512854964e-05,20.0,4.0
quant-ph/0609071,"Optical state engineering, quantum communication, and robustness of
  entanglement promiscuity in three-mode Gaussian states",5.377908440475896e-05,0.0,6.0,2.0
quant-ph/0609178,"Coexistence of unlimited bipartite and genuine multipartite
  entanglement: Promiscuous quantum correlations arising from discrete to
  continuous variable systems",4.720848124746504e-05,1.852810879226397e-05,5.0,4.0
hep-ex/0108012,"TESLA Technical Design Report, Part VI, Chapter 1: The Photon Collider
  at TESLA",3.672963180455395e-05,8.26948383210622e-05,111.0,103.0
physics/0210028,Analogies between light optics and charged-particle optics,3.240729282834866e-05,0.0,12.0,1.0
physics/0210027,Wavelength-Dependent Effects in Maxwell Optics,3.240729282834866e-05,0.0,12.0,1.0
quant-ph/0510234,"Quantization of the canonically conjugate pair angle and orbital angular
  momentum",2.991114289730689e-05,5.721351075081976e-06,7.0,5.0
physics/0609120,"Time invariance violation is a physical base of atomic Bloch
  oscillations in an optical lattice",2.463813276373924e-05,1.9827567001035044e-06,6.0,1.0
physics/0612089,"Comment on ""Beam-splitters don't have memory: a comment on ""Event-based
  corpuscular model for quantum optics experiments"" by K.Michielsen et al.""",2.2689695855599984e-05,1.4852110113134864e-08,4.0,1.0
physics/0404022,"On the generation and the nonlinear dynamics of X-waves of the
  Schroedinger equation",1.5899227562724447e-05,0.0,11.0,0.0
physics/0612173,"Observable effects caused by vacuum pair creation in the field of
  high-power optical lasers",1.5332020402683864e-05,0.0,2.0,0.0
physics/0008028,Spatial coherence of thermal near fields,1.4458194429798236e-05,0.0,2.0,0.0
quant-ph/0409130,"Quantum X-waves in Kerr media and the progressive undistorted squeezed
  vacuum",1.1698036362575029e-05,0.0,5.0,0.0
physics/0112085,Quantum mechanical formalism of particle beam optics,1.1528397248240938e-05,0.0,8.0,4.0
cond-mat/0607418,General Relativity in Electrical Engineering,1.113147442603618e-05,0.0,3.0,1.0
physics/0611193,"Signature of ray chaos in quasi-bound wave functions for a
  stadium-shaped dielectric cavity",1.1126970378645718e-05,0.0,4.0,0.0
physics/0506023,The arrow of time in quantum mechanics and in nonlinear optics,1.0272177210135384e-05,6.947074505418833e-06,9.0,3.0
physics/0210107,Nonlinear Magneto-Optical Rotation of Elliptically Polarized Light,1.023711045002856e-05,0.0,6.0,0.0
physics/0402110,"Topological spin transport of photons: the optical Magnus Effect and
  Berry Phase",1.0073112181270312e-05,2.7716703866894946e-06,3.0,7.0
physics/0611233,Phase retrieval and saddle-point optimization,9.8487729979601e-06,0.0,6.0,0.0
