source,target
astro-ph/0205284,astro-ph/0205286
astro-ph/0205282,astro-ph/0205286
astro-ph/0001001,astro-ph/0205286
physics/9806027,hep-ph/0112254
astro-ph/0001001,astro-ph/0211031
physics/0507125,physics/0507114
nlin/0307039,physics/0305112
physics/0507114,physics/0507125
physics/9807049,physics/9807050
physics/9807050,physics/9807049
physics/0604023,physics/0508109
physics/0603070,physics/0508109
physics/0305112,nlin/0307039
physics/0402035,physics/0404087
physics/0003083,physics/0009061
astro-ph/0006326,astro-ph/0010055
astro-ph/0205286,astro-ph/0301062
astro-ph/0211031,astro-ph/0301062
astro-ph/0411781,astro-ph/0501362
nucl-th/0010028,nucl-th/0010027
physics/0508109,physics/0603070
nucl-th/0010027,nucl-th/0010028
nucl-th/0012040,cond-mat/0005287
physics/0206049,physics/0212066
physics/0508109,physics/0604023
physics/0603070,physics/0604023
astro-ph/9710173,astro-ph/9807078
physics/0504207,astro-ph/0511290
physics/0404087,physics/0410102
astro-ph/9710173,physics/9809001
astro-ph/9807078,physics/9809001
physics/0512213,physics/0601077
physics/0509069,physics/0602126
physics/9911056,physics/0501084
physics/0206049,physics/0212115
physics/0410102,physics/0503197
astro-ph/0511290,astro-ph/0602382
plasm-ph/9511001,physics/9706041
physics/0701139,physics/0701332
physics/0502051,physics/0610262
astro-ph/0503053,physics/0505183
physics/0504207,physics/0505183
physics/0503008,physics/0506069
physics/0110023,physics/0204087
physics/0111014,physics/0205035
physics/0404087,physics/0411207
physics/0212066,quant-ph/0406009
physics/0405002,physics/0405095
physics/0102065,physics/0405095
astro-ph/0002067,physics/0605016
astro-ph/9710173,physics/0112018
physics/0409125,physics/0605122
physics/0411207,physics/0509199
physics/0404087,physics/0509199
physics/0503197,physics/0509199
physics/0112018,astro-ph/0511430
astro-ph/9807078,astro-ph/0511430
hep-ph/0310114,hep-ph/0409213
physics/0310017,physics/0402010
quant-ph/0401045,physics/0402010
physics/0311131,physics/0402010
physics/9911055,cond-mat/0008208
cond-mat/0409325,cond-mat/0506560
nlin/0209042,math-ph/0703016
astro-ph/9803088,astro-ph/9803240
astro-ph/0703542,astro-ph/0703572
physics/0110045,hep-ph/0112052
physics/0207074,astro-ph/0611702
cond-mat/0005287,nucl-th/0102059
astro-ph/0511430,nucl-th/0512066
physics/0510053,astro-ph/0603348
physics/0501124,astro-ph/0508502
physics/9907004,physics/0003089
cond-mat/0005287,physics/0005050
physics/0003109,physics/0007004
physics/0003083,physics/0009086
physics/0105017,physics/0105019
physics/0006072,physics/0109026
physics/0207035,physics/0207040
physics/0111014,physics/0208098
physics/0205035,physics/0208098
physics/0204087,physics/0210046
physics/0110023,physics/0210046
physics/0211013,physics/0212076
physics/0203044,physics/0306157
nlin/0307039,physics/0311095
physics/0305129,physics/0311138
physics/0311116,physics/0403060
physics/0403081,physics/0404127
physics/0402045,physics/0409082
astro-ph/0308012,astro-ph/0502345
physics/0409095,physics/0409100
physics/0407138,physics/0410019
physics/0405125,physics/0410019
physics/0406059,physics/0410089
physics/0410090,physics/0410139
physics/0405030,physics/0411023
physics/0405030,physics/0411051
physics/0410159,physics/0412025
physics/0212115,physics/0501011
physics/0212066,physics/0501011
physics/0412136,physics/0501019
astro-ph/0309230,physics/0502028
physics/0405125,physics/0503018
physics/0501020,physics/0503155
physics/0504005,physics/0505129
physics/0501020,physics/0506099
physics/0506069,physics/0508217
physics/0505078,physics/0509028
physics/0501084,physics/0509168
physics/0501124,physics/0509182
hep-ph/0509154,physics/0512049
physics/0502051,physics/0601212
quant-ph/0406010,physics/0603167
quant-ph/0406009,physics/0603167
physics/0212066,physics/0603167
quant-ph/0406010,physics/0603169
physics/0212066,physics/0603169
physics/0601044,physics/0604228
astro-ph/0002067,physics/0606159
astro-ph/0002067,physics/0607073
physics/0605016,physics/0607073
physics/0001016,physics/0607269
physics/0405095,physics/0608304
physics/0102065,physics/0608304
physics/0409070,physics/0608304
physics/0307148,physics/0609051
physics/0611131,physics/0611032
physics/0601077,physics/0611152
physics/0405091,physics/0611169
physics/0612062,physics/0701011
physics/0612062,physics/0701253
physics/0612243,physics/0701253
physics/0701332,physics/0702177
physics/0701139,physics/0702177
nlin/0209042,physics/0702203
physics/0612063,physics/0703155
physics/0610262,physics/0703177
physics/9709018,physics/9709021
plasm-ph/9511001,physics/9712013
physics/9706041,physics/9712013
patt-sol/9706001,physics/9804014
physics/9808035,physics/9809018
physics/9808032,physics/9809018
physics/9810027,physics/9810026
astro-ph/0303354,astro-ph/0305069
physics/0207074,astro-ph/0212124
physics/0405125,quant-ph/0501059
physics/0402010,quant-ph/0501059
physics/0410016,quant-ph/0501059
physics/0311131,quant-ph/0501059
astro-ph/0008399,astro-ph/0012316
hep-ph/0611228,hep-ph/0702245
