id,title,pagerank,betweenness,in_degree,out_degree
physics/0505042,Zeno meets modern science,2.742051205138347e-05,0.0,11.0,0.0
physics/0509184,Creativity leading to discoveries in particle physics and relativity,2.628695371814842e-05,1.990182755160072e-06,16.0,1.0
physics/0608188,"Unification, the Big Bang, and the Cosmological Constant",2.58526682384496e-05,0.0,36.0,0.0
physics/0507182,"On simulations of the classical harmonic oscillator equation by
  difference equations",1.2499674253980368e-05,1.990182755160072e-06,1.0,1.0
physics/0612171,Three Questions on Lorentz Violation,1.1525272878498498e-05,0.0,2.0,0.0
astro-ph/0310214,"Observational Cosmology: caveats and open questions in the standard
  model",1.034275695132656e-05,4.641284410354646e-09,15.0,2.0
astro-ph/0612266,The twin paradox on the photon sphere,9.35386173070371e-06,0.0,1.0,0.0
hep-th/0205259,Inflationary Theory versus Ekpyrotic/Cyclic Scenario,9.03483047634861e-06,2.625959493604511e-05,75.0,26.0
physics/0106053,The Dark Universe: The First Molecules,7.652733008906002e-06,0.0,3.0,0.0
physics/0311037,Quantum Gravity Phenomenology,7.190270889021792e-06,2.2882127656369495e-07,38.0,2.0
physics/0703062,How to Create Black Holes on Earth?,7.077970675088961e-06,0.0,22.0,0.0
physics/0608059,"Cinema Fiction vs Physics Reality: Ghosts, Vampires and Zombies",6.894650563261414e-06,0.0,5.0,0.0
physics/0401142,Magnetic Backgrounds and Noncommutative Field Theory,6.8546737562940135e-06,1.2887845734000783e-05,52.0,11.0
physics/0703141,Research News -- Meson scattering at high precision,6.413219104010443e-06,0.0,12.0,0.0
physics/0604064,Four variations on Theoretical Physics by Ettore Majorana,6.218005682376471e-06,0.0,7.0,0.0
physics/9702014,Aging Random Walks,5.138220726616036e-06,0.0,6.0,0.0
gr-qc/0605124,New 'phase' of quantum gravity,4.967339487081527e-06,1.0151037184056145e-07,3.0,1.0
physics/0006023,Astrophysical Dynamics 1999/2000: Merging Research and Education,4.511183159451421e-06,0.0,3.0,0.0
physics/0006024,The quest for the neutrino mass spectrum,4.300590441868335e-06,7.150540898694408e-06,16.0,6.0
physics/0512098,Interdisciplinary Monte Carlo Simulations,4.2828738829633365e-06,0.0,3.0,0.0
physics/0609137,"Hole theory and Quantum Electrodynamics in an unknown French manuscript
  by Ettore Majorana",4.219578365902143e-06,0.0,4.0,0.0
physics/0607099,Un manoscritto inedito in francese di Ettore Majorana,4.219578365902143e-06,0.0,4.0,0.0
hep-th/0503069,Determinism and a supersymmetric classical model of quantum fields,3.875200048851571e-06,0.0,7.0,0.0
hep-th/0211048,"Inflation, Quantum Cosmology and the Anthropic Principle",3.783209228588805e-06,0.000110029124102,29.0,31.0
physics/0507192,On Symmetry and Conserved Quantities in Classical Mechanics,3.72724656423951e-06,0.0,4.0,0.0
quant-ph/0204088,The Wave Function: It or Bit?,3.697060511604968e-06,6.724953500811402e-05,6.0,10.0
physics/0508123,The importance of the observer in science,3.4738430408456984e-06,0.0,3.0,0.0
physics/0303116,Neutrino Oscillations for Dummies,3.417155115241653e-06,2.956245008428072e-08,3.0,1.0
physics/0505071,"How does Europe Make Its Mind Up? Connections, cliques, and
  compatibility between countries in the Eurovision Song Contest",3.1256142672014795e-06,1.3931279286120504e-05,2.0,3.0
physics/0511135,The Real Message in the Sky,3.107107116560178e-06,2.1279736382525235e-06,2.0,2.0
hep-ph/0110122,The Enigma of the Dark Matter,2.985809729434276e-06,2.1181214572598497e-06,8.0,15.0
physics/0605096,"The Fermi Paradox in the light of the Inflationary and Brane World
  Cosmologies",2.9255807147019253e-06,0.0,3.0,0.0
physics/0512062,"A Solution to the Fermi Paradox: The Solar System, part of a Galactic
  Hypercivilization?",2.9255807147019253e-06,0.0,3.0,0.0
physics/0111134,"Photons, Clocks, Gravity and the Concept of Mass",2.8823378698908707e-06,0.0,2.0,1.0
