source,target
physics/0007040,cond-mat/0011144
physics/0503128,physics/0502118
physics/0502118,physics/0503128
cond-mat/0608670,cond-mat/0604409
physics/0507106,cond-mat/0604409
cs/0511035,cond-mat/0601240
cs/0511016,physics/0604130
cond-mat/0602081,physics/0604130
physics/0407137,physics/0604130
physics/0508203,physics/0508156
physics/0602137,physics/0602173
cond-mat/0412411,physics/0505071
physics/0502066,physics/0505071
physics/0602149,physics/0602026
physics/0508027,physics/0602026
hep-th/9710148,cond-mat/9806138
physics/0302071,gr-qc/0303070
gr-qc/0009081,gr-qc/0303070
cond-mat/0604409,cond-mat/0608670
physics/0506066,physics/0508178
physics/0507154,physics/0509134
physics/0505071,physics/0509134
physics/0508234,physics/0509134
physics/0508233,physics/0509134
hep-th/9710148,hep-th/9712034
physics/0602026,physics/0602149
physics/0602173,physics/0604083
cond-mat/0501335,physics/0507006
physics/0505071,physics/0507154
cs/0511005,cond-mat/0602081
physics/0506126,physics/0510117
physics/0505087,physics/0510117
physics/0509119,physics/0508027
cond-mat/0603718,physics/0607100
physics/0601144,physics/0607100
physics/0508156,physics/0603084
physics/0509194,physics/0603084
physics/0510007,physics/0603084
physics/0407137,physics/0603229
physics/0602137,cond-mat/0605024
physics/0605054,physics/0606256
q-bio/0603010,physics/0606256
cond-mat/0310503,physics/0502005
physics/0509075,physics/0511201
physics/0507201,physics/0508229
physics/0505197,physics/0508229
physics/0502144,physics/0508229
physics/0503238,physics/0508229
physics/0507154,physics/0508233
physics/0509134,physics/0508233
physics/0505071,physics/0508233
physics/0509107,physics/0508233
physics/0502144,physics/0503238
physics/0505087,physics/0506126
physics/0510117,physics/0506126
cond-mat/0501368,physics/0504059
physics/0508229,physics/0510249
cond-mat/0501413,physics/0504153
cond-mat/0603718,physics/0503138
physics/0511073,physics/0503138
cs/0511016,physics/0604203
physics/0604130,physics/0604203
physics/0602039,physics/0605250
physics/0603007,physics/0605250
physics/0504190,physics/0612225
physics/0508178,physics/0511220
cond-mat/0603718,physics/0608255
physics/0607100,physics/0608255
physics/0603024,physics/0603186
cond-mat/0409773,physics/0605054
physics/0606256,physics/0605054
physics/0604187,physics/0605054
physics/0601203,physics/0605054
physics/0507006,physics/0605251
physics/0605116,physics/0605251
cond-mat/0412411,physics/0504009
physics/0503017,physics/0508234
physics/0507154,physics/0508234
physics/0501073,physics/0501160
physics/0602124,physics/0605087
cond-mat/0603718,physics/0605087
physics/0601144,physics/0605087
physics/0601057,physics/0605087
cond-mat/0409773,physics/0506074
cond-mat/0302095,cond-mat/0312121
physics/0506072,physics/0601098
physics/0503157,physics/0601098
physics/0508156,physics/0606161
physics/0508203,physics/0606161
physics/0508156,physics/0510058
physics/0503139,physics/0510058
physics/0508203,physics/0510058
physics/0503157,physics/0506072
physics/0502118,physics/0512144
cond-mat/0412004,physics/0601091
physics/0208046,physics/0509206
physics/0305089,physics/0602097
physics/0508025,physics/0508113
physics/0407137,physics/0508113
cond-mat/0308017,cond-mat/0312489
cond-mat/0302095,cond-mat/0312489
physics/0604130,physics/0612148
physics/0604187,physics/0610138
physics/0606256,physics/0610138
cond-mat/0601240,physics/0609241
physics/0601176,physics/0607258
physics/0603141,physics/0607258
physics/0601160,physics/0603215
physics/0509075,physics/0603215
physics/0601203,physics/0602077
physics/0509205,physics/0510071
physics/0510052,physics/0510071
physics/0401110,physics/0510071
physics/0301059,physics/0510071
physics/0504059,cond-mat/0505245
cond-mat/0310503,cond-mat/0404521
physics/0504163,physics/0510162
physics/0305089,cond-mat/0503607
physics/0510071,physics/0509205
physics/0510052,physics/0509205
physics/0301059,physics/0509205
physics/0508228,physics/0606166
physics/0511084,physics/0606166
physics/0602077,physics/0606166
physics/0506072,physics/0603103
physics/0503157,physics/0603103
physics/0601098,physics/0603103
physics/0507106,physics/0510151
physics/0510162,physics/0510151
physics/0510198,physics/0510151
physics/0510194,physics/0510151
cond-mat/0503697,physics/0512011
physics/0509134,physics/0509107
physics/0508233,physics/0509107
cond-mat/0501413,physics/0505115
cond-mat/0409773,physics/0503061
physics/0407137,physics/0503061
physics/0509205,physics/0510052
physics/0301059,physics/0510052
physics/0510071,physics/0510052
physics/0502119,physics/0503024
physics/0505031,physics/0509119
physics/0509194,physics/0608032
physics/0603084,physics/0608032
physics/0301023,physics/0303028
physics/0502014,physics/0510198
physics/0407137,physics/0510198
physics/0507106,physics/0510194
physics/0506074,physics/0510194
physics/0510151,physics/0510194
cond-mat/0306335,cond-mat/0505232
physics/0503115,physics/0503199
physics/0608303,physics/0609031
physics/0604083,physics/0609031
physics/0510064,physics/0609031
physics/0502014,physics/0506106
cond-mat/0501413,physics/0507136
physics/0603152,physics/0606107
cond-mat/0412004,physics/0508206
cond-mat/0403051,physics/0508206
physics/0504029,physics/0508206
physics/0602039,physics/0604103
physics/0604083,physics/0604066
physics/0510117,physics/0510216
physics/0506126,physics/0510216
physics/0508222,physics/0601096
physics/0602033,physics/0703266
physics/0702077,physics/0703266
physics/0607098,physics/0703266
physics/0607139,physics/0703266
physics/0702031,physics/0703266
physics/0503115,cond-mat/0503702
physics/0503085,cond-mat/0503702
physics/0501073,cond-mat/0503702
physics/0501160,cond-mat/0503702
physics/0603186,physics/0603024
physics/0509235,physics/0603024
cond-mat/0412004,cond-mat/0502253
cond-mat/0503697,physics/0504029
physics/0509039,physics/0702077
physics/0612025,physics/0702077
physics/0703266,physics/0702077
physics/0603103,physics/0605138
physics/0601098,physics/0605138
physics/0502005,physics/0503177
cond-mat/0310503,physics/0503177
physics/0508145,physics/0509172
physics/0507151,physics/0509172
physics/0505115,physics/0509172
cond-mat/0412411,physics/0509090
physics/0503061,physics/0509247
physics/0510007,physics/0602015
physics/0502014,physics/0606007
physics/0507073,physics/0605146
physics/0603061,physics/0605146
physics/0603036,physics/0609093
physics/0507022,physics/0608299
physics/0510007,physics/0608299
physics/0605183,physics/0611276
physics/0509075,cond-mat/0606125
cond-mat/0502253,physics/0509183
physics/0506204,physics/0509183
physics/0501073,physics/0503085
physics/0501160,physics/0503085
cond-mat/0412004,physics/0504034
physics/0504059,physics/0512106
cond-mat/0501368,physics/0512106
cond-mat/0505245,physics/0607271
cond-mat/0601240,cond-mat/0602611
cond-mat/0602129,cond-mat/0602611
physics/0606005,physics/0701008
cond-mat/0607196,physics/0608052
physics/0611158,physics/0612035
cs/0511035,physics/0604193
physics/0601118,physics/0604193
cond-mat/0501413,physics/0506028
physics/0504153,physics/0506028
cs/0611137,physics/0701168
physics/0511220,physics/0607131
physics/0305089,physics/0503230
physics/0503115,physics/0503230
physics/0508156,physics/0512193
physics/0508203,physics/0512193
physics/0510058,physics/0512193
physics/0603084,physics/0701017
physics/0508156,physics/0603098
physics/0510058,physics/0603098
physics/0508156,physics/0608018
physics/0407137,physics/0503036
cond-mat/0601240,cond-mat/0509102
physics/0503085,cond-mat/0505318
physics/0501073,cond-mat/0505318
cond-mat/0503702,cond-mat/0505318
physics/0501160,cond-mat/0505318
physics/0502005,cond-mat/0503421
physics/0504198,cond-mat/0501059
cond-mat/0011144,cond-mat/0406425
cond-mat/0104487,cond-mat/0405216
cond-mat/0404416,cond-mat/0402389
cond-mat/0212037,cond-mat/0212338
physics/0605250,math/0609626
physics/0504034,nlin/0609033
nlin/0505009,nlin/0610040
physics/0601144,nlin/0610057
physics/0701168,cs/0702048
physics/0605220,cs/0608088
physics/0602124,cs/0606060
hep-th/9710148,cond-mat/9811197
cond-mat/9806138,cond-mat/9811197
physics/9906028,physics/0006023
