source,target
gr-qc/9808081,gr-qc/0104064
astro-ph/0205284,astro-ph/0205286
astro-ph/0205282,astro-ph/0205286
astro-ph/0001001,astro-ph/0205286
gr-qc/0304011,gr-qc/0507041
gr-qc/0412057,gr-qc/0507041
astro-ph/9809101,astro-ph/9812025
gr-qc/0001043,physics/0001035
gr-qc/0001042,physics/0001035
gr-qc/0304011,gr-qc/0412057
gr-qc/0206074,gr-qc/0209027
gr-qc/0507041,gr-qc/0701042
gr-qc/0209027,gr-qc/0206074
gr-qc/0212005,gr-qc/0410110
gr-qc/0203099,gr-qc/0410110
gr-qc/0308022,gr-qc/0410110
gr-qc/9908081,gr-qc/0410110
gr-qc/0007015,gr-qc/0410110
gr-qc/0203050,gr-qc/0410110
gr-qc/0309092,gr-qc/0410110
gr-qc/0304011,gr-qc/0410110
physics/0301047,gr-qc/0311020
astro-ph/0109032,astro-ph/0403382
gr-qc/9808081,physics/0502123
gr-qc/0104064,physics/0502123
gr-qc/0507041,gr-qc/0508047
physics/0301047,gr-qc/0410044
gr-qc/0311020,gr-qc/0410044
gr-qc/0304011,gr-qc/0308022
gr-qc/0311020,gr-qc/0409111
gr-qc/0701042,gr-qc/0701159
gr-qc/0701146,gr-qc/0701159
gr-qc/0507041,gr-qc/0508112
astro-ph/0203152,astro-ph/0211067
hep-ph/0207175,astro-ph/0211067
astro-ph/9911138,astro-ph/0211067
gr-qc/0104064,astro-ph/0211067
gr-qc/0308022,gr-qc/0411084
gr-qc/0309092,gr-qc/0411084
gr-qc/0304011,gr-qc/0411084
astro-ph/0203152,hep-ph/0207175
gr-qc/0104064,hep-ph/0207175
gr-qc/0209027,gr-qc/0203050
gr-qc/0701042,gr-qc/0608105
gr-qc/0507041,gr-qc/0608105
gr-qc/0507041,gr-qc/0609023
gr-qc/0206074,gr-qc/0207100
astro-ph/0211067,astro-ph/0301229
astro-ph/0203152,astro-ph/0301229
hep-ph/0207175,astro-ph/0301229
astro-ph/9911138,astro-ph/0301229
gr-qc/0104064,astro-ph/0301229
gr-qc/0304011,gr-qc/0210065
astro-ph/0109032,gr-qc/0111086
gr-qc/0308022,gr-qc/0508012
gr-qc/0210065,gr-qc/0508012
gr-qc/0309092,gr-qc/0508012
gr-qc/0304011,gr-qc/0508012
gr-qc/0412057,gr-qc/0508012
gr-qc/0203050,gr-qc/0212005
gr-qc/0608105,gr-qc/0608127
gr-qc/0608068,gr-qc/0608127
gr-qc/0608101,gr-qc/0608127
gr-qc/9808081,gr-qc/0606063
gr-qc/0104064,gr-qc/0605078
gr-qc/0104064,astro-ph/0401136
gr-qc/0609112,gr-qc/0612056
gr-qc/0608127,gr-qc/0611081
gr-qc/0608101,gr-qc/0611081
gr-qc/0610050,gr-qc/0611081
gr-qc/0608105,gr-qc/0611081
gr-qc/0611120,gr-qc/0611126
gr-qc/0612022,gr-qc/0611126
gr-qc/0609023,gr-qc/0612160
gr-qc/0701042,gr-qc/0703042
gr-qc/0701159,gr-qc/0703042
gr-qc/0111086,gr-qc/0206073
gr-qc/0203099,gr-qc/0206073
gr-qc/0209027,gr-qc/0206073
gr-qc/0206074,gr-qc/0206073
astro-ph/0403382,gr-qc/0405053
astro-ph/0109032,gr-qc/0105014
astro-ph/0703542,astro-ph/0703572
physics/0212073,physics/0212072
physics/0408021,physics/0410007
gr-qc/0309092,physics/0411189
gr-qc/0304011,physics/0411189
gr-qc/0308022,physics/0411189
physics/0509058,physics/0511096
physics/0602164,physics/0606003
astro-ph/0002067,physics/0607073
physics/9804026,physics/9804027
gr-qc/0210065,gr-qc/0608119
gr-qc/0308022,gr-qc/0608119
gr-qc/0412057,gr-qc/0608119
gr-qc/0309092,gr-qc/0608119
gr-qc/0304011,gr-qc/0608119
gr-qc/0507041,gr-qc/0608119
