id,title,pagerank,betweenness,in_degree,out_degree
gr-qc/0606063,"APSIS - an Artificial Planetary System in Space to probe
  extra-dimensional gravity and MOND",5.585716027371083e-05,4.161602308115272e-06,68.0,3.0
nucl-th/0612048,Threshold meson production and cosmic ray transport,2.3985700666728527e-05,0.0,1.0,0.0
astro-ph/9911138,Cosmic Gamma-ray Bursts. Lectures Presented at XXVII ITEP Winter School,1.537058389725637e-05,0.0002307462194185,25.0,35.0
astro-ph/0401136,The Self Creation challenge to the cosmological 'concordance model',1.4848101621920793e-05,5.5467111425072727e-08,13.0,1.0
gr-qc/0505074,"A general relativistic effect in quasi-spherical objects as the possible
  origin of relativistic jets",1.4753052924933127e-05,0.0,8.0,0.0
gr-qc/0104064,Study of the anomalous acceleration of Pioneer 10 and 11,1.3745243349364934e-05,7.284795160341452e-05,32.0,85.0
astro-ph/0205286,MHD Turbulence: Scaling Laws and Astrophysical Implications,1.353522274472162e-05,5.765923004238475e-05,14.0,21.0
gr-qc/0601055,"What do the orbital motions of the outer planets of the Solar System
  tell us about the Pioneer anomaly?",1.189261188655936e-05,3.081519474631403e-07,6.0,6.0
astro-ph/0606641,Testing Relativity at High Energies Using Spaceborne Detectors,1.1417753619296288e-05,0.0,4.0,0.0
gr-qc/0105079,"Testing the gravitomagnetic clock effect on the Earth with neutron
  interferometry",1.1107011044962758e-05,0.0,3.0,1.0
gr-qc/0410110,"Some comments about a recent paper on the measurement of the general
  relativistic Lense-Thirring effect in the gravitational field of the Earth
  with the laser-ranged LAGEOS and LAGEOS II satellites",1.0912384095351636e-05,7.960731020640288e-06,10.0,2.0
astro-ph/0101289,"X-rays from the environment of supermassive black holes in active
  galaxies",1.0365779099711142e-05,1.0005698612926011e-05,6.0,4.0
gr-qc/0605118,Quasinormal ringing of Kerr black holes: The excitation factors,1.0354114062025464e-05,2.65139357376219e-06,8.0,4.0
astro-ph/0604430,Neutrino Astronomy and Cosmic Rays Spectroscopy at Horizons,9.623747332434578e-06,0.0,11.0,0.0
astro-ph/0703542,"Kinetic Effects on Turbulence Driven by the Magnetorotational
  Instability in Black Hole Accretion",9.186669610890924e-06,1.990182755160072e-06,4.0,1.0
gr-qc/0610050,"Can the Pioneer anomaly be of gravitational origin? A phenomenological
  answer",8.86339689820178e-06,5.225595903116832e-06,5.0,5.0
astro-ph/0703572,Electron Heating in Hot Accretion Flows,8.423438802073987e-06,0.0,1.0,0.0
astro-ph/0603519,"GRBs, SGRs by UHE leptons showering, blazing and re-brightening by
  precessing Gamma Jets in-off axis",8.224967833289661e-06,0.0,9.0,1.0
astro-ph/0604491,Gravitational Field of Fractal Distribution of Particles,7.924819767953258e-06,9.512719845963189e-08,11.0,2.0
gr-qc/0407023,General relativity and quintessence explain the Pioneer anomaly,7.528526338766409e-06,4.898742921443535e-08,7.0,2.0
astro-ph/0607160,"Ellipticity in Cosmic Microwave Background as a Tracer of Large-Scale
  Universe",7.028174342624107e-06,0.0,10.0,0.0
physics/0702053,"Non-Markov statistical effects of X-ray emission intensity of the
  microquasar GRS 1915+105",6.7267443058114165e-06,0.0,5.0,0.0
astro-ph/0301229,Detecting dark matter using centrifuging techniques,6.555694215430125e-06,4.7216876568379475e-08,22.0,10.0
gr-qc/0703042,"Reply to ""The meaning of systematic errors, a comment to ""Reply to On
  the Systematic Errors in the Detection of the Lense-Thirring Effect with a
  Mars Orbiter"", by Lorenzo Iorio'', by G. Felici",6.4668275068696e-06,0.0,3.0,0.0
