source,target
cond-mat/0101250,cond-mat/0107423
cond-mat/0401444,quant-ph/0412170
quant-ph/0412170,cond-mat/0401444
q-bio/0501015,q-bio/0501005
q-bio/0511032,q-bio/0607044
q-bio/0501005,q-bio/0501015
physics/9808011,physics/9907028
physics/0309063,cond-mat/0402496
q-bio/0412006,q-bio/0506010
quant-ph/0409071,q-bio/0506010
cond-mat/0512092,cond-mat/0507477
cond-mat/0507477,cond-mat/0512092
q-bio/0604003,q-bio/0604014
cond-mat/0206225,cond-mat/0206348
q-bio/0508028,physics/0601185
cond-mat/0501171,physics/0601185
cond-mat/0211626,cond-mat/0306135
q-bio/0604014,q-bio/0604003
cond-mat/0306126,cond-mat/0310521
q-bio/0607044,q-bio/0608020
q-bio/0407024,q-bio/0504029
physics/9907028,physics/0002010
q-bio/0504029,q-bio/0511004
q-bio/0407024,q-bio/0511004
q-bio/0503003,q-bio/0503004
q-bio/0502015,q-bio/0503004
q-bio/0503004,q-bio/0503003
q-bio/0502015,q-bio/0503003
physics/0309063,cond-mat/0405035
nlin/0308003,nlin/0404029
q-bio/0604014,hep-th/0702213
q-bio/0402037,q-bio/0407036
cond-mat/0309454,q-bio/0407036
cond-mat/0402059,q-bio/0504004
q-bio/0403003,q-bio/0504004
cond-mat/0410660,q-bio/0504004
hep-lat/9909080,cond-mat/0108218
cond-mat/0310505,q-bio/0405014
q-bio/0506010,q-bio/0412015
q-bio/0401036,q-bio/0407008
q-bio/0511004,q-bio/0601042
q-bio/0407024,q-bio/0601042
q-bio/0312005,q-bio/0410018
cond-mat/9903364,cond-mat/9904018
cond-mat/0106029,cond-mat/0108374
cond-mat/0107210,cond-mat/0108374
cond-mat/0409003,cond-mat/0411723
q-bio/0403019,q-bio/0408023
q-bio/0407008,q-bio/0502008
q-bio/0401036,q-bio/0502008
physics/9907028,physics/0004040
physics/0002010,physics/0004040
cond-mat/0306135,cond-mat/0601165
cond-mat/0203483,cond-mat/0203482
cond-mat/0411723,cond-mat/0412504
q-bio/0407036,cond-mat/0412238
cond-mat/0409003,cond-mat/0410591
q-bio/0310008,cond-mat/0409198
cond-mat/0310321,cond-mat/0408153
cond-mat/0309674,cond-mat/0406303
cond-mat/0309559,cond-mat/0406246
cond-mat/0304250,cond-mat/0406246
cond-mat/0211415,cond-mat/0310091
cond-mat/0201196,cond-mat/0207510
cond-mat/0201418,cond-mat/0207293
cond-mat/0201418,cond-mat/0206067
cond-mat/0107177,cond-mat/0111291
math/0412467,math/0501173
cond-mat/9910162,cond-mat/0001001
astro-ph/0601399,astro-ph/0606593
cond-mat/9907397,cond-mat/9909350
physics/9907028,physics/0004049
physics/0002010,physics/0004049
physics/0004040,physics/0004049
cond-mat/0108218,physics/0205043
physics/0309063,physics/0309117
cond-mat/0305053,physics/0609139
cond-mat/9712124,cond-mat/9804054
cond-mat/9712277,cond-mat/9804054
cond-mat/9711092,cond-mat/9804054
q-bio/0607037,physics/0703222
physics/0307076,q-bio/0310026
cond-mat/0306440,q-bio/0312033
cond-mat/0310455,q-bio/0403028
quant-ph/0103017,q-bio/0403036
q-bio/0409034,q-bio/0404019
cond-mat/0310521,q-bio/0404041
q-bio/0403003,q-bio/0407002
cond-mat/0401444,q-bio/0408018
q-bio/0407024,q-bio/0409031
q-bio/0405014,q-bio/0411004
cond-mat/0310505,q-bio/0411004
q-bio/0411005,q-bio/0411011
q-bio/0406039,q-bio/0411011
q-bio/0410031,q-bio/0412016
q-bio/0408024,q-bio/0412016
hep-lat/9909080,q-bio/0502043
q-bio/0501011,q-bio/0503009
q-bio/0501015,q-bio/0503032
q-bio/0401036,q-bio/0505040
q-bio/0502008,q-bio/0505041
q-bio/0401036,q-bio/0505041
q-bio/0411044,q-bio/0506014
q-bio/0411053,q-bio/0506025
q-bio/0402037,q-bio/0507036
q-bio/0407036,q-bio/0507036
q-bio/0406039,q-bio/0507041
q-bio/0411053,q-bio/0508029
cond-mat/0310505,q-bio/0508042
q-bio/0405014,q-bio/0508042
q-bio/0508015,q-bio/0510028
q-bio/0508031,q-bio/0510028
q-bio/0508030,q-bio/0510028
physics/0601185,q-bio/0510049
q-bio/0508030,q-bio/0511006
q-bio/0403019,q-bio/0601034
q-bio/0412048,q-bio/0601034
q-bio/0408023,q-bio/0601034
q-bio/0503037,q-bio/0604032
cond-mat/0603556,q-bio/0604032
q-bio/0411005,q-bio/0605007
q-bio/0406039,q-bio/0605007
q-bio/0411005,q-bio/0605008
q-bio/0410018,q-bio/0606026
q-bio/0312005,q-bio/0606026
q-bio/0610009,q-bio/0611066
q-bio/0406039,q-bio/0612043
q-bio/0608020,q-bio/0701049
q-bio/0607044,q-bio/0701049
cond-mat/0501171,q-bio/0702043
q-bio/0703001,q-bio/0703032
cond-mat/9512111,cond-mat/9603016
quant-ph/0103017,quant-ph/0202022
cond-mat/0309559,cond-mat/0609378
cond-mat/0602308,cond-mat/0605193
