id,title,pagerank,betweenness,in_degree,out_degree
q-bio/0607009,Probability distribution of bubble lengths in DNA,2.0919753463784173e-05,0.0,2.0,0.0
cond-mat/0108374,Nature of the glassy phase of RNA secondary structure,1.1650874020388464e-05,2.745602160515763e-08,4.0,1.0
q-bio/0601042,"Quantum mechanical calculation of the effects of stiff and rigid
  constraints in the conformational equilibrium of the Alanine dipeptide",1.0828916672836616e-05,0.0,3.0,1.0
physics/0609139,Single DNA conformations and biological function,9.700175958974429e-06,0.0,7.0,0.0
cond-mat/0012070,"Reply to the Comment on `Glassy Transition in a Disordered Model for the
  RNA Secondary Structure'",8.573993518761223e-06,0.0,4.0,0.0
cond-mat/0306135,Discrete breathers in protein secondary structure,7.825559241310054e-06,0.0,6.0,2.0
q-bio/0503003,"Symmetry and Dynamics in living organisms: The self-similarity principle
  governs gene expression dynamics",7.82324995062454e-06,0.0,2.0,1.0
q-bio/0503004,"Universal collective fluctuations in gene expression dynamics from yeast
  to human",7.82324995062454e-06,0.0,2.0,1.0
q-bio/0504004,Electronic Transport in DNA,7.533323202403175e-06,0.0,5.0,1.0
cond-mat/9708158,"Torsional Directed Walks, Entropic Elasticity, and DNA Twist Stiffness",7.210644227495529e-06,0.0,3.0,0.0
q-bio/0406039,Modeling of microarray data with zippering,6.98534239360574e-06,7.960731020640288e-06,1.0,4.0
q-bio/0604014,A composite model for DNA torsion dynamics,6.656727197300043e-06,0.0,2.0,2.0
cond-mat/0306586,"Winding angle distribution for planar random walk, polymer ring
  entangled with an obstacle, and all that: Spitzer-Edwards-Prager-Frisch model
  revisited",6.5530431977323e-06,0.0,3.0,0.0
cond-mat/0309638,"Uniqueness of thermodynamic projector and kinetic basis of molecular
  individualism",6.438586898991408e-06,9.95091377580036e-07,5.0,3.0
physics/0004049,"Molecular Dynamics Studies of Sequence-directed Curvature in Bending
  Locus of Trypanosome Kinetoplast DNA",6.156494723818392e-06,0.0,3.0,0.0
q-bio/0506010,Mutation model for nucleotide sequences based on crystal basis,5.927773615503002e-06,0.0,4.0,2.0
q-bio/0505041,Uni-directional polymerization leading to homochirality in the RNA world,5.660585396269106e-06,0.0,3.0,0.0
cond-mat/0507477,Analytic theory of DNA condensation,5.655144290770314e-06,0.0,1.0,1.0
cond-mat/0603697,Floppy modes and non-affine deformations in random fiber networks,5.655144290770314e-06,0.0,1.0,1.0
cond-mat/0512092,"Low energy states of a semiflexible polymer chain with attraction and
  the whip-toroid transitions",5.655144290770314e-06,0.0,1.0,1.0
cond-mat/0412238,Influence of supercoiling on the disruption of dsDNA,5.155788498468326e-06,0.0,2.0,0.0
cond-mat/0001001,"Statistical thermodynamics of membrane bending mediated protein-protein
  attraction",5.057283591702909e-06,0.0,1.0,0.0
cond-mat/0601165,Dynamical contribution into enzyme catalytic efficiency,4.761121651128886e-06,0.0,1.0,1.0
q-bio/0701049,Random RNA under tension,4.720429924862225e-06,0.0,3.0,0.0
q-bio/0601034,"Time-dependent perturbation theory for vibrational energy relaxation and
  dephasing in peptides and proteins",4.651340137579245e-06,0.0,3.0,0.0
cond-mat/0412504,Inequivalence of Statistical Ensembles in Single Molecule Measurements,4.489180517229029e-06,0.0,3.0,0.0
