id,title,pagerank,betweenness,in_degree,out_degree
q-bio/0509041,Sexual replication in the quasispecies model,6.71856670205093e-06,0.0,5.0,0.0
q-bio/0512026,A hypothesis on the selective advantage for sleep,5.746353796014907e-06,0.0,1.0,0.0
q-bio/0411019,A simple derivation of the Gompertz law for human mortality,4.504611069009671e-06,0.0,1.0,0.0
q-bio/0703029,Hydrodynamic and rheology of active polar filaments,3.826788423397162e-06,0.0,1.0,0.0
q-bio/0701002,The role of input noise in transcriptional regulation,3.805607658710576e-06,0.0,2.0,0.0
q-bio/0609040,Aging and Immortality in a Cell Proliferation Model,3.62335329328243e-06,0.0,2.0,0.0
q-bio/0512006,Transient pattern formation in a stochastic model of cancer growth,3.3749066596554898e-06,0.0,1.0,0.0
q-bio/0401042,Mechanisms of pattern formation during T cell adhesion,3.3749066596554898e-06,0.0,1.0,0.0
physics/0203045,The relation of morphology and affinity maturation in germinal centers,3.3749066596554898e-06,0.0,1.0,0.0
q-bio/0501007,Pattern formation in a stochastic model of cancer growth,2.4711431321721443e-06,0.0,1.0,1.0
q-bio/0411026,Geometry of Axoneme-like Filament Bundles,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0501001,Elasticities and stabilities: lipid membranes vs cell membranes,2.4711431321721443e-06,0.0,1.0,0.0
cond-mat/0308529,Rheology of Active-Particle Suspensions,2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0601009,"Adhesion between cells, diffusion of growth factors, and elasticity of
  the AER produce the paddle shape of the chick limb",2.4711431321721443e-06,0.0,1.0,0.0
q-bio/0505043,"Probing the Effects of the Well-mixed Assumption on Viral Infection
  Dynamics",2.4711431321721443e-06,0.0,1.0,0.0
physics/0603142,"Brownian Motion after Einstein: Some new applications and new
  experiments",2.4711431321721443e-06,0.0,1.0,0.0
physics/0308040,Application of Coarse Integration to Bacterial Chemotaxis,2.276508744003596e-06,0.0,3.0,3.0
cond-mat/0510327,"Ion exchange phase transitions in ""doped"" water--filled channels",1.979109243009905e-06,0.0,2.0,0.0
cond-mat/0505490,"Conductance of ion channels and nanopores with charged walls: a toy
  model",1.979109243009905e-06,0.0,2.0,0.0
q-bio/0507027,"Modeling the Role of the Cell Cycle in Regulating Proteus mirabilis
  Swarm-Colony Development",1.8950380516170012e-06,0.0,1.0,0.0
q-bio/0611063,Asexual and sexual replication in sporulating organisms,1.8950380516170012e-06,0.0,1.0,0.0
math/0602139,"Global existence results for complex hyperbolic models of bacterial
  chemotaxis",1.703003024765287e-06,0.0,1.0,0.0
q-bio/0601048,Taxis Equations for Amoeboid Cells,1.703003024765287e-06,0.0,1.0,1.0
cond-mat/0503027,"Transport in one dimensional Coulomb gases: From ion channels to
  nanopores",1.6806766581025326e-06,0.0,1.0,5.0
q-bio/0703050,"From a quantum mechanical description of the assembly processes in
  microtubules to their semiclassical nonlinear dynamics",1.4629592412006444e-06,0.0,1.0,0.0
physics/0505179,"An equation-free computational approach for extracting population-level
  behavior from individual-based models of biological dispersal",1.3189329710618589e-06,0.0,0.0,3.0
cond-mat/0410171,"Diversity-induced synchronized oscillations in close-to-threshold
  excitable elements arranged on regular networks: effects of network topology",1.3189329710618589e-06,0.0,0.0,1.0
adap-org/9706001,Adaptation and Optimal Chemotactic Strategy for E. Coli,1.3189329710618589e-06,0.0,0.0,1.0
q-bio/0412003,"A Structured-Population Model of Proteus mirabilis Swarm-Colony
  Development",1.3189329710618589e-06,0.0,0.0,2.0
q-bio/0601017,"Force Modulating Dynamic Disorder: Physical Theory of Catch-slip bond
  Transitions in Receptor-Ligand Forced Dissociation Experiments",1.3189329710618589e-06,0.0,0.0,2.0
q-bio/0601045,"Thresholds, long delays and stability from generalized allosteric effect
  in protein networks",1.3189329710618589e-06,0.0,0.0,1.0
